run_type,speedup_mean,ci_low,ci_high,mean_k
dur2_k1,1.0,1.0,1.0,1.0
dur2_k8,1.1686952027739037,1.1328996006327148,1.2056097837764403,8.0
dur2_adaptDef,1.0926221721870124,1.0793223029930705,1.1063781566620257,1.1425
dur20_k1,1.0,1.0,1.0,1.0
dur20_k8,1.1750638689190156,1.1382771609235331,1.2126699410451691,8.0
dur20_adaptDef,1.0930875544461995,1.0799786363373076,1.106547121069432,1.141875
dur100_k1,1.0,1.0,1.0,1.0
dur100_k8,1.1494832974808873,1.105617822817911,1.1954456818613188,8.0
dur100_adaptDef,1.092773986819998,1.0750040252582507,1.1126426171748849,1.1071875
dur2_k2,1.0832294582859197,1.0599388919835213,1.1063798063564805,2.0
dur2_k4,1.128749118455942,1.1015613119582215,1.1563611786741625,4.0
dur2_adaptCD5,1.1437081317125706,1.1241959255813367,1.16412478718491,1.263125
dur2_adaptCD2,1.1848066851717138,1.1596573269898347,1.210748034071035,1.3715625
dur2_adaptCD1,1.1974423922378017,1.170505640917964,1.2253856229209352,1.4078125
dur2_adaptAggr,1.2141473488666434,1.1858274662385373,1.243631661330289,1.4471875
