seed,run_type,duration_ticks,completion_s,mean_k
4,dur2_k1,2,0.021500000000000102,1.0
4,dur2_k8,2,0.02455000000000019,8.0
4,dur2_adaptDef,2,0.021500000000000102,1
4,dur20_k1,20,0.021500000000000102,1.0
4,dur20_k8,20,0.026850000000000256,8.0
4,dur20_adaptDef,20,0.021500000000000102,1
4,dur100_k1,100,0.021500000000000102,1.0
4,dur100_k8,100,0.025350000000000213,8.0
4,dur100_adaptDef,100,0.021500000000000102,1
4,dur2_k2,2,0.021500000000000102,2.0
4,dur2_k4,2,0.02600000000000023,4.0
4,dur2_adaptCD5,2,0.021500000000000102,1
4,dur2_adaptCD2,2,0.021500000000000102,1
4,dur2_adaptCD1,2,0.021500000000000102,1
4,dur2_adaptAggr,2,0.021500000000000102,1
2,dur2_k1,2,0.021500000000000102,1.0
2,dur2_k8,2,0.02705000000000026,8.0
2,dur2_adaptDef,2,0.021500000000000102,1
2,dur20_k1,20,0.021500000000000102,1.0
2,dur20_k8,20,0.02695000000000026,8.0
2,dur20_adaptDef,20,0.021500000000000102,1
2,dur100_k1,100,0.021500000000000102,1.0
2,dur100_k8,100,0.03115000000000038,8.0
2,dur100_adaptDef,100,0.021500000000000102,1
2,dur2_k2,2,0.02590000000000023,2.0
2,dur2_k4,2,0.02590000000000023,4.0
2,dur2_adaptCD5,2,0.021500000000000102,1
2,dur2_adaptCD2,2,0.021500000000000102,1
2,dur2_adaptCD1,2,0.021500000000000102,1
2,dur2_adaptAggr,2,0.021500000000000102,1
8,dur2_k1,2,0.03010000000000035,1.0
8,dur2_k8,2,0.024450000000000187,8.0
8,dur2_adaptDef,2,0.027200000000000266,1.125
8,dur20_k1,20,0.02915000000000032,1.0
8,dur20_k8,20,0.02525000000000021,8.0
8,dur20_adaptDef,20,0.02630000000000024,1.125
8,dur100_k1,100,0.026500000000000246,1.0
8,dur100_k8,100,0.022700000000000137,8.0
8,dur100_adaptDef,100,0.0248500000000002,1.125
8,dur2_k2,2,0.02530000000000021,2.0
8,dur2_k4,2,0.02415000000000018,4.0
8,dur2_adaptCD5,2,0.025750000000000224,1.1875
8,dur2_adaptCD2,2,0.02525000000000021,1.25
8,dur2_adaptCD1,2,0.02520000000000021,1.3125
8,dur2_adaptAggr,2,0.023450000000000158,1.375
5,dur2_k1,2,0.03050000000000036,1.0
5,dur2_k8,2,0.024000000000000174,8.0
5,dur2_adaptDef,2,0.027200000000000266,1.125
5,dur20_k1,20,0.02910000000000032,1.0
5,dur20_k8,20,0.02450000000000019,8.0
5,dur20_adaptDef,20,0.026050000000000233,1.125
5,dur100_k1,100,0.039750000000000625,1.0
5,dur100_k8,100,0.025050000000000204,8.0
5,dur100_adaptDef,100,0.03270000000000042,1.125
5,dur2_k2,2,0.02565000000000022,2.0
5,dur2_k4,2,0.02565000000000022,4.0
5,dur2_adaptCD5,2,0.02630000000000024,1.125
5,dur2_adaptCD2,2,0.02520000000000021,1.3125
5,dur2_adaptCD1,2,0.024800000000000197,1.375
5,dur2_adaptAggr,2,0.023700000000000165,1.4375
7,dur2_k1,2,0.03225000000000041,1.0
7,dur2_k8,2,0.024650000000000193,8.0
7,dur2_adaptDef,2,0.031400000000000386,1.3125
7,dur20_k1,20,0.03360000000000045,1.0
7,dur20_k8,20,0.02525000000000021,8.0
7,dur20_adaptDef,20,0.03085000000000037,1.25
7,dur100_k1,100,0.022050000000000118,1.0
7,dur100_k8,100,0.022300000000000125,8.0
7,dur100_adaptDef,100,0.022050000000000118,1
7,dur2_k2,2,0.03465000000000048,2.0
7,dur2_k4,2,0.02630000000000024,4.0
7,dur2_adaptCD5,2,0.02870000000000031,1.5625
7,dur2_adaptCD2,2,0.026400000000000243,1.6875
7,dur2_adaptCD1,2,0.02625000000000024,1.875
7,dur2_adaptAggr,2,0.025500000000000217,1.875
9,dur2_k1,2,0.03120000000000038,1.0
9,dur2_k8,2,0.028200000000000294,8.0
9,dur2_adaptDef,2,0.029950000000000344,1.125
9,dur20_k1,20,0.03360000000000045,1.0
9,dur20_k8,20,0.025750000000000224,8.0
9,dur20_adaptDef,20,0.030350000000000356,1.125
9,dur100_k1,100,0.03090000000000037,1.0
9,dur100_k8,100,0.025350000000000213,8.0
9,dur100_adaptDef,100,0.02950000000000033,1.0625
9,dur2_k2,2,0.028950000000000316,2.0
9,dur2_k4,2,0.028950000000000316,4.0
9,dur2_adaptCD5,2,0.029550000000000333,1.3125
9,dur2_adaptCD2,2,0.02880000000000031,1.4375
9,dur2_adaptCD1,2,0.02870000000000031,1.4375
9,dur2_adaptAggr,2,0.02870000000000031,1.4375
0,dur2_k1,2,0.03225000000000041,1.0
0,dur2_k8,2,0.027800000000000283,8.0
0,dur2_adaptDef,2,0.029900000000000343,1.25
0,dur20_k1,20,0.03360000000000045,1.0
0,dur20_k8,20,0.02765000000000028,8.0
0,dur20_adaptDef,20,0.030950000000000373,1.3125
0,dur100_k1,100,0.039750000000000625,1.0
0,dur100_k8,100,0.025750000000000224,8.0
0,dur100_adaptDef,100,0.03395000000000046,1.25
0,dur2_k2,2,0.029300000000000326,2.0
0,dur2_k4,2,0.02905000000000032,4.0
0,dur2_adaptCD5,2,0.029350000000000327,1.625
0,dur2_adaptCD2,2,0.028650000000000307,1.8125
0,dur2_adaptCD1,2,0.0283500000000003,1.875
0,dur2_adaptAggr,2,0.0284500000000003,1.875
6,dur2_k1,2,0.04450000000000076,1.0
6,dur2_k8,2,0.02730000000000027,8.0
6,dur2_adaptDef,2,0.03325000000000044,1.3125
6,dur20_k1,20,0.039400000000000615,1.0
6,dur20_k8,20,0.026900000000000257,8.0
6,dur20_adaptDef,20,0.0318000000000004,1.25
6,dur100_k1,100,0.02665000000000025,1.0
6,dur100_k8,100,0.02425000000000018,8.0
6,dur100_adaptDef,100,0.025350000000000213,1.125
6,dur2_k2,2,0.03495000000000049,2.0
6,dur2_k4,2,0.028500000000000303,4.0
6,dur2_adaptCD5,2,0.02950000000000033,1.625
6,dur2_adaptCD2,2,0.027500000000000274,1.8125
6,dur2_adaptCD1,2,0.027500000000000274,1.875
6,dur2_adaptAggr,2,0.02740000000000027,1.875
1,dur2_k1,2,0.04165000000000068,1.0
1,dur2_k8,2,0.024800000000000197,8.0
1,dur2_adaptDef,2,0.033100000000000435,1.3125
1,dur20_k1,20,0.04435000000000076,1.0
1,dur20_k8,20,0.024400000000000185,8.0
1,dur20_adaptDef,20,0.03405000000000046,1.25
1,dur100_k1,100,0.04130000000000067,1.0
1,dur100_k8,100,0.02975000000000034,8.0
1,dur100_adaptDef,100,0.0354000000000005,1.3125
1,dur2_k2,2,0.030950000000000373,2.0
1,dur2_k4,2,0.030950000000000373,4.0
1,dur2_adaptCD5,2,0.029700000000000337,1.5
1,dur2_adaptCD2,2,0.02665000000000025,1.6875
1,dur2_adaptCD1,2,0.025700000000000223,1.75
1,dur2_adaptAggr,2,0.025750000000000224,1.875
3,dur2_k1,2,0.043250000000000725,1.0
3,dur2_k8,2,0.028650000000000307,8.0
3,dur2_adaptDef,2,0.03565000000000051,1.1875
3,dur20_k1,20,0.040800000000000655,1.0
3,dur20_k8,20,0.027950000000000287,8.0
3,dur20_adaptDef,20,0.03470000000000048,1.1875
3,dur100_k1,100,0.050550000000000934,1.0
3,dur100_k8,100,0.031400000000000386,8.0
3,dur100_adaptDef,100,0.04350000000000073,1.1875
3,dur2_k2,2,0.033500000000000446,2.0
3,dur2_k4,2,0.033500000000000446,4.0
3,dur2_adaptCD5,2,0.03295000000000043,1.375
3,dur2_adaptCD2,2,0.030050000000000347,1.4375
3,dur2_adaptCD1,2,0.029700000000000337,1.4375
3,dur2_adaptAggr,2,0.02975000000000034,1.4375
10,dur2_k1,2,0.021500000000000102,1.0
10,dur2_k8,2,0.026900000000000257,8.0
10,dur2_adaptDef,2,0.021500000000000102,1
10,dur20_k1,20,0.021500000000000102,1.0
10,dur20_k8,20,0.02875000000000031,8.0
10,dur20_adaptDef,20,0.021500000000000102,1
10,dur100_k1,100,0.021500000000000102,1.0
10,dur100_k8,100,0.02805000000000029,8.0
10,dur100_adaptDef,100,0.021500000000000102,1
10,dur2_k2,2,0.02560000000000022,2.0
10,dur2_k4,2,0.02560000000000022,4.0
10,dur2_adaptCD5,2,0.021500000000000102,1
10,dur2_adaptCD2,2,0.021500000000000102,1
10,dur2_adaptCD1,2,0.021500000000000102,1
10,dur2_adaptAggr,2,0.021500000000000102,1
11,dur2_k1,2,0.021500000000000102,1.0
11,dur2_k8,2,0.02320000000000015,8.0
11,dur2_adaptDef,2,0.021500000000000102,1
11,dur20_k1,20,0.021500000000000102,1.0
11,dur20_k8,20,0.022400000000000128,8.0
11,dur20_adaptDef,20,0.021500000000000102,1
11,dur100_k1,100,0.021500000000000102,1.0
11,dur100_k8,100,0.021500000000000102,8.0
11,dur100_adaptDef,100,0.021500000000000102,1
11,dur2_k2,2,0.026150000000000236,2.0
11,dur2_k4,2,0.02320000000000015,4.0
11,dur2_adaptCD5,2,0.021500000000000102,1
11,dur2_adaptCD2,2,0.021500000000000102,1
11,dur2_adaptCD1,2,0.021500000000000102,1
11,dur2_adaptAggr,2,0.021500000000000102,1
12,dur2_k1,2,0.030250000000000353,1.0
12,dur2_k8,2,0.023050000000000147,8.0
12,dur2_adaptDef,2,0.02660000000000025,1.125
12,dur20_k1,20,0.03090000000000037,1.0
12,dur20_k8,20,0.02315000000000015,8.0
12,dur20_adaptDef,20,0.02765000000000028,1.0625
12,dur100_k1,100,0.026450000000000244,1.0
12,dur100_k8,100,0.02315000000000015,8.0
12,dur100_adaptDef,100,0.026450000000000244,1
12,dur2_k2,2,0.025000000000000203,2.0
12,dur2_k4,2,0.024050000000000175,4.0
12,dur2_adaptCD5,2,0.025750000000000224,1.1875
12,dur2_adaptCD2,2,0.0249500000000002,1.25
12,dur2_adaptCD1,2,0.0249500000000002,1.3125
12,dur2_adaptAggr,2,0.023400000000000157,1.4375
17,dur2_k1,2,0.021500000000000102,1.0
17,dur2_k8,2,0.027150000000000264,8.0
17,dur2_adaptDef,2,0.021500000000000102,1
17,dur20_k1,20,0.021500000000000102,1.0
17,dur20_k8,20,0.026050000000000233,8.0
17,dur20_adaptDef,20,0.021500000000000102,1
17,dur100_k1,100,0.021500000000000102,1.0
17,dur100_k8,100,0.02425000000000018,8.0
17,dur100_adaptDef,100,0.021500000000000102,1
17,dur2_k2,2,0.02555000000000022,2.0
17,dur2_k4,2,0.02555000000000022,4.0
17,dur2_adaptCD5,2,0.021500000000000102,1
17,dur2_adaptCD2,2,0.021500000000000102,1
17,dur2_adaptCD1,2,0.021500000000000102,1
17,dur2_adaptAggr,2,0.021500000000000102,1
13,dur2_k1,2,0.031400000000000386,1.0
13,dur2_k8,2,0.02765000000000028,8.0
13,dur2_adaptDef,2,0.029350000000000327,1.125
13,dur20_k1,20,0.0318500000000004,1.0
13,dur20_k8,20,0.02740000000000027,8.0
