pair_id,arm_id,sample_id,family,runner,policy,allocator,execution_position,completion_time_s,completion_time_hex,simulated_ticks,wall_time_s,cpu_time_s,simulation_wall_time_s,simulation_cpu_time_s,config_sha256,topology_sha256,ring_sha256,route_sha256,process_initial_sha256,conservation_max_error_B,conservation_remaining_B,foreground_flow_count,adaptive_event_count,final_k_mean,final_k_max,step_count,mean_step_s,p99_step_s,max_step_s,oracle_status,pilot_use,fabric,ring_size,k,campaign_use,remaining_nonzero_count,remaining_min_B,remaining_max_B,historical_completion_time_s,historical_completion_time_hex,historical_simulated_ticks,corrected_minus_historical_s,corrected_minus_historical_ticks,corrected_historical_relative_delta,historical_binary64_equal,equal_pair_id,equal_completion_time_s,equal_completion_time_hex,equal_simulated_ticks,equal_over_corrected_proportional,corrected_proportional_minus_equal_ticks,equal_claim_review_trigger
a049_proportional_3tier_nb_p16_k2__s005,proportional_3tier_nb_p16_k2,5,static_split,proportional,proportional,link_local_equal_share,1,0.005399999999999995,3f761e4f765fd8a8,108,0.019287900009658188,0.015625,0.013281300023663789,0.0,df25aa4f17afbb7ff3140cdce95bc6e784fe605c5106c774bc9a4ee8325d8cb1,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,5f63580c45423263c6ba56a11e2d9e6b95bc56d08551e54c7fcc3c42212c46fc,7c43143edd8d0141a731d676d992b2240989eddcf03ad6a21c3b22f2f00deae7,698c3f32f5decd4eed9d7881a4431e6d4ff17b48140f84b30bc4d9d9be2563fa,0.0,0.0,32,,,,,,,,,timing_and_coverage_only_not_a_scientific_estimate,3tier_nb,16,2,corrected_proportional_paired_n100_revalidation,0,0.0,0.0,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True,a002_equal_3tier_nb_p16_k2__s005,0.005399999999999995,3f761e4f765fd8a8,108,1.0,0,False
a049_proportional_3tier_nb_p16_k2__s005,proportional_3tier_nb_p16_k2,5,static_split,proportional,proportional,network_maxmin,0,0.005399999999999995,3f761e4f765fd8a8,108,0.026150899997446686,0.015625,0.02064450000762008,0.015625,df25aa4f17afbb7ff3140cdce95bc6e784fe605c5106c774bc9a4ee8325d8cb1,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,5f63580c45423263c6ba56a11e2d9e6b95bc56d08551e54c7fcc3c42212c46fc,7c43143edd8d0141a731d676d992b2240989eddcf03ad6a21c3b22f2f00deae7,698c3f32f5decd4eed9d7881a4431e6d4ff17b48140f84b30bc4d9d9be2563fa,0.0,0.0,32,,,,,,,,,timing_and_coverage_only_not_a_scientific_estimate,3tier_nb,16,2,corrected_proportional_paired_n100_revalidation,0,0.0,0.0,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True,a002_equal_3tier_nb_p16_k2__s005,0.005399999999999995,3f761e4f765fd8a8,108,1.0,0,False
a049_proportional_3tier_nb_p16_k2__s006,proportional_3tier_nb_p16_k2,6,static_split,proportional,proportional,link_local_equal_share,0,0.005399999999999995,3f761e4f765fd8a8,108,0.016313000000081956,0.015625,0.011056799994548783,0.015625,b1fd8a8282387fd35bee4616620e0b7c293f91c0abfc9a4bf4c9fe84b59f343c,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,209f4e1d2838c3ac7a4519de08033a6427d715dc84de61b67fc0fd23a02b1281,a81374a0329a5a5be94ded99da2402258daebc631812a53e962edab720f57299,698c3f32f5decd4eed9d7881a4431e6d4ff17b48140f84b30bc4d9d9be2563fa,0.0,0.0,32,,,,,,,,,timing_and_coverage_only_not_a_scientific_estimate,3tier_nb,16,2,corrected_proportional_paired_n100_revalidation,0,0.0,0.0,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True,a002_equal_3tier_nb_p16_k2__s006,0.005399999999999995,3f761e4f765fd8a8,108,1.0,0,False
a049_proportional_3tier_nb_p16_k2__s006,proportional_3tier_nb_p16_k2,6,static_split,proportional,proportional,network_maxmin,1,0.005399999999999995,3f761e4f765fd8a8,108,0.02195890000439249,0.015625,0.017332499992335215,0.015625,b1fd8a8282387fd35bee4616620e0b7c293f91c0abfc9a4bf4c9fe84b59f343c,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,209f4e1d2838c3ac7a4519de08033a6427d715dc84de61b67fc0fd23a02b1281,a81374a0329a5a5be94ded99da2402258daebc631812a53e962edab720f57299,698c3f32f5decd4eed9d7881a4431e6d4ff17b48140f84b30bc4d9d9be2563fa,0.0,0.0,32,,,,,,,,,timing_and_coverage_only_not_a_scientific_estimate,3tier_nb,16,2,corrected_proportional_paired_n100_revalidation,0,0.0,0.0,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True,a002_equal_3tier_nb_p16_k2__s006,0.005399999999999995,3f761e4f765fd8a8,108,1.0,0,False
a049_proportional_3tier_nb_p16_k2__s007,proportional_3tier_nb_p16_k2,7,static_split,proportional,proportional,link_local_equal_share,1,0.005399999999999995,3f761e4f765fd8a8,108,0.01758089999202639,0.015625,0.012857800000347197,0.015625,cb756165eac05660342f8536e9c1cb2907d9e87378bea4e7ac32595e087709e1,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,88d33129c37f78760736e66f9740065d66359ed1c63f0bac2b21bc93d0bab7cf,ca5ff9948bff1d616af9ef88d69547a6d67e34e204b1139ada64cf6b1c3dde2c,698c3f32f5decd4eed9d7881a4431e6d4ff17b48140f84b30bc4d9d9be2563fa,0.0,0.0,32,,,,,,,,,timing_and_coverage_only_not_a_scientific_estimate,3tier_nb,16,2,corrected_proportional_paired_n100_revalidation,0,0.0,0.0,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True,a002_equal_3tier_nb_p16_k2__s007,0.005399999999999995,3f761e4f765fd8a8,108,1.0,0,False
a049_proportional_3tier_nb_p16_k2__s007,proportional_3tier_nb_p16_k2,7,static_split,proportional,proportional,network_maxmin,0,0.005399999999999995,3f761e4f765fd8a8,108,0.024952500010840595,0.03125,0.018061599985230714,0.015625,cb756165eac05660342f8536e9c1cb2907d9e87378bea4e7ac32595e087709e1,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,88d33129c37f78760736e66f9740065d66359ed1c63f0bac2b21bc93d0bab7cf,ca5ff9948bff1d616af9ef88d69547a6d67e34e204b1139ada64cf6b1c3dde2c,698c3f32f5decd4eed9d7881a4431e6d4ff17b48140f84b30bc4d9d9be2563fa,0.0,0.0,32,,,,,,,,,timing_and_coverage_only_not_a_scientific_estimate,3tier_nb,16,2,corrected_proportional_paired_n100_revalidation,0,0.0,0.0,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True,a002_equal_3tier_nb_p16_k2__s007,0.005399999999999995,3f761e4f765fd8a8,108,1.0,0,False
a049_proportional_3tier_nb_p16_k2__s008,proportional_3tier_nb_p16_k2,8,static_split,proportional,proportional,link_local_equal_share,0,0.005399999999999995,3f761e4f765fd8a8,108,0.017140300013124943,0.03125,0.012090600008377805,0.015625,14e5eb2cf48b3e3ea386899c22406894ee6543477bc1a8e381bd2781e62d18bc,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,f61358edc45ff2a59760af9938e4d46738bc27f11da529eafc5624d29cf7a169,38d59654f2d046e96b8e3baf65d381d4c439fcb6a9ad41d92263f58d267a46ca,698c3f32f5decd4eed9d7881a4431e6d4ff17b48140f84b30bc4d9d9be2563fa,0.0,0.0,32,,,,,,,,,timing_and_coverage_only_not_a_scientific_estimate,3tier_nb,16,2,corrected_proportional_paired_n100_revalidation,0,0.0,0.0,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True,a002_equal_3tier_nb_p16_k2__s008,0.005399999999999995,3f761e4f765fd8a8,108,1.0,0,False
a049_proportional_3tier_nb_p16_k2__s008,proportional_3tier_nb_p16_k2,8,static_split,proportional,proportional,network_maxmin,1,0.005399999999999995,3f761e4f765fd8a8,108,0.026419700006954372,0.015625,0.02144340000813827,0.015625,14e5eb2cf48b3e3ea386899c22406894ee6543477bc1a8e381bd2781e62d18bc,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,f61358edc45ff2a59760af9938e4d46738bc27f11da529eafc5624d29cf7a169,38d59654f2d046e96b8e3baf65d381d4c439fcb6a9ad41d92263f58d267a46ca,698c3f32f5decd4eed9d7881a4431e6d4ff17b48140f84b30bc4d9d9be2563fa,0.0,0.0,32,,,,,,,,,timing_and_coverage_only_not_a_scientific_estimate,3tier_nb,16,2,corrected_proportional_paired_n100_revalidation,0,0.0,0.0,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True,a002_equal_3tier_nb_p16_k2__s008,0.005399999999999995,3f761e4f765fd8a8,108,1.0,0,False
a049_proportional_3tier_nb_p16_k2__s009,proportional_3tier_nb_p16_k2,9,static_split,proportional,proportional,link_local_equal_share,1,0.005399999999999995,3f761e4f765fd8a8,108,0.018563799996627495,0.015625,0.013263700006064028,0.015625,7ba3262fcab0cc5ec038218a69b3a584ad08437c8a10a2123f84667aa6f7575a,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,d29d659b532ffb307f17cfe7326910681b9c77bad1430e411aa2bf882ccf541f,54ae5cd367eef39c63132501150ef3ddfdc22271923455324a28b04dcc34547d,698c3f32f5decd4eed9d7881a4431e6d4ff17b48140f84b30bc4d9d9be2563fa,0.0,0.0,32,,,,,,,,,timing_and_coverage_only_not_a_scientific_estimate,3tier_nb,16,2,corrected_proportional_paired_n100_revalidation,0,0.0,0.0,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True,a002_equal_3tier_nb_p16_k2__s009,0.005399999999999995,3f761e4f765fd8a8,108,1.0,0,False
a049_proportional_3tier_nb_p16_k2__s009,proportional_3tier_nb_p16_k2,9,static_split,proportional,proportional,network_maxmin,0,0.005399999999999995,3f761e4f765fd8a8,108,0.022514799988130108,0.015625,0.017530699988128617,0.015625,7ba3262fcab0cc5ec038218a69b3a584ad08437c8a10a2123f84667aa6f7575a,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,d29d659b532ffb307f17cfe7326910681b9c77bad1430e411aa2bf882ccf541f,54ae5cd367eef39c63132501150ef3ddfdc22271923455324a28b04dcc34547d,698c3f32f5decd4eed9d7881a4431e6d4ff17b48140f84b30bc4d9d9be2563fa,0.0,0.0,32,,,,,,,,,timing_and_coverage_only_not_a_scientific_estimate,3tier_nb,16,2,corrected_proportional_paired_n100_revalidation,0,0.0,0.0,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True,a002_equal_3tier_nb_p16_k2__s009,0.005399999999999995,3f761e4f765fd8a8,108,1.0,0,False
