pair_id,arm_id,sample_id,allocator,corrected_completion_time_s,corrected_completion_time_hex,corrected_simulated_ticks,historical_completion_time_s,historical_completion_time_hex,historical_simulated_ticks,corrected_minus_historical_s,corrected_minus_historical_ticks,relative_delta,completion_binary64_equal
a049_proportional_3tier_nb_p16_k2__s000,proportional_3tier_nb_p16_k2,0,link_local_equal_share,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a049_proportional_3tier_nb_p16_k2__s000,proportional_3tier_nb_p16_k2,0,network_maxmin,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a049_proportional_3tier_nb_p16_k2__s001,proportional_3tier_nb_p16_k2,1,link_local_equal_share,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a049_proportional_3tier_nb_p16_k2__s001,proportional_3tier_nb_p16_k2,1,network_maxmin,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a049_proportional_3tier_nb_p16_k2__s002,proportional_3tier_nb_p16_k2,2,link_local_equal_share,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a049_proportional_3tier_nb_p16_k2__s002,proportional_3tier_nb_p16_k2,2,network_maxmin,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a049_proportional_3tier_nb_p16_k2__s003,proportional_3tier_nb_p16_k2,3,link_local_equal_share,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a049_proportional_3tier_nb_p16_k2__s003,proportional_3tier_nb_p16_k2,3,network_maxmin,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a049_proportional_3tier_nb_p16_k2__s004,proportional_3tier_nb_p16_k2,4,link_local_equal_share,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a049_proportional_3tier_nb_p16_k2__s004,proportional_3tier_nb_p16_k2,4,network_maxmin,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a049_proportional_3tier_nb_p16_k2__s005,proportional_3tier_nb_p16_k2,5,link_local_equal_share,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a049_proportional_3tier_nb_p16_k2__s005,proportional_3tier_nb_p16_k2,5,network_maxmin,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a049_proportional_3tier_nb_p16_k2__s006,proportional_3tier_nb_p16_k2,6,link_local_equal_share,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a049_proportional_3tier_nb_p16_k2__s006,proportional_3tier_nb_p16_k2,6,network_maxmin,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a049_proportional_3tier_nb_p16_k2__s007,proportional_3tier_nb_p16_k2,7,link_local_equal_share,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a049_proportional_3tier_nb_p16_k2__s007,proportional_3tier_nb_p16_k2,7,network_maxmin,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a049_proportional_3tier_nb_p16_k2__s008,proportional_3tier_nb_p16_k2,8,link_local_equal_share,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a049_proportional_3tier_nb_p16_k2__s008,proportional_3tier_nb_p16_k2,8,network_maxmin,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a049_proportional_3tier_nb_p16_k2__s009,proportional_3tier_nb_p16_k2,9,link_local_equal_share,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a049_proportional_3tier_nb_p16_k2__s009,proportional_3tier_nb_p16_k2,9,network_maxmin,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
a049_proportional_3tier_nb_p16_k2__s010,proportional_3tier_nb_p16_k2,10,link_local_equal_share,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,0.0,0,0.0,True
