pair_id,arm_id,sample_id,fabric,ring_size,k,link_local_time_s,network_maxmin_time_s,network_over_link_local,log_network_over_link_local,network_minus_link_local_s,network_minus_link_local_ms,network_minus_link_local_ticks,tick_class,historical_network_minus_link_local_ticks,historical_tick_class,material_historical_ordering_reversal,equal_over_corrected_link_local,equal_over_corrected_network_maxmin,link_local_prop_minus_equal_ticks,network_maxmin_prop_minus_equal_ticks,equal_claim_review_trigger
a049_proportional_3tier_nb_p16_k2__s024,proportional_3tier_nb_p16_k2,24,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s025,proportional_3tier_nb_p16_k2,25,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s026,proportional_3tier_nb_p16_k2,26,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s027,proportional_3tier_nb_p16_k2,27,3tier_nb,16,2,0.007549999999999982,0.007499999999999982,0.9933774834437087,-0.006644542718668501,-4.99999999999997e-05,-0.0499999999999997,-1,one_tick_tie,-1,one_tick_tie,False,1.072847682119205,1.0799999999999996,-11,-12,False
a049_proportional_3tier_nb_p16_k2__s028,proportional_3tier_nb_p16_k2,28,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s029,proportional_3tier_nb_p16_k2,29,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s030,proportional_3tier_nb_p16_k2,30,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s031,proportional_3tier_nb_p16_k2,31,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s032,proportional_3tier_nb_p16_k2,32,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s033,proportional_3tier_nb_p16_k2,33,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s034,proportional_3tier_nb_p16_k2,34,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s035,proportional_3tier_nb_p16_k2,35,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s036,proportional_3tier_nb_p16_k2,36,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s037,proportional_3tier_nb_p16_k2,37,3tier_nb,16,2,0.010749999999999963,0.010749999999999963,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s038,proportional_3tier_nb_p16_k2,38,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
a049_proportional_3tier_nb_p16_k2__s039,proportional_3tier_nb_p16_k2,39,3tier_nb,16,2,0.007549999999999982,0.007199999999999984,0.9536423841059605,-0.04746653723892349,-0.0003499999999999979,-0.34999999999999787,-7,maxmin_faster_by_2plus,-7,maxmin_faster_by_2plus,False,1.072847682119205,1.1249999999999996,-11,-18,False
a049_proportional_3tier_nb_p16_k2__s040,proportional_3tier_nb_p16_k2,40,3tier_nb,16,2,0.005399999999999995,0.005399999999999995,1.0,0.0,0.0,0.0,0,exact_tie,0,exact_tie,False,1.0,1.0,0,0,False
