pair_id,arm_id,sample_id,allocator,equal_pair_id,corrected_proportional_time_s,corrected_proportional_time_hex,corrected_proportional_ticks,equal_time_s,equal_time_hex,equal_ticks,equal_over_corrected_proportional,corrected_proportional_minus_equal_s,corrected_proportional_minus_equal_ticks,claim_review_trigger
a049_proportional_3tier_nb_p16_k2__s010,proportional_3tier_nb_p16_k2,10,link_local_equal_share,a002_equal_3tier_nb_p16_k2__s010,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,1.0,0.0,0,False
a049_proportional_3tier_nb_p16_k2__s010,proportional_3tier_nb_p16_k2,10,network_maxmin,a002_equal_3tier_nb_p16_k2__s010,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,1.0,0.0,0,False
a049_proportional_3tier_nb_p16_k2__s011,proportional_3tier_nb_p16_k2,11,link_local_equal_share,a002_equal_3tier_nb_p16_k2__s011,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,1.0,0.0,0,False
a049_proportional_3tier_nb_p16_k2__s011,proportional_3tier_nb_p16_k2,11,network_maxmin,a002_equal_3tier_nb_p16_k2__s011,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,1.0,0.0,0,False
a049_proportional_3tier_nb_p16_k2__s012,proportional_3tier_nb_p16_k2,12,link_local_equal_share,a002_equal_3tier_nb_p16_k2__s012,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,1.0,0.0,0,False
a049_proportional_3tier_nb_p16_k2__s012,proportional_3tier_nb_p16_k2,12,network_maxmin,a002_equal_3tier_nb_p16_k2__s012,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,1.0,0.0,0,False
a049_proportional_3tier_nb_p16_k2__s013,proportional_3tier_nb_p16_k2,13,link_local_equal_share,a002_equal_3tier_nb_p16_k2__s013,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,1.0,0.0,0,False
a049_proportional_3tier_nb_p16_k2__s013,proportional_3tier_nb_p16_k2,13,network_maxmin,a002_equal_3tier_nb_p16_k2__s013,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,1.0,0.0,0,False
a049_proportional_3tier_nb_p16_k2__s014,proportional_3tier_nb_p16_k2,14,link_local_equal_share,a002_equal_3tier_nb_p16_k2__s014,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,1.0,0.0,0,False
a049_proportional_3tier_nb_p16_k2__s014,proportional_3tier_nb_p16_k2,14,network_maxmin,a002_equal_3tier_nb_p16_k2__s014,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,1.0,0.0,0,False
a049_proportional_3tier_nb_p16_k2__s015,proportional_3tier_nb_p16_k2,15,link_local_equal_share,a002_equal_3tier_nb_p16_k2__s015,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,1.0,0.0,0,False
a049_proportional_3tier_nb_p16_k2__s015,proportional_3tier_nb_p16_k2,15,network_maxmin,a002_equal_3tier_nb_p16_k2__s015,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,1.0,0.0,0,False
a049_proportional_3tier_nb_p16_k2__s016,proportional_3tier_nb_p16_k2,16,link_local_equal_share,a002_equal_3tier_nb_p16_k2__s016,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,1.0,0.0,0,False
a049_proportional_3tier_nb_p16_k2__s016,proportional_3tier_nb_p16_k2,16,network_maxmin,a002_equal_3tier_nb_p16_k2__s016,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,1.0,0.0,0,False
a049_proportional_3tier_nb_p16_k2__s017,proportional_3tier_nb_p16_k2,17,link_local_equal_share,a002_equal_3tier_nb_p16_k2__s017,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,1.0,0.0,0,False
a049_proportional_3tier_nb_p16_k2__s017,proportional_3tier_nb_p16_k2,17,network_maxmin,a002_equal_3tier_nb_p16_k2__s017,0.005399999999999995,3f761e4f765fd8a8,108,0.005399999999999995,3f761e4f765fd8a8,108,1.0,0.0,0,False
a049_proportional_3tier_nb_p16_k2__s018,proportional_3tier_nb_p16_k2,18,link_local_equal_share,a002_equal_3tier_nb_p16_k2__s018,0.007549999999999982,3f7eecbfb15b572a,151,0.008099999999999979,3f8096bb98c7e276,162,1.072847682119205,-0.0005499999999999967,-11,False
a049_proportional_3tier_nb_p16_k2__s018,proportional_3tier_nb_p16_k2,18,network_maxmin,a002_equal_3tier_nb_p16_k2__s018,0.007499999999999982,3f7eb851eb851ea4,150,0.008099999999999979,3f8096bb98c7e276,162,1.0799999999999996,-0.0005999999999999964,-12,False
