arm_id,pair_count,geometric_mean_ratio,ci95_low,ci95_high
proportional_2tier_p16_k16,900,0.9998595580501215,0.9996597789761242,1.0
proportional_2tier_p16_k2,900,0.978952475543306,0.9766634918382373,0.9811919543751517
proportional_2tier_p16_k4,900,0.9797023695347571,0.9762751596374242,0.9830348293950402
proportional_2tier_p16_k8,900,0.9975746357179229,0.9966067329849934,0.9984242148633968
proportional_2tier_p64_k16,900,0.9389854834166018,0.9365763017895005,0.941359627288122
proportional_2tier_p64_k2,900,0.9746027924200759,0.9730855366772028,0.9761104403942421
proportional_2tier_p64_k4,900,0.9258727610793525,0.9226886122012568,0.9288952902082623
proportional_2tier_p64_k8,900,0.8830975825224118,0.8797899491058407,0.8864704458054706
proportional_3tier_nb_p16_k16,900,1.0,1.0,1.0
proportional_3tier_nb_p16_k2,900,0.9957994577849413,0.9946607720224223,0.9968307910210811
proportional_3tier_nb_p16_k4,900,0.9971694002725925,0.9956790626179205,0.9984825560050149
proportional_3tier_nb_p16_k8,900,0.9998412149099489,0.9996030845474428,1.0
proportional_3tier_nb_p64_k16,900,0.9997878246469617,0.9995860225405524,0.9999491700553784
proportional_3tier_nb_p64_k2,900,0.9692491406924454,0.9670181398704898,0.9714203570533694
proportional_3tier_nb_p64_k4,900,0.9524005821034075,0.9477496786084444,0.9569537498740471
proportional_3tier_nb_p64_k8,900,0.996014583295324,0.9947445781980193,0.9971822239947491
proportional_3tier_os2_p16_k16,900,1.0,1.0,1.0
proportional_3tier_os2_p16_k2,900,0.9981895913681846,0.9971179477593621,0.9991178516589949
proportional_3tier_os2_p16_k4,900,0.9759643807163628,0.9718632356252568,0.9798483973529217
proportional_3tier_os2_p16_k8,900,0.9993025969731169,0.9987321138237188,0.9997751888497645
proportional_3tier_os2_p64_k16,900,0.9992818981396506,0.9989417807531931,0.999574755396258
proportional_3tier_os2_p64_k2,900,0.9959569993244565,0.9947599630926433,0.9970570260632564
proportional_3tier_os2_p64_k4,900,0.8940974836295038,0.889642359407652,0.8986536369829067
proportional_3tier_os2_p64_k8,900,0.967731070885501,0.9651665207403871,0.9702371639297208
proportional_3tier_os4_p16_k16,900,0.9936097915522822,0.9925003192790398,0.9946621975731796
proportional_3tier_os4_p16_k2,900,1.0,1.0,1.0
proportional_3tier_os4_p16_k4,900,0.9994797203803474,0.9990035710193912,0.9998479686413031
proportional_3tier_os4_p16_k8,900,0.9223944674499069,0.9187154678970151,0.9259922666283239
proportional_3tier_os4_p64_k16,900,0.9127224757099401,0.9109053660308591,0.9145264637476201
proportional_3tier_os4_p64_k2,900,0.9998701279323726,0.9996726279475628,1.0
proportional_3tier_os4_p64_k4,900,0.9974162212405839,0.9967583589292947,0.9980181065356097
proportional_3tier_os4_p64_k8,900,0.8984140611850833,0.8951198230316946,0.9016630133486638
