arm_id,pair_count,geometric_mean_ratio,ci95_low,ci95_high
proportional_2tier_p16_k16,1000,0.9998736013574863,0.9997011699749929,1.0
proportional_2tier_p16_k2,1000,0.9782720142789147,0.9760227844437795,0.9804941432639048
proportional_2tier_p16_k4,1000,0.9797121806959488,0.9764399314848637,0.9828878304782929
proportional_2tier_p16_k8,1000,0.997745606787915,0.9968822000986198,0.998533233514578
proportional_2tier_p64_k16,1000,0.9391981382748608,0.9368867536122973,0.9414759145651919
proportional_2tier_p64_k2,1000,0.9748127699616733,0.9733873256973196,0.9762101632126868
proportional_2tier_p64_k4,1000,0.9253182838770351,0.9222781466994786,0.9282740133241312
proportional_2tier_p64_k8,1000,0.882055727922084,0.8788800112221531,0.8852166832785212
proportional_3tier_nb_p16_k16,1000,1.0,1.0,1.0
proportional_3tier_nb_p16_k2,1000,0.995992913801122,0.9949588832071251,0.996956392023692
proportional_3tier_nb_p16_k4,1000,0.9970467240330054,0.995572535817459,0.9983544880279196
proportional_3tier_nb_p16_k8,1000,0.9998570922843163,0.9996427690022821,1.0
proportional_3tier_nb_p64_k16,1000,0.9998090401562808,0.9996279039116004,0.9999542529335727
proportional_3tier_nb_p64_k2,1000,0.9696755448116654,0.9675368587409606,0.9717729487030501
proportional_3tier_nb_p64_k4,1000,0.9522946751836119,0.9479613926278618,0.9566339586236444
proportional_3tier_nb_p64_k8,1000,0.9960094982151744,0.9948454544075575,0.9970900566026181
proportional_3tier_os2_p16_k16,1000,1.0,1.0,1.0
proportional_3tier_os2_p16_k2,1000,0.9982606690352445,0.9972772484599622,0.9991317794379496
proportional_3tier_os2_p16_k4,1000,0.9746937880994063,0.9708027474726695,0.9785225171877301
proportional_3tier_os2_p16_k8,1000,0.9993723153835121,0.9988757628603824,0.9998060342818081
proportional_3tier_os2_p64_k16,1000,0.9993444744586129,0.9990439042735357,0.9996079063504558
proportional_3tier_os2_p64_k2,1000,0.9959360305025838,0.9947905266673612,0.9969704320325083
proportional_3tier_os2_p64_k4,1000,0.8938302348606829,0.8895615303000679,0.8981975543186385
proportional_3tier_os2_p64_k8,1000,0.9684340286565093,0.966087010229962,0.9707679766122209
proportional_3tier_os4_p16_k16,1000,0.9937604745460585,0.9927356403307546,0.9947360378437161
proportional_3tier_os4_p16_k2,1000,1.0,1.0,1.0
proportional_3tier_os4_p16_k4,1000,0.9995317361588985,0.9990923375498768,0.9998610077111543
proportional_3tier_os4_p16_k8,1000,0.9231373723413528,0.9197213369008722,0.9265313503213267
proportional_3tier_os4_p64_k16,1000,0.9130502743461009,0.9113670316501998,0.9147211433612428
proportional_3tier_os4_p64_k2,1000,0.9998831143800953,0.9997053603294668,1.0
proportional_3tier_os4_p64_k4,1000,0.9972880414612093,0.9966491795144158,0.997875840702946
proportional_3tier_os4_p64_k8,1000,0.8981785590738262,0.8950765909150744,0.9013070942572793
