case_id,source_pair_id,arm_id,sample_id,allocator,window_s,window_ticks,completion_time_s,completion_time_hex,simulated_ticks,config_sha256,topology_sha256,ring_sha256,route_sha256,delivered_vector_sha256,redistribution_boundary_count,redistribution_live_group_count,idle_qp_boundary_observation_count,reactivation_count,stale_reactivation_count,stale_positive_weight_count,positive_weight_without_measurement_count,raw_negative_rate_count,raw_nonfinite_rate_count,zero_rate_live_group_count,nonfinite_used_weight_count,stale_shadow_mismatch_count,max_used_rate_age_ticks,reactivated_bytes_B,maximum_idle_assignment_fraction,maximum_shadow_weight_abs_difference,maximum_stale_shadow_weight_abs_difference,maximum_reactivation_next_rate_relative_error,maximum_inflight_conservation_error_B,maximum_redistribution_sum_error_B,minimum_remaining_bytes_B,final_conservation_max_error_B,final_remaining_max_B,maximum_final_qp_finish_spread_ticks
a069_proportional_3tier_os4_p64_k2__s000__w0500us,a069_proportional_3tier_os4_p64_k2__s000,proportional_3tier_os4_p64_k2,0,link_local_equal_share,0.0005,10,0.01795,3f92617c1bda511a,359,0b26410e115055fdd9eee58200259ecbfb5e30f5e223b83bdb23564db4dfc517,b041c414a3dfa3a4fe4aa0d2f2bc35892cd097d6ff94645a7df5117e16a6aafc,02b8b93c846ec5f679f63d5afcacddba0972d2f5532fd0d0b699941360977e2e,eaea09dd50392757e345a6d4ce63c9d2fbec7e029a4fa80cb414ba67cc9d9820,41c2711965e970a2a24d2ee81699a644c232707b29be6a77c929a75369b5de14,36,1458,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
a069_proportional_3tier_os4_p64_k2__s000__w0500us,a069_proportional_3tier_os4_p64_k2__s000,proportional_3tier_os4_p64_k2,0,network_maxmin,0.0005,10,0.01795,3f92617c1bda511a,359,0b26410e115055fdd9eee58200259ecbfb5e30f5e223b83bdb23564db4dfc517,b041c414a3dfa3a4fe4aa0d2f2bc35892cd097d6ff94645a7df5117e16a6aafc,02b8b93c846ec5f679f63d5afcacddba0972d2f5532fd0d0b699941360977e2e,eaea09dd50392757e345a6d4ce63c9d2fbec7e029a4fa80cb414ba67cc9d9820,41c2711965e970a2a24d2ee81699a644c232707b29be6a77c929a75369b5de14,36,1458,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
a069_proportional_3tier_os4_p64_k2__s000__w1000us,a069_proportional_3tier_os4_p64_k2__s000,proportional_3tier_os4_p64_k2,0,link_local_equal_share,0.001,20,0.01795,3f92617c1bda511a,359,2ffe0cc89a6513a6e172a7a888a9f7136e36f5e39f79cbb6fae856439b36af91,b041c414a3dfa3a4fe4aa0d2f2bc35892cd097d6ff94645a7df5117e16a6aafc,02b8b93c846ec5f679f63d5afcacddba0972d2f5532fd0d0b699941360977e2e,eaea09dd50392757e345a6d4ce63c9d2fbec7e029a4fa80cb414ba67cc9d9820,41c2711965e970a2a24d2ee81699a644c232707b29be6a77c929a75369b5de14,18,738,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
a069_proportional_3tier_os4_p64_k2__s000__w1000us,a069_proportional_3tier_os4_p64_k2__s000,proportional_3tier_os4_p64_k2,0,network_maxmin,0.001,20,0.01795,3f92617c1bda511a,359,2ffe0cc89a6513a6e172a7a888a9f7136e36f5e39f79cbb6fae856439b36af91,b041c414a3dfa3a4fe4aa0d2f2bc35892cd097d6ff94645a7df5117e16a6aafc,02b8b93c846ec5f679f63d5afcacddba0972d2f5532fd0d0b699941360977e2e,eaea09dd50392757e345a6d4ce63c9d2fbec7e029a4fa80cb414ba67cc9d9820,41c2711965e970a2a24d2ee81699a644c232707b29be6a77c929a75369b5de14,18,738,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
a069_proportional_3tier_os4_p64_k2__s000__w2000us,a069_proportional_3tier_os4_p64_k2__s000,proportional_3tier_os4_p64_k2,0,link_local_equal_share,0.002,40,0.01795,3f92617c1bda511a,359,c81d46effdd9d936d6f22dd49797da642950ded6bfb72fb0a618d411e6411ac5,b041c414a3dfa3a4fe4aa0d2f2bc35892cd097d6ff94645a7df5117e16a6aafc,02b8b93c846ec5f679f63d5afcacddba0972d2f5532fd0d0b699941360977e2e,eaea09dd50392757e345a6d4ce63c9d2fbec7e029a4fa80cb414ba67cc9d9820,41c2711965e970a2a24d2ee81699a644c232707b29be6a77c929a75369b5de14,9,398,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
a069_proportional_3tier_os4_p64_k2__s000__w2000us,a069_proportional_3tier_os4_p64_k2__s000,proportional_3tier_os4_p64_k2,0,network_maxmin,0.002,40,0.01795,3f92617c1bda511a,359,c81d46effdd9d936d6f22dd49797da642950ded6bfb72fb0a618d411e6411ac5,b041c414a3dfa3a4fe4aa0d2f2bc35892cd097d6ff94645a7df5117e16a6aafc,02b8b93c846ec5f679f63d5afcacddba0972d2f5532fd0d0b699941360977e2e,eaea09dd50392757e345a6d4ce63c9d2fbec7e029a4fa80cb414ba67cc9d9820,41c2711965e970a2a24d2ee81699a644c232707b29be6a77c929a75369b5de14,9,398,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
a069_proportional_3tier_os4_p64_k2__s011__w0500us,a069_proportional_3tier_os4_p64_k2__s011,proportional_3tier_os4_p64_k2,11,link_local_equal_share,0.0005,10,0.021500000000000102,3f9604189374bc88,430,c25ac633274ed05962d73ee0cbec85b7f3e70808dca248290655033784d4d3ae,b041c414a3dfa3a4fe4aa0d2f2bc35892cd097d6ff94645a7df5117e16a6aafc,82beff21ab777800627eac1d492ea55ec5bcbb1ae106b199afb98333cbfa189d,724736f37081592fa48c35a5cdc0de718be73ee970c17ac1dd981bc033d3aa2a,41c2711965e970a2a24d2ee81699a644c232707b29be6a77c929a75369b5de14,44,1644,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
a069_proportional_3tier_os4_p64_k2__s011__w0500us,a069_proportional_3tier_os4_p64_k2__s011,proportional_3tier_os4_p64_k2,11,network_maxmin,0.0005,10,0.021500000000000102,3f9604189374bc88,430,c25ac633274ed05962d73ee0cbec85b7f3e70808dca248290655033784d4d3ae,b041c414a3dfa3a4fe4aa0d2f2bc35892cd097d6ff94645a7df5117e16a6aafc,82beff21ab777800627eac1d492ea55ec5bcbb1ae106b199afb98333cbfa189d,724736f37081592fa48c35a5cdc0de718be73ee970c17ac1dd981bc033d3aa2a,41c2711965e970a2a24d2ee81699a644c232707b29be6a77c929a75369b5de14,44,1644,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
a069_proportional_3tier_os4_p64_k2__s011__w1000us,a069_proportional_3tier_os4_p64_k2__s011,proportional_3tier_os4_p64_k2,11,link_local_equal_share,0.001,20,0.021500000000000102,3f9604189374bc88,430,d9b83f1d5d299d99f61ecf756ec670815b71deca1a18abe00e51115eecfcde35,b041c414a3dfa3a4fe4aa0d2f2bc35892cd097d6ff94645a7df5117e16a6aafc,82beff21ab777800627eac1d492ea55ec5bcbb1ae106b199afb98333cbfa189d,724736f37081592fa48c35a5cdc0de718be73ee970c17ac1dd981bc033d3aa2a,41c2711965e970a2a24d2ee81699a644c232707b29be6a77c929a75369b5de14,22,838,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
a069_proportional_3tier_os4_p64_k2__s011__w1000us,a069_proportional_3tier_os4_p64_k2__s011,proportional_3tier_os4_p64_k2,11,network_maxmin,0.001,20,0.021500000000000102,3f9604189374bc88,430,d9b83f1d5d299d99f61ecf756ec670815b71deca1a18abe00e51115eecfcde35,b041c414a3dfa3a4fe4aa0d2f2bc35892cd097d6ff94645a7df5117e16a6aafc,82beff21ab777800627eac1d492ea55ec5bcbb1ae106b199afb98333cbfa189d,724736f37081592fa48c35a5cdc0de718be73ee970c17ac1dd981bc033d3aa2a,41c2711965e970a2a24d2ee81699a644c232707b29be6a77c929a75369b5de14,22,838,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
