policy,n,baseline_s,speedup_k8,ci_low,ci_high,edge_path_counts
compact_pod,100,0.06925000000000021,2.4803793289771074,2.3973865342807197,2.5622614474846386,"{1: 56, 8: 8}"
random,100,0.40287449999996383,3.603617002248581,3.4704745710031246,3.7414455919205616,"{64: 59, 8: 3, 1: 2}"
spread,100,0.4073604999999634,3.430524839961477,3.2265484735376417,3.6392183652466024,{64: 64}
