ring_size,affected_fraction,method,n_seeds,speedup,speedup_ci_low,speedup_ci_high,k_mean,k_mean_std,k_max,total_qps
64,0.0,adaptive,1000,1.0,1.0,1.0,1.0,0.0,1,64.0
64,0.0,static(k=4),1000,1.0,1.0,1.0,4.0,0.0,4,256.0
64,0.1,adaptive,1000,1.3999575381774378,1.380168445017153,1.4199704956893597,1.04940625,0.03910546387255239,4,67.162
64,0.1,static(k=4),1000,1.4883690571451749,1.4572281683299941,1.5191082196110532,4.0,0.0,4,256.0
64,0.3,adaptive,1000,1.6873985670387277,1.6684552876403165,1.7074522936563552,1.14646875,0.05476807457075244,4,73.374
64,0.3,static(k=4),1000,1.7900467545370624,1.763262631403376,1.817243161341278,4.0,0.0,4,256.0
64,0.5,adaptive,1000,1.7961501609412425,1.7799389296589123,1.8123291734478548,1.232203125,0.05412135299130441,4,78.861
64,0.5,static(k=4),1000,1.8651894780482394,1.842196533096248,1.8878889623766546,4.0,0.0,4,256.0
