run,seed,ring_size,affected_fraction,method,completion_time_s,final_k_mean,final_k_max
22,210051987,64,0.0,adaptive,0.021500000000000102,1.0,1
22,210051987,64,0.1,adaptive,0.021500000000000102,1.0,1
22,210051987,64,0.3,adaptive,0.041500000000000675,1.21875,4
22,210051987,64,0.5,adaptive,0.03395000000000046,1.3125,4
25,240051990,64,0.0,adaptive,0.021500000000000102,1.0,1
25,240051990,64,0.1,adaptive,0.0424500000000007,1.078125,4
25,240051990,64,0.3,adaptive,0.03715000000000055,1.125,4
25,240051990,64,0.5,adaptive,0.038000000000000575,1.234375,4
26,250051991,64,0.0,adaptive,0.021500000000000102,1.0,1
26,250051991,64,0.1,adaptive,0.03215000000000041,1.078125,4
26,250051991,64,0.3,adaptive,0.031700000000000395,1.078125,4
26,250051991,64,0.5,adaptive,0.038300000000000584,1.109375,4
27,260051992,64,0.0,adaptive,0.021500000000000102,1.0,1
27,260051992,64,0.1,adaptive,0.021500000000000102,1.0,1
27,260051992,64,0.3,adaptive,0.0353000000000005,1.140625,4
27,260051992,64,0.5,adaptive,0.039450000000000617,1.140625,4
28,270051993,64,0.0,adaptive,0.021500000000000102,1.0,1
28,270051993,64,0.1,adaptive,0.021500000000000102,1.0,1
28,270051993,64,0.3,adaptive,0.032750000000000425,1.09375,4
28,270051993,64,0.5,adaptive,0.03515000000000049,1.234375,4
23,220051988,64,0.0,adaptive,0.021500000000000102,1.0,1
23,220051988,64,0.1,adaptive,0.028150000000000293,1.03125,3
23,220051988,64,0.3,adaptive,0.03650000000000053,1.09375,4
23,220051988,64,0.5,adaptive,0.04525000000000078,1.234375,4
24,230051989,64,0.0,adaptive,0.021500000000000102,1.0,1
24,230051989,64,0.1,adaptive,0.022050000000000118,1.0,1
24,230051989,64,0.3,adaptive,0.04015000000000064,1.234375,4
24,230051989,64,0.5,adaptive,0.039700000000000624,1.234375,4
33,320051998,64,0.0,adaptive,0.021500000000000102,1.0,1
33,320051998,64,0.1,adaptive,0.030950000000000373,1.046875,4
33,320051998,64,0.3,adaptive,0.03220000000000041,1.203125,4
33,320051998,64,0.5,adaptive,0.03740000000000056,1.28125,4
34,330051999,64,0.0,adaptive,0.021500000000000102,1.0,1
34,330051999,64,0.1,adaptive,0.03220000000000041,1.078125,4
34,330051999,64,0.3,adaptive,0.03570000000000051,1.109375,4
34,330051999,64,0.5,adaptive,0.033100000000000435,1.1875,4
31,300051996,64,0.0,adaptive,0.021500000000000102,1.0,1
31,300051996,64,0.1,adaptive,0.03230000000000041,1.125,4
31,300051996,64,0.3,adaptive,0.04475000000000077,1.15625,4
31,300051996,64,0.5,adaptive,0.04970000000000091,1.3125,4
32,310051997,64,0.0,adaptive,0.021500000000000102,1.0,1
32,310051997,64,0.1,adaptive,0.034550000000000476,1.109375,4
32,310051997,64,0.3,adaptive,0.03300000000000043,1.078125,4
32,310051997,64,0.5,adaptive,0.03675000000000054,1.25,4
35,340052000,64,0.0,adaptive,0.021500000000000102,1.0,1
35,340052000,64,0.1,adaptive,0.021500000000000102,1.0,1
35,340052000,64,0.3,adaptive,0.03600000000000052,1.15625,4
35,340052000,64,0.5,adaptive,0.046000000000000804,1.265625,4
36,350052001,64,0.0,adaptive,0.021500000000000102,1.0,1
36,350052001,64,0.1,adaptive,0.03260000000000042,1.078125,4
36,350052001,64,0.3,adaptive,0.04055000000000065,1.171875,4
36,350052001,64,0.5,adaptive,0.03480000000000048,1.28125,4
37,360052002,64,0.0,adaptive,0.021500000000000102,1.0,1
37,360052002,64,0.1,adaptive,0.030050000000000347,1.0625,3
37,360052002,64,0.3,adaptive,0.03460000000000048,1.125,4
37,360052002,64,0.5,adaptive,0.049500000000000904,1.328125,4
38,370052003,64,0.0,adaptive,0.021500000000000102,1.0,1
38,370052003,64,0.1,adaptive,0.021500000000000102,1.0,1
38,370052003,64,0.3,adaptive,0.043550000000000734,1.1875,4
38,370052003,64,0.5,adaptive,0.04295000000000072,1.25,4
39,380052004,64,0.0,adaptive,0.021500000000000102,1.0,1
39,380052004,64,0.1,adaptive,0.027800000000000283,1.03125,3
39,380052004,64,0.3,adaptive,0.04020000000000064,1.15625,4
39,380052004,64,0.5,adaptive,0.04095000000000066,1.21875,4
40,390052005,64,0.0,adaptive,0.021500000000000102,1.0,1
40,390052005,64,0.1,adaptive,0.03460000000000048,1.078125,4
40,390052005,64,0.3,adaptive,0.0354500000000005,1.09375,4
40,390052005,64,0.5,adaptive,0.03775000000000057,1.265625,4
29,280051994,64,0.0,adaptive,0.021500000000000102,1.0,1
29,280051994,64,0.1,adaptive,0.03265000000000042,1.078125,4
29,280051994,64,0.3,adaptive,0.033500000000000446,1.171875,4
29,280051994,64,0.5,adaptive,0.04055000000000065,1.296875,4
30,290051995,64,0.0,adaptive,0.021500000000000102,1.0,1
30,290051995,64,0.1,adaptive,0.03305000000000043,1.046875,4
30,290051995,64,0.3,adaptive,0.04545000000000079,1.109375,4
30,290051995,64,0.5,adaptive,0.0458500000000008,1.375,4
43,420052008,64,0.0,adaptive,0.021500000000000102,1.0,1
43,420052008,64,0.1,adaptive,0.02730000000000027,1.03125,3
43,420052008,64,0.3,adaptive,0.03215000000000041,1.140625,4
43,420052008,64,0.5,adaptive,0.04720000000000084,1.234375,4
44,430052009,64,0.0,adaptive,0.021500000000000102,1.0,1
44,430052009,64,0.1,adaptive,0.026100000000000234,1.03125,3
44,430052009,64,0.3,adaptive,0.035250000000000496,1.078125,4
44,430052009,64,0.5,adaptive,0.03810000000000058,1.328125,4
53,520052018,64,0.0,adaptive,0.021500000000000102,1.0,1
53,520052018,64,0.1,adaptive,0.02905000000000032,1.03125,3
53,520052018,64,0.3,adaptive,0.033150000000000436,1.15625,4
53,520052018,64,0.5,adaptive,0.04035000000000064,1.234375,4
54,530052019,64,0.0,adaptive,0.021500000000000102,1.0,1
54,530052019,64,0.1,adaptive,0.03400000000000046,1.078125,4
54,530052019,64,0.3,adaptive,0.027900000000000286,1.0625,3
54,530052019,64,0.5,adaptive,0.038350000000000585,1.125,4
51,500052016,64,0.0,adaptive,0.021500000000000102,1.0,1
51,500052016,64,0.1,adaptive,0.03050000000000036,1.03125,3
51,500052016,64,0.3,adaptive,0.03990000000000063,1.203125,4
51,500052016,64,0.5,adaptive,0.03920000000000061,1.28125,4
52,510052017,64,0.0,adaptive,0.021500000000000102,1.0,1
52,510052017,64,0.1,adaptive,0.027850000000000284,1.03125,3
52,510052017,64,0.3,adaptive,0.03395000000000046,1.203125,4
52,510052017,64,0.5,adaptive,0.03305000000000043,1.171875,4
47,460052012,64,0.0,adaptive,0.021500000000000102,1.0,1
47,460052012,64,0.1,adaptive,0.028300000000000297,1.0625,3
47,460052012,64,0.3,adaptive,0.03335000000000044,1.078125,4
47,460052012,64,0.5,adaptive,0.03790000000000057,1.21875,4
48,470052013,64,0.0,adaptive,0.021500000000000102,1.0,1
48,470052013,64,0.1,adaptive,0.02800000000000029,1.03125,3
48,470052013,64,0.3,adaptive,0.0422500000000007,1.234375,4
48,470052013,64,0.5,adaptive,0.04400000000000075,1.25,4
49,480052014,64,0.0,adaptive,0.021500000000000102,1.0,1
49,480052014,64,0.1,adaptive,0.03465000000000048,1.078125,4
49,480052014,64,0.3,adaptive,0.0424500000000007,1.109375,4
49,480052014,64,0.5,adaptive,0.0492500000000009,1.15625,4
50,490052015,64,0.0,adaptive,0.021500000000000102,1.0,1
50,490052015,64,0.1,adaptive,0.021500000000000102,1.0,1
50,490052015,64,0.3,adaptive,0.039450000000000617,1.09375,4
50,490052015,64,0.5,adaptive,0.03445000000000047,1.265625,4
41,400052006,64,0.0,adaptive,0.021500000000000102,1.0,1
41,400052006,64,0.1,adaptive,0.02940000000000033,1.0625,3
41,400052006,64,0.3,adaptive,0.03395000000000046,1.203125,4
41,400052006,64,0.5,adaptive,0.04765000000000085,1.1875,4
42,410052007,64,0.0,adaptive,0.021500000000000102,1.0,1
42,410052007,64,0.1,adaptive,0.0353500000000005,1.09375,4
42,410052007,64,0.3,adaptive,0.03330000000000044,1.109375,4
42,410052007,64,0.5,adaptive,0.04485000000000077,1.265625,4
45,440052010,64,0.0,adaptive,0.021500000000000102,1.0,1
45,440052010,64,0.1,adaptive,0.025500000000000217,1.015625,2
45,440052010,64,0.3,adaptive,0.025750000000000224,1.0625,3
45,440052010,64,0.5,adaptive,0.0457500000000008,1.265625,4
46,450052011,64,0.0,adaptive,0.021500000000000102,1.0,1
46,450052011,64,0.1,adaptive,0.021500000000000102,1.0,1
46,450052011,64,0.3,adaptive,0.03635000000000053,1.3125,4
46,450052011,64,0.5,adaptive,0.04490000000000077,1.34375,4
57,560052022,64,0.0,adaptive,0.021500000000000102,1.0,1
57,560052022,64,0.1,adaptive,0.03080000000000037,1.0625,3
57,560052022,64,0.3,adaptive,0.04170000000000068,1.140625,4
57,560052022,64,0.5,adaptive,0.03640000000000053,1.171875,4
58,570052023,64,0.0,adaptive,0.021500000000000102,1.0,1
58,570052023,64,0.1,adaptive,0.030050000000000347,1.03125,3
58,570052023,64,0.3,adaptive,0.0389500000000006,1.15625,4
58,570052023,64,0.5,adaptive,0.035550000000000505,1.25,4
55,540052020,64,0.0,adaptive,0.021500000000000102,1.0,1
55,540052020,64,0.1,adaptive,0.023800000000000168,1.03125,3
55,540052020,64,0.3,adaptive,0.03270000000000042,1.125,4
55,540052020,64,0.5,adaptive,0.04415000000000075,1.3125,4
56,550052021,64,0.0,adaptive,0.021500000000000102,1.0,1
56,550052021,64,0.1,adaptive,0.02765000000000028,1.03125,2
56,550052021,64,0.3,adaptive,0.03605000000000052,1.109375,4
56,550052021,64,0.5,adaptive,0.036250000000000525,1.25,4
59,580052024,64,0.0,adaptive,0.021500000000000102,1.0,1
59,580052024,64,0.1,adaptive,0.03130000000000038,1.078125,4
59,580052024,64,0.3,adaptive,0.030650000000000364,1.1875,3
59,580052024,64,0.5,adaptive,0.03740000000000056,1.296875,4
60,590052025,64,0.0,adaptive,0.021500000000000102,1.0,1
60,590052025,64,0.1,adaptive,0.03080000000000037,1.046875,4
60,590052025,64,0.3,adaptive,0.0423500000000007,1.125,4
60,590052025,64,0.5,adaptive,0.04615000000000081,1.203125,4
61,600052026,64,0.0,adaptive,0.021500000000000102,1.0,1
61,600052026,64,0.1,adaptive,0.021500000000000102,1.0,1
61,600052026,64,0.3,adaptive,0.03230000000000041,1.125,4
61,600052026,64,0.5,adaptive,0.05190000000000097,1.203125,4
62,610052027,64,0.0,adaptive,0.021500000000000102,1.0,1
62,610052027,64,0.1,adaptive,0.03780000000000057,1.078125,4
62,610052027,64,0.3,adaptive,0.036900000000000543,1.15625,4
62,610052027,64,0.5,adaptive,0.041450000000000674,1.1875,4
65,640052030,64,0.0,adaptive,0.021500000000000102,1.0,1
65,640052030,64,0.1,adaptive,0.028950000000000316,1.03125,3
65,640052030,64,0.3,adaptive,0.033150000000000436,1.078125,4
65,640052030,64,0.5,adaptive,0.03465000000000048,1.171875,4
66,650052031,64,0.0,adaptive,0.021500000000000102,1.0,1
66,650052031,64,0.1,adaptive,0.021500000000000102,1.0,1
66,650052031,64,0.3,adaptive,0.036950000000000545,1.203125,4
66,650052031,64,0.5,adaptive,0.03340000000000044,1.109375,4
63,620052028,64,0.0,adaptive,0.021500000000000102,1.0,1
63,620052028,64,0.1,adaptive,0.03270000000000042,1.109375,4
63,620052028,64,0.3,adaptive,0.04305000000000072,1.203125,4
63,620052028,64,0.5,adaptive,0.04125000000000067,1.3125,4
64,630052029,64,0.0,adaptive,0.021500000000000102,1.0,1
64,630052029,64,0.1,adaptive,0.026450000000000244,1.015625,2
64,630052029,64,0.3,adaptive,0.03440000000000047,1.109375,4
64,630052029,64,0.5,adaptive,0.03705000000000055,1.25,4
73,720052038,64,0.0,adaptive,0.021500000000000102,1.0,1
73,720052038,64,0.1,adaptive,0.02460000000000019,1.03125,3
73,720052038,64,0.3,adaptive,0.03445000000000047,1.078125,4
73,720052038,64,0.5,adaptive,0.04200000000000069,1.328125,4
74,730052039,64,0.0,adaptive,0.021500000000000102,1.0,1
74,730052039,64,0.1,adaptive,0.03305000000000043,1.109375,4
74,730052039,64,0.3,adaptive,0.03860000000000059,1.15625,4
74,730052039,64,0.5,adaptive,0.038350000000000585,1.171875,4
69,680052034,64,0.0,adaptive,0.021500000000000102,1.0,1
69,680052034,64,0.1,adaptive,0.027850000000000284,1.015625,2
69,680052034,64,0.3,adaptive,0.03295000000000043,1.078125,4
69,680052034,64,0.5,adaptive,0.04275000000000071,1.265625,4
70,690052035,64,0.0,adaptive,0.021500000000000102,1.0,1
70,690052035,64,0.1,adaptive,0.027800000000000283,1.03125,3
70,690052035,64,0.3,adaptive,0.03235000000000041,1.09375,4
70,690052035,64,0.5,adaptive,0.03090000000000037,1.171875,4
71,700052036,64,0.0,adaptive,0.021500000000000102,1.0,1
71,700052036,64,0.1,adaptive,0.023350000000000155,1.03125,3
71,700052036,64,0.3,adaptive,0.033450000000000445,1.15625,4
71,700052036,64,0.5,adaptive,0.03425000000000047,1.21875,4
72,710052037,64,0.0,adaptive,0.021500000000000102,1.0,1
72,710052037,64,0.1,adaptive,0.029650000000000336,1.0625,3
72,710052037,64,0.3,adaptive,0.03290000000000043,1.109375,4
72,710052037,64,0.5,adaptive,0.03855000000000059,1.234375,4
67,660052032,64,0.0,adaptive,0.021500000000000102,1.0,1
67,660052032,64,0.1,adaptive,0.031700000000000395,1.078125,4
67,660052032,64,0.3,adaptive,0.03755000000000056,1.234375,4
67,660052032,64,0.5,adaptive,0.039050000000000605,1.296875,4
68,670052033,64,0.0,adaptive,0.021500000000000102,1.0,1
68,670052033,64,0.1,adaptive,0.03020000000000035,1.0625,3
68,670052033,64,0.3,adaptive,0.03780000000000057,1.234375,4
68,670052033,64,0.5,adaptive,0.04700000000000083,1.25,4
77,760052042,64,0.0,adaptive,0.021500000000000102,1.0,1
77,760052042,64,0.1,adaptive,0.021500000000000102,1.0,1
77,760052042,64,0.3,adaptive,0.036600000000000535,1.09375,4
77,760052042,64,0.5,adaptive,0.03775000000000057,1.234375,4
78,770052043,64,0.0,adaptive,0.021500000000000102,1.0,1
78,770052043,64,0.1,adaptive,0.03360000000000045,1.171875,4
78,770052043,64,0.3,adaptive,0.033100000000000435,1.171875,4
78,770052043,64,0.5,adaptive,0.036950000000000545,1.234375,4
75,740052040,64,0.0,adaptive,0.021500000000000102,1.0,1
75,740052040,64,0.1,adaptive,0.021500000000000102,1.0,1
75,740052040,64,0.3,adaptive,0.036950000000000545,1.15625,4
75,740052040,64,0.5,adaptive,0.035550000000000505,1.203125,4
76,750052041,64,0.0,adaptive,0.021500000000000102,1.0,1
76,750052041,64,0.1,adaptive,0.021500000000000102,1.0,1
76,750052041,64,0.3,adaptive,0.047450000000000846,1.171875,4
76,750052041,64,0.5,adaptive,0.03845000000000059,1.265625,4
79,780052044,64,0.0,adaptive,0.021500000000000102,1.0,1
79,780052044,64,0.1,adaptive,0.0248500000000002,1.0,1
79,780052044,64,0.3,adaptive,0.03360000000000045,1.15625,4
79,780052044,64,0.5,adaptive,0.03320000000000044,1.203125,4
80,790052045,64,0.0,adaptive,0.021500000000000102,1.0,1
80,790052045,64,0.1,adaptive,0.02980000000000034,1.09375,3
80,790052045,64,0.3,adaptive,0.036600000000000535,1.171875,4
80,790052045,64,0.5,adaptive,0.04405000000000075,1.125,4
81,800052046,64,0.0,adaptive,0.021500000000000102,1.0,1
81,800052046,64,0.1,adaptive,0.03120000000000038,1.046875,3
81,800052046,64,0.3,adaptive,0.03920000000000061,1.1875,4
81,800052046,64,0.5,adaptive,0.03515000000000049,1.1875,4
82,810052047,64,0.0,adaptive,0.021500000000000102,1.0,1
82,810052047,64,0.1,adaptive,0.03160000000000039,1.078125,4
82,810052047,64,0.3,adaptive,0.02810000000000029,1.0625,3
82,810052047,64,0.5,adaptive,0.042900000000000715,1.25,4
83,820052048,64,0.0,adaptive,0.021500000000000102,1.0,1
83,820052048,64,0.1,adaptive,0.03125000000000038,1.109375,4
83,820052048,64,0.3,adaptive,0.03860000000000059,1.125,4
83,820052048,64,0.5,adaptive,0.03395000000000046,1.25,4
84,830052049,64,0.0,adaptive,0.021500000000000102,1.0,1
84,830052049,64,0.1,adaptive,0.03250000000000042,1.046875,4
84,830052049,64,0.3,adaptive,0.04105000000000066,1.140625,4
84,830052049,64,0.5,adaptive,0.037600000000000564,1.234375,4
85,840052050,64,0.0,adaptive,0.021500000000000102,1.0,1
85,840052050,64,0.1,adaptive,0.02665000000000025,1.0625,3
85,840052050,64,0.3,adaptive,0.039100000000000606,1.25,4
85,840052050,64,0.5,adaptive,0.039750000000000625,1.328125,4
86,850052051,64,0.0,adaptive,0.021500000000000102,1.0,1
86,850052051,64,0.1,adaptive,0.03125000000000038,1.09375,4
86,850052051,64,0.3,adaptive,0.034550000000000476,1.125,4
86,850052051,64,0.5,adaptive,0.035200000000000495,1.171875,4
91,900052056,64,0.0,adaptive,0.021500000000000102,1.0,1
