run,seed,flows_per_neighbor,ring_size,affected_fraction,completion_time_s
1,48879,4,4,0.0,0.021500000000000102
1,48879,4,4,0.1,0.024450000000000187
1,48879,4,4,0.3,0.03470000000000048
1,48879,4,4,0.5,0.03365000000000045
1,48879,4,8,0.0,0.021500000000000102
1,48879,4,8,0.1,0.036900000000000543
1,48879,4,8,0.3,0.03470000000000048
1,48879,4,8,0.5,0.039350000000000614
1,48879,2,8,0.0,0.021500000000000102
1,48879,2,8,0.1,0.037950000000000574
1,48879,2,8,0.3,0.06475000000000103
1,48879,2,8,0.5,0.061750000000001255
1,48879,2,16,0.0,0.021500000000000102
1,48879,2,16,0.1,0.037950000000000574
1,48879,2,16,0.3,0.06475000000000103
1,48879,2,16,0.5,0.06095000000000123
1,48879,4,16,0.0,0.021500000000000102
1,48879,4,16,0.1,0.036900000000000543
1,48879,4,16,0.3,0.03960000000000062
1,48879,4,16,0.5,0.04680000000000083
1,48879,4,32,0.0,0.021500000000000102
1,48879,4,32,0.1,0.036900000000000543
1,48879,4,32,0.3,0.04765000000000085
1,48879,4,32,0.5,0.04335000000000073
1,48879,4,64,0.0,0.026850000000000256
1,48879,4,64,0.1,0.04400000000000075
1,48879,4,64,0.3,0.0494000000000009
1,48879,4,64,0.5,0.06420000000000109
1,48879,8,4,0.0,0.021500000000000102
1,48879,8,4,0.1,0.02420000000000018
1,48879,8,4,0.3,0.0284500000000003
1,48879,8,4,0.5,0.026500000000000246
1,48879,1,4,0.0,0.021500000000000102
1,48879,1,4,0.1,0.03635000000000053
1,48879,1,4,0.3,0.1257999999999943
1,48879,1,4,0.5,0.10934999999999612
1,48879,1,8,0.0,0.021500000000000102
1,48879,1,8,0.1,0.051300000000000956
1,48879,1,8,0.3,0.1257999999999943
1,48879,1,8,0.5,0.10934999999999612
1,48879,8,8,0.0,0.021500000000000102
1,48879,8,8,0.1,0.027450000000000273
1,48879,8,8,0.3,0.0284500000000003
1,48879,8,8,0.5,0.027450000000000273
1,48879,8,16,0.0,0.021500000000000102
1,48879,8,16,0.1,0.027450000000000273
1,48879,8,16,0.3,0.034550000000000476
1,48879,8,16,0.5,0.03215000000000041
1,48879,1,64,0.0,0.04295000000000072
1,48879,1,64,0.1,0.0695500000000005
1,48879,1,64,0.3,0.1257999999999943
1,48879,1,64,0.5,0.12419999999999448
1,48879,2,4,0.0,0.021500000000000102
1,48879,2,4,0.1,0.03635000000000053
1,48879,2,4,0.3,0.06475000000000103
1,48879,2,4,0.5,0.06095000000000123
1,48879,2,32,0.0,0.021500000000000102
1,48879,2,32,0.1,0.05390000000000103
1,48879,2,32,0.3,0.07375000000000004
1,48879,2,32,0.5,0.06095000000000123
1,48879,2,64,0.0,0.03225000000000041
1,48879,2,64,0.1,0.05390000000000103
1,48879,2,64,0.3,0.07764999999999961
1,48879,2,64,0.5,0.08524999999999877
1,48879,1,16,0.0,0.021500000000000102
1,48879,1,16,0.1,0.051300000000000956
1,48879,1,16,0.3,0.1257999999999943
1,48879,1,16,0.5,0.10934999999999612
1,48879,1,32,0.0,0.021500000000000102
1,48879,1,32,0.1,0.0695500000000005
1,48879,1,32,0.3,0.1257999999999943
1,48879,1,32,0.5,0.11319999999999569
2,10048880,1,4,0.0,0.021500000000000102
2,10048880,1,4,0.1,0.021500000000000102
2,10048880,1,4,0.3,0.0459000000000008
2,10048880,1,4,0.5,0.07449999999999996
2,10048880,1,8,0.0,0.021500000000000102
2,10048880,1,8,0.1,0.021500000000000102
2,10048880,1,8,0.3,0.0813999999999992
2,10048880,1,8,0.5,0.10549999999999654
2,10048880,4,4,0.0,0.021500000000000102
2,10048880,4,4,0.1,0.022950000000000144
2,10048880,4,4,0.3,0.04100000000000066
2,10048880,4,4,0.5,0.02810000000000029
2,10048880,4,8,0.0,0.021500000000000102
2,10048880,4,8,0.1,0.024350000000000184
2,10048880,4,8,0.3,0.04100000000000066
2,10048880,4,8,0.5,0.03480000000000048
2,10048880,2,8,0.0,0.021500000000000102
2,10048880,2,8,0.1,0.03165000000000039
2,10048880,2,8,0.3,0.05155000000000096
2,10048880,2,8,0.5,0.05325000000000101
2,10048880,2,16,0.0,0.021500000000000102
2,10048880,2,16,0.1,0.034500000000000475
2,10048880,2,16,0.3,0.05155000000000096
2,10048880,2,16,0.5,0.06395000000000112
2,10048880,1,64,0.0,0.04295000000000072
2,10048880,1,64,0.1,0.06185000000000126
2,10048880,1,64,0.3,0.09299999999999792
2,10048880,1,64,0.5,0.12724999999999415
2,10048880,2,4,0.0,0.021500000000000102
2,10048880,2,4,0.1,0.021500000000000102
2,10048880,2,4,0.3,0.05155000000000096
2,10048880,2,4,0.5,0.04350000000000073
2,10048880,4,16,0.0,0.021500000000000102
2,10048880,4,16,0.1,0.024350000000000184
2,10048880,4,16,0.3,0.04100000000000066
2,10048880,4,16,0.5,0.051300000000000956
2,10048880,4,32,0.0,0.021500000000000102
2,10048880,4,32,0.1,0.030750000000000367
2,10048880,4,32,0.3,0.051600000000000965
2,10048880,4,32,0.5,0.05210000000000098
2,10048880,1,16,0.0,0.021500000000000102
2,10048880,1,16,0.1,0.05810000000000115
2,10048880,1,16,0.3,0.0813999999999992
2,10048880,1,16,0.5,0.11714999999999526
2,10048880,1,32,0.0,0.04295000000000072
2,10048880,1,32,0.1,0.05810000000000115
2,10048880,1,32,0.3,0.08414999999999889
2,10048880,1,32,0.5,0.10549999999999654
2,10048880,8,8,0.0,0.021500000000000102
2,10048880,8,8,0.1,0.025800000000000226
2,10048880,8,8,0.3,0.03360000000000045
2,10048880,8,8,0.5,0.02870000000000031
2,10048880,8,16,0.0,0.021500000000000102
2,10048880,8,16,0.1,0.028650000000000307
2,10048880,8,16,0.3,0.03670000000000054
2,10048880,8,16,0.5,0.040400000000000644
2,10048880,2,32,0.0,0.03225000000000041
2,10048880,2,32,0.1,0.04620000000000081
2,10048880,2,32,0.3,0.06115000000000124
2,10048880,2,32,0.5,0.09294999999999792
2,10048880,2,64,0.0,0.03225000000000041
2,10048880,2,64,0.1,0.04655000000000082
2,10048880,2,64,0.3,0.07539999999999986
2,10048880,2,64,0.5,0.10269999999999685
2,10048880,4,64,0.0,0.021500000000000102
2,10048880,4,64,0.1,0.030750000000000367
2,10048880,4,64,0.3,0.051600000000000965
2,10048880,4,64,0.5,0.053350000000001015
2,10048880,8,4,0.0,0.021500000000000102
2,10048880,8,4,0.1,0.022200000000000122
2,10048880,8,4,0.3,0.027550000000000276
2,10048880,8,4,0.5,0.025700000000000223
1,48879,8,32,0.0,0.021500000000000102
1,48879,8,32,0.1,0.029000000000000317
1,48879,8,32,0.3,0.034550000000000476
1,48879,8,32,0.5,0.03575000000000051
1,48879,8,64,0.0,0.021500000000000102
1,48879,8,64,0.1,0.03655000000000053
1,48879,8,64,0.3,0.049150000000000894
1,48879,8,64,0.5,0.04995000000000092
3,20048881,1,4,0.0,0.021500000000000102
3,20048881,1,4,0.1,0.03650000000000053
3,20048881,1,4,0.3,0.033850000000000456
3,20048881,1,4,0.5,0.09374999999999784
3,20048881,1,8,0.0,0.021500000000000102
3,20048881,1,8,0.1,0.03650000000000053
3,20048881,1,8,0.3,0.09239999999999798
3,20048881,1,8,0.5,0.1140499999999956
3,20048881,2,8,0.0,0.021500000000000102
3,20048881,2,8,0.1,0.03445000000000047
3,20048881,2,8,0.3,0.044600000000000764
3,20048881,2,8,0.5,0.058950000000001175
3,20048881,2,16,0.0,0.021500000000000102
3,20048881,2,16,0.1,0.04065000000000065
3,20048881,2,16,0.3,0.07744999999999963
3,20048881,2,16,0.5,0.058950000000001175
3,20048881,4,4,0.0,0.021500000000000102
3,20048881,4,4,0.1,0.026100000000000234
3,20048881,4,4,0.3,0.02770000000000028
3,20048881,4,4,0.5,0.03515000000000049
3,20048881,4,8,0.0,0.021500000000000102
3,20048881,4,8,0.1,0.03445000000000047
3,20048881,4,8,0.3,0.03320000000000044
3,20048881,4,8,0.5,0.040400000000000644
3,20048881,1,64,0.0,0.04295000000000072
3,20048881,1,64,0.1,0.08284999999999904
3,20048881,1,64,0.3,0.13689999999999308
3,20048881,1,64,0.5,0.11704999999999527
3,20048881,2,4,0.0,0.021500000000000102
3,20048881,2,4,0.1,0.028300000000000297
3,20048881,2,4,0.3,0.03645000000000053
3,20048881,2,4,0.5,0.048500000000000876
3,20048881,1,16,0.0,0.021500000000000102
3,20048881,1,16,0.1,0.04065000000000065
3,20048881,1,16,0.3,0.09869999999999729
3,20048881,1,16,0.5,0.1140499999999956
3,20048881,1,32,0.0,0.04295000000000072
3,20048881,1,32,0.1,0.08284999999999904
3,20048881,1,32,0.3,0.09869999999999729
3,20048881,1,32,0.5,0.11704999999999527
3,20048881,4,16,0.0,0.021500000000000102
