run,seed,flows_per_neighbor,ring_size,msg_bytes,affected_fraction,allreduce_time_s,simple_transfer_time_s,mean_step_s,std_step_s,max_step_s,p99_step_s,total_steps
3,20064208,1,16,268435456,0.0,0.04050000000000065,0.021500000000000102,0.005220000000000082,0.0006734983296193104,0.005400000000000155,0.005400000000000155,30
3,20064208,1,16,268435456,0.3,0.08104999999999923,0.0597000000000012,0.010586666666666588,0.003528265233164477,0.01915000000000055,0.019005000000000546,30
3,20064208,1,16,268435456,0.5,0.08534999999999876,0.11809999999999515,0.010954999999999881,0.002879304024702503,0.018250000000000523,0.017989000000000515,30
3,20064208,2,16,268435456,0.0,0.04050000000000065,0.021500000000000102,0.005220000000000082,0.0006734983296193104,0.005400000000000155,0.005400000000000155,30
3,20064208,2,16,268435456,0.3,0.06125000000000124,0.052350000000000986,0.007800000000000156,0.001710652896800984,0.012700000000000364,0.012700000000000364,30
3,20064208,2,16,268435456,0.5,0.06725000000000075,0.061750000000001255,0.008665000000000133,0.001623327344273775,0.012050000000000345,0.012035500000000345,30
3,20064208,4,16,268435456,0.0,0.04050000000000065,0.021500000000000102,0.005220000000000082,0.0006734983296193104,0.005400000000000155,0.005400000000000155,30
3,20064208,4,16,268435456,0.3,0.047050000000000834,0.040050000000000634,0.006165000000000107,0.0008164098235567633,0.007950000000000228,0.007950000000000228,30
1,64206,1,16,268435456,0.0,0.04050000000000065,0.021500000000000102,0.005220000000000082,0.0006734983296193104,0.005400000000000155,0.005400000000000155,30
1,64206,1,16,268435456,0.3,0.07709999999999967,0.06990000000000046,0.00994166666666666,0.0023004377602729624,0.016250000000000465,0.015800500000000453,30
1,64206,1,16,268435456,0.5,0.08894999999999836,0.09689999999999749,0.011428333333333162,0.002719242643743812,0.016750000000000216,0.01663399999999963,30
1,64206,2,16,268435456,0.0,0.04050000000000065,0.021500000000000102,0.005220000000000082,0.0006734983296193104,0.005400000000000155,0.005400000000000155,30
1,64206,2,16,268435456,0.3,0.05520000000000107,0.05220000000000098,0.007175000000000138,0.0007701460900374702,0.008450000000000242,0.008435500000000241,30
1,64206,2,16,268435456,0.5,0.06430000000000108,0.062050000000001264,0.008350000000000161,0.0016562507861633935,0.011450000000000328,0.011421000000000327,30
1,64206,4,16,268435456,0.0,0.04050000000000065,0.021500000000000102,0.005220000000000082,0.0006734983296193104,0.005400000000000155,0.005400000000000155,30
1,64206,4,16,268435456,0.3,0.051650000000000966,0.040750000000000654,0.006773333333333458,0.0015076877071270956,0.010349999999999998,0.010321000000000002,30
5,40064210,1,16,268435456,0.0,0.04050000000000065,0.021500000000000102,0.005220000000000082,0.0006734983296193104,0.005400000000000155,0.005400000000000155,30
5,40064210,1,16,268435456,0.3,0.07285000000000014,0.08994999999999825,0.009516666666666706,0.0021841601487885567,0.013800000000000034,0.013800000000000026,30
5,40064210,1,16,268435456,0.5,0.09349999999999786,0.12179999999999475,0.012108333333333087,0.0031845220293720616,0.019100000000000547,0.019027500000000544,30
5,40064210,2,16,268435456,0.0,0.04050000000000065,0.021500000000000102,0.005220000000000082,0.0006734983296193104,0.005400000000000155,0.005400000000000155,30
5,40064210,2,16,268435456,0.3,0.05770000000000114,0.05215000000000098,0.00753333333333348,0.0013505760088035064,0.009850000000000282,0.00977750000000019,30
5,40064210,2,16,268435456,0.5,0.07010000000000044,0.061350000000001244,0.00911666666666675,0.002173029119813167,0.01465000000000042,0.01430200000000041,30
5,40064210,4,16,268435456,0.0,0.04050000000000065,0.021500000000000102,0.005220000000000082,0.0006734983296193104,0.005400000000000155,0.005400000000000155,30
5,40064210,4,16,268435456,0.3,0.05105000000000095,0.04165000000000068,0.006641666666666786,0.0013828161683881492,0.009250000000000265,0.009163000000000263,30
3,20064208,4,16,268435456,0.5,0.05325000000000101,0.04520000000000078,0.0070166666666668,0.0011561670390658047,0.00870000000000025,0.008671000000000248,30
3,20064208,8,16,268435456,0.0,0.04050000000000065,0.021500000000000102,0.005220000000000082,0.0006734983296193104,0.005400000000000155,0.005400000000000155,30
3,20064208,8,16,268435456,0.3,0.04695000000000083,0.03425000000000047,0.0060950000000001055,0.0007481477126877746,0.007099999999999985,0.007099999999999985,30
3,20064208,8,16,268435456,0.5,0.04690000000000083,0.03650000000000053,0.006083333333333439,0.0009033579332443942,0.007450000000000213,0.007435500000000213,30
4,30064209,1,16,268435456,0.0,0.04050000000000065,0.04295000000000072,0.005220000000000082,0.0006734983296193104,0.005400000000000155,0.005400000000000155,30
4,30064209,1,16,268435456,0.3,0.0840499999999989,0.09799999999999737,0.010711666666666573,0.002007929419963617,0.015050000000000431,0.014905000000000427,30
4,30064209,1,16,268435456,0.5,0.1040499999999967,0.12174999999999475,0.013401666666666279,0.0034226812913592435,0.01924999999999788,0.019177499999997887,30
4,30064209,2,16,268435456,0.0,0.04050000000000065,0.021500000000000102,0.005220000000000082,0.0006734983296193104,0.005400000000000155,0.005400000000000155,30
5,40064210,4,16,268435456,0.5,0.05915000000000118,0.04385000000000074,0.007660000000000152,0.0014374978260853475,0.009900000000000284,0.009885500000000283,30
5,40064210,8,16,268435456,0.0,0.04050000000000065,0.021500000000000102,0.005220000000000082,0.0006734983296193104,0.005400000000000155,0.005400000000000155,30
5,40064210,8,16,268435456,0.3,0.04895000000000089,0.029300000000000326,0.0063233333333334455,0.0009245479375829856,0.007450000000000213,0.007435500000000213,30
5,40064210,8,16,268435456,0.5,0.058900000000001174,0.035250000000000496,0.007575000000000147,0.0011000568167145127,0.008900000000000255,0.008900000000000255,30
6,50064211,1,16,268435456,0.0,0.041850000000000685,0.021500000000000102,0.005310000000000083,0.0003367491648096461,0.005400000000000155,0.005400000000000155,30
6,50064211,1,16,268435456,0.3,0.08009999999999934,0.07524999999999987,0.01033166666666662,0.0029879336040518323,0.018600000000000533,0.01816500000000052,30
6,50064211,1,16,268435456,0.5,0.09034999999999821,0.11144999999999589,0.011676666666666469,0.003408952266541218,0.02020000000000033,0.019997000000000324,30
6,50064211,2,16,268435456,0.0,0.04050000000000065,0.021500000000000102,0.005220000000000082,0.0006734983296193104,0.005400000000000155,0.005400000000000155,30
