run,seed,flows_per_neighbor,arrival_rate_fps,allreduce_time_s,mean_step_s,std_step_s,p99_step_s,max_step_s
1,1192258488,1,0,0.04050000000000065,0.005220000000000082,0.0006734983296193104,0.005400000000000155,0.005400000000000155
1,1192258488,1,200,0.04050000000000065,0.005220000000000082,0.0006734983296193104,0.005400000000000155,0.005400000000000155
1,1192258488,1,500,0.04050000000000065,0.005220000000000082,0.0006734983296193104,0.005400000000000155,0.005400000000000155
1,1192258488,1,1000,0.04280000000000071,0.005473333333333425,0.0006826093725957646,0.006700000000000192,0.006700000000000192
1,1192258488,4,0,0.04050000000000065,0.005220000000000082,0.0006734983296193104,0.005400000000000155,0.005400000000000155
1,1192258488,4,200,0.04050000000000065,0.005220000000000082,0.0006734983296193104,0.005400000000000155,0.005400000000000155
1,1192258488,4,500,0.04050000000000065,0.005220000000000082,0.0006734983296193104,0.005400000000000155,0.005400000000000155
1,1192258488,4,1000,0.04135000000000067,0.005310000000000081,0.0006126989472816156,0.005700000000000163,0.005700000000000163
2,1963184240,1,0,0.04050000000000065,0.005220000000000082,0.0006734983296193104,0.005400000000000155,0.005400000000000155
2,1963184240,1,200,0.04050000000000065,0.005220000000000082,0.0006734983296193104,0.005400000000000155,0.005400000000000155
2,1963184240,1,500,0.04050000000000065,0.005220000000000082,0.0006734983296193104,0.005400000000000155,0.005400000000000155
2,1963184240,1,1000,0.04090000000000066,0.005273333333333417,0.000700920030309365,0.005799999999999993,0.005799999999999993
2,1963184240,4,0,0.04050000000000065,0.005220000000000082,0.0006734983296193104,0.005400000000000155,0.005400000000000155
2,1963184240,4,200,0.04050000000000065,0.005220000000000082,0.0006734983296193104,0.005400000000000155,0.005400000000000155
2,1963184240,4,500,0.04050000000000065,0.005220000000000082,0.0006734983296193104,0.005400000000000155,0.005400000000000155
2,1963184240,4,1000,0.04090000000000066,0.005273333333333417,0.0006951898221988574,0.0056999999999999655,0.0056999999999999655
3,550768744,1,0,0.04050000000000065,0.005220000000000082,0.0006734983296193104,0.005400000000000155,0.005400000000000155
3,550768744,1,200,0.04050000000000065,0.005220000000000082,0.0006734983296193104,0.005400000000000155,0.005400000000000155
3,550768744,1,500,0.04050000000000065,0.005220000000000082,0.0006734983296193104,0.005400000000000155,0.005400000000000155
3,550768744,1,1000,0.04050000000000065,0.005220000000000082,0.0006734983296193104,0.005400000000000155,0.005400000000000155
3,550768744,4,0,0.04050000000000065,0.005220000000000082,0.0006734983296193104,0.005400000000000155,0.005400000000000155
3,550768744,4,200,0.04050000000000065,0.005220000000000082,0.0006734983296193104,0.005400000000000155,0.005400000000000155
3,550768744,4,500,0.04050000000000065,0.005220000000000082,0.0006734983296193104,0.005400000000000155,0.005400000000000155
3,550768744,4,1000,0.04050000000000065,0.005220000000000082,0.0006734983296193104,0.005400000000000155,0.005400000000000155
