ring_size,k,affected_fraction,speedup,speedup_ci_low,speedup_ci_high,n_seeds,total_qps,experiment,method,k_mean
4,1,0.0,1.0,1.0,1.0,100,4,static,,1
4,2,0.0,1.0,1.0,1.0,100,8,static,,2
4,4,0.0,1.0,1.0,1.0,100,16,static,,4
4,8,0.0,1.0,1.0,1.0,100,32,static,,8
4,1,0.1,1.0,1.0,1.0,100,4,static,,1
4,2,0.1,1.2215620685245023,1.1426125717046514,1.3007156319064879,100,8,static,,2
4,4,0.1,1.483211849499587,1.3743350708754913,1.5978265024242144,100,16,static,,4
4,8,0.1,1.632711924132546,1.5087522133089004,1.7636477604465055,100,32,static,,8
4,1,0.3,1.0,1.0,1.0,100,4,static,,1
4,2,0.3,1.5564858776124006,1.4942037452637777,1.6203891723439725,100,8,static,,2
4,4,0.3,2.165194046361098,2.0457024570239644,2.284820092230646,100,16,static,,4
4,8,0.3,2.546588388847125,2.417530576316637,2.6761007117464652,100,32,static,,8
4,1,0.5,1.0,1.0,1.0,100,4,static,,1
4,2,0.5,1.695956819366763,1.627144870198599,1.7577982200552413,100,8,static,,2
4,4,0.5,2.358134964007598,2.242827368702418,2.472360726868192,100,16,static,,4
4,8,0.5,2.8969767731675398,2.775345090830421,3.018965095126356,100,32,static,,8
8,1,0.0,1.0,1.0,1.0,100,8,static,,1
8,2,0.0,1.0498682170542648,1.0099612403100777,1.0964263565891494,100,16,static,,2
8,4,0.0,1.0598604651162804,1.0199534883720935,1.1097441860465143,100,32,static,,4
8,8,0.0,1.0598604651162804,1.0199534883720935,1.1097441860465143,100,64,static,,8
8,1,0.1,1.0,1.0,1.0,100,8,static,,1
8,2,0.1,1.3055515108982245,1.231027576048985,1.380878065780237,100,16,static,,2
8,4,0.1,1.6560244438825449,1.5479434696119234,1.765970227483443,100,32,static,,4
8,8,0.1,1.8756261003717551,1.746858009413451,2.0101817778171016,100,64,static,,8
8,1,0.3,1.0,1.0,1.0,100,8,static,,1
8,2,0.3,1.5845376833684803,1.526283990270386,1.642445801839907,100,16,static,,2
8,4,0.3,2.196429060261828,2.0995840405689767,2.2929375729302164,100,32,static,,4
8,8,0.3,2.7093286313731495,2.6067670823286915,2.818984463954594,100,64,static,,8
8,1,0.5,1.0,1.0,1.0,100,8,static,,1
8,2,0.5,1.7066867196295643,1.6475314282179092,1.7658047083214545,100,16,static,,2
8,4,0.5,2.326345368158657,2.232424587845839,2.421850161667665,100,32,static,,4
8,8,0.5,2.9742955220672744,2.877771781732492,3.0785502094013215,100,64,static,,8
16,1,0.0,1.0,1.0,1.0,100,16,static,,1
16,2,0.0,1.172875968992252,1.0997209302325606,1.2526976744186107,100,32,static,,2
16,4,0.0,1.2108369061539177,1.1350050116928705,1.2939686890996562,100,64,static,,4
16,8,0.0,1.2194883720930283,1.1396744186046543,1.2993023255814027,100,128,static,,8
16,1,0.1,1.0,1.0,1.0,100,16,static,,1
16,2,0.1,1.4812864563954333,1.4172562696152775,1.54491043784223,100,32,static,,2
16,4,0.1,1.9272307862282496,1.8306900198756568,2.027024933505857,100,64,static,,4
16,8,0.1,2.2012470918053335,2.0910102074465717,2.31702728411807,100,128,static,,8
16,1,0.3,1.0,1.0,1.0,100,16,static,,1
16,2,0.3,1.5761365106167298,1.5144725364244693,1.6378750793819723,100,32,static,,2
16,4,0.3,2.170089693276729,2.079038449944684,2.261851579422662,100,64,static,,4
16,8,0.3,2.773933031912077,2.678853024990099,2.8706180669241346,100,128,static,,8
16,1,0.5,1.0,1.0,1.0,100,16,static,,1
16,2,0.5,1.6125491138461177,1.5595590589831378,1.6662448214952499,100,32,static,,2
16,4,0.5,2.2208456151975686,2.1412938591179427,2.298596652299288,100,64,static,,4
16,8,0.5,2.9091606977121818,2.8244068829422506,2.9964445133576283,100,128,static,,8
32,1,0.0,1.0,1.0,1.0,100,32,static,,1
32,2,0.0,1.482007751937996,1.3888370155038852,1.5751860465116414,100,64,static,,2
32,4,0.0,1.6605320687713983,1.5707413710969778,1.7483581048893684,100,128,static,,4
32,8,0.0,1.6861665385354763,1.5963758408610556,1.7759572362098972,100,256,static,,8
32,1,0.1,1.0,1.0,1.0,100,32,static,,1
32,2,0.1,1.5404869456663548,1.4765832284540592,1.6051282369051318,100,64,static,,2
32,4,0.1,2.0302742448501987,1.9378286647962228,2.126178655799442,100,128,static,,4
32,8,0.1,2.3987271706855093,2.2964118529430406,2.506997100236169,100,256,static,,8
32,1,0.3,1.0,1.0,1.0,100,32,static,,1
32,2,0.3,1.5124855585663386,1.4559466334053581,1.5678087980501225,100,64,static,,2
32,4,0.3,2.1034101189025027,2.0237408525001297,2.1874141113040206,100,128,static,,4
32,8,0.3,2.732490364738896,2.638733688419489,2.8290391947677818,100,256,static,,8
32,1,0.5,1.0,1.0,1.0,100,32,static,,1
32,2,0.5,1.5450753849292334,1.4935158701174942,1.5960441863564425,100,64,static,,2
32,4,0.5,2.18652571393203,2.1105303836992024,2.26176585027477,100,128,static,,4
32,8,0.5,2.91562372150568,2.818414650541215,3.0153620696179537,100,256,static,,8
64,1,0.0,1.0,1.0,1.0,100,64,static,,1
64,2,0.0,1.3822324891207194,1.3319133179593836,1.4351590248260626,100,128,static,,2
64,4,0.0,1.8723137153003526,1.8124581005586775,1.9355031895543926,100,256,static,,4
64,8,0.0,2.022096002306385,1.976540841822048,2.074301556794181,100,512,static,,8
64,1,0.1,1.0,1.0,1.0,100,64,static,,1
64,2,0.1,1.5006643862390932,1.4466696908648276,1.5549538596903563,100,128,static,,2
64,4,0.1,2.0644226549532787,1.9796042671079233,2.1521176533440065,100,256,static,,4
64,8,0.1,2.4673894373184906,2.370904299691147,2.568387828181659,100,512,static,,8
64,1,0.3,1.0,1.0,1.0,100,64,static,,1
64,2,0.3,1.4483799944903148,1.4036239891644278,1.4951652751446165,100,128,static,,2
64,4,0.3,2.0514286841078824,1.9832471789998747,2.1240552937220887,100,256,static,,4
64,8,0.3,2.688248292987871,2.6104706685479533,2.7703153526204027,100,512,static,,8
64,1,0.5,1.0,1.0,1.0,1000,64.0,static,,1
64,2,0.5,1.504148967188854,1.4890788640591872,1.5188851273584543,1000,128.0,static,,2
64,4,0.5,2.145969942611857,2.1231217532969486,2.1682956410086205,1000,256.0,static,,4
64,8,0.5,2.8435397332828636,2.8151023468415355,2.871443951410293,1000,512.0,static,,8
16,,0.0,1.1218128165203785,1.078090825639821,1.169066499525675,100,16.69,adaptive,adaptive,1.043125
16,,0.0,1.2108369061539177,1.1350050116928705,1.2939686890996562,100,64.0,adaptive,static(k=4),4.0
16,,0.0,1.0,1.0,1.0,100,16.0,adaptive,baseline,1.0
16,,0.1,1.8083910041499525,1.729379629383955,1.8855526612037172,100,28.98,adaptive,adaptive,1.81125
16,,0.1,1.9716407814824797,1.8648379936281891,2.074457658648023,100,64.0,adaptive,static(k=4),4.0
16,,0.1,1.0,1.0,1.0,100,16.0,adaptive,baseline,1.0
16,,0.3,2.0699072317820897,1.9917905861120662,2.1472919179856613,100,47.8,adaptive,adaptive,2.9875
16,,0.3,2.252945743556262,2.1554486626901284,2.3528086822795746,100,64.0,adaptive,static(k=4),4.0
16,,0.3,1.0,1.0,1.0,100,16.0,adaptive,baseline,1.0
16,,0.5,2.0947284156276282,2.033657794461646,2.151569384569729,100,57.49,adaptive,adaptive,3.593125
16,,0.5,2.273534581747283,2.1961065618321562,2.3499550235739215,100,64.0,adaptive,static(k=4),4.0
16,,0.5,1.0,1.0,1.0,100,16.0,adaptive,baseline,1.0
64,,0.0,1.4617527589922572,1.4329198216658474,1.4915819515526891,100,79.97,adaptive,adaptive,1.24953125
64,,0.0,1.8723137153003526,1.8124581005586775,1.9355031895543926,100,256.0,adaptive,static(k=4),4.0
64,,0.0,1.0,1.0,1.0,100,64.0,adaptive,baseline,1.0
64,,0.1,2.0053274167895387,1.925202580964249,2.088084605408911,100,131.97,adaptive,adaptive,2.06203125
64,,0.1,1.9337981174914716,1.8434649952604025,2.0265696896234062,100,256.0,adaptive,static(k=4),4.0
64,,0.1,1.0,1.0,1.0,100,64.0,adaptive,baseline,1.0
64,,0.3,2.0690505044444247,2.0026185799248437,2.1321409064602554,100,200.23,adaptive,adaptive,3.12859375
64,,0.3,2.064700923815488,1.9871018223908954,2.140660608501626,100,256.0,adaptive,static(k=4),4.0
64,,0.3,1.0,1.0,1.0,100,64.0,adaptive,baseline,1.0
64,,0.5,2.182644471785773,2.116066422544656,2.2515614537483164,100,237.33,adaptive,adaptive,3.70828125
64,,0.5,2.229578914524235,2.150087527926426,2.310937192589833,100,256.0,adaptive,static(k=4),4.0
64,,0.5,1.0,1.0,1.0,100,64.0,adaptive,baseline,1.0
