run,k,completion_time_s
175,4,0.06970000000000048
175,8,0.04540000000000079
170,1,0.17959999999998838
170,2,0.12969999999999388
170,4,0.06730000000000075
170,8,0.051650000000000966
171,1,0.20909999999998513
171,2,0.10839999999999622
171,4,0.06735000000000074
171,8,0.04295000000000072
176,1,0.14069999999999266
176,2,0.07969999999999938
176,4,0.06485000000000102
176,8,0.052650000000000995
177,1,0.12644999999999423
177,2,0.07694999999999969
177,4,0.07095000000000035
177,8,0.049200000000000896
178,1,0.14449999999999225
178,2,0.10469999999999663
178,4,0.0641000000000011
178,8,0.0423500000000007
179,1,0.1721499999999892
179,2,0.08574999999999872
179,4,0.06305000000000122
179,8,0.050950000000000946
180,1,0.1358499999999932
180,2,0.07909999999999945
180,4,0.05525000000000107
180,8,0.04890000000000089
181,1,0.11899999999999505
181,2,0.07330000000000009
181,4,0.06290000000000123
181,8,0.04480000000000077
182,1,0.12354999999999455
182,2,0.08869999999999839
182,4,0.055800000000001085
182,8,0.04625000000000081
183,1,0.14714999999999195
183,2,0.08994999999999825
183,4,0.06025000000000121
183,8,0.039700000000000624
188,1,0.11714999999999526
188,2,0.07360000000000005
188,4,0.053400000000001016
188,8,0.04680000000000083
189,1,0.119499999999995
189,2,0.10689999999999639
189,4,0.07874999999999949
189,8,0.045000000000000775
186,1,0.12884999999999397
186,2,0.10089999999999705
186,4,0.06945000000000051
186,8,0.043900000000000744
187,1,0.1302999999999938
187,2,0.09689999999999749
187,4,0.05360000000000102
187,8,0.03815000000000058
184,1,0.13244999999999357
184,2,0.10519999999999657
184,4,0.06910000000000055
184,8,0.04620000000000081
185,1,0.15529999999999106
185,2,0.09909999999999725
185,4,0.06820000000000065
185,8,0.04445000000000076
190,1,0.14749999999999192
190,2,0.1040999999999967
190,4,0.06020000000000121
190,8,0.03705000000000055
191,1,0.15904999999999064
191,2,0.08169999999999916
191,4,0.07175000000000026
191,8,0.0563000000000011
194,1,0.13694999999999308
194,2,0.09069999999999817
194,4,0.06120000000000124
194,8,0.045650000000000794
195,1,0.1277499999999941
195,2,0.10439999999999666
195,4,0.055100000000001065
195,8,0.04050000000000065
192,1,0.1429999999999924
192,2,0.10249999999999687
192,4,0.05530000000000107
192,8,0.05745000000000113
193,1,0.15379999999999122
193,2,0.10264999999999685
193,4,0.06125000000000124
193,8,0.04340000000000073
196,1,0.12469999999999443
196,2,0.09019999999999823
196,4,0.06215000000000127
196,8,0.0492500000000009
197,1,0.14464999999999223
197,2,0.09704999999999747
197,4,0.07764999999999961
197,8,0.04555000000000079
198,1,0.13894999999999286
198,2,0.0803999999999993
