fabric,P,k,n,speedup_mean,ci_low,ci_high,speedup_min,speedup_max,mean_max_top_contention,mean_top_used,mean_equal_split_gap
3tier_nb,16,1,100,1.0,1.0,1.0,1.0,1.0,1.14,29.96,0.0048039257526383446
3tier_nb,16,2,100,1.1715123456790115,1.0988888888888884,1.250802469135801,0.6666666666666679,1.9907407407407356,1.56,59.14,0.00829638540744677
3tier_nb,16,4,100,1.209327160493826,1.1339594135802462,1.2918580246913565,0.8000000000000008,1.9907407407407356,2.17,115.11,0.0077143087983122215
3tier_nb,16,8,100,1.2179629629629618,1.1387037037037029,1.2972222222222205,1.0,1.9907407407407356,2.81,219.31,0.005828380584715909
3tier_os2,16,1,100,1.0,1.0,1.0,1.0,1.0,1.14,29.96,0.0011717677116372237
3tier_os2,16,2,100,1.5690534342391929,1.4733001543209878,1.6649484959675873,1.0,2.0000000000000164,1.56,59.14,0.16274071236451196
3tier_os2,16,4,100,2.0970061728395053,1.9774691358024672,2.2230864197530873,1.3271604938271593,3.981481481481504,2.17,115.11,0.05211123203237716
3tier_os2,16,8,100,2.2694444444444435,2.1495023148148116,2.4087962962962974,1.9907407407407356,3.981481481481504,2.81,219.31,0.005828380584715909
3tier_os4,16,1,100,1.0,1.0,1.0,1.0,1.0,1.14,29.96,0.001008786261088228
3tier_os4,16,2,100,1.5930387596899336,1.496402519379854,1.6896744186046635,1.0,2.0000000000000164,1.56,59.14,0.16134760901332101
3tier_os4,16,4,100,2.1650862473100445,2.0319824566070337,2.3048006184617464,1.3312693498452117,3.995348837209383,2.17,115.11,0.5299301594495724
3tier_os4,16,8,100,3.324289692793601,3.1120651952340195,3.549644806919361,2.0000000000000164,7.953703703703844,2.81,219.31,0.30130598942438447
2tier,16,1,100,1.0,1.0,1.0,1.0,1.0,1.67,29.2,0.0027084499597524194
2tier,16,2,100,1.3720061728395043,1.2827762345679001,1.4581790123456768,0.6666666666666679,1.9907407407407356,2.52,52.24,0.025595702230928538
2tier,16,4,100,1.6027283950617255,1.5129606481481455,1.6912967592592556,0.8000000000000008,1.9907407407407356,3.88,87.59,0.019029878079890122
2tier,16,8,100,1.6616574839302078,1.5703520048974564,1.752962962962959,1.0,1.9907407407407356,6.01,129.12,0.0062565302683238525
3tier_nb,64,1,100,1.0,1.0,1.0,1.0,1.0,1.96,117.52,0.0012959440549181655
3tier_nb,64,2,100,1.3779566166841162,1.3277379184023932,1.4306640173407308,0.6666666666666679,1.993827160493826,2.4,226.74,0.02292746305465437
3tier_nb,64,4,100,1.8655679012345638,1.8057455246913543,1.9286243827160452,0.8000000000000008,2.9907407407407343,3.2,424.56,0.03348866105079515
3tier_nb,64,8,100,2.0158616467707327,1.970324456688088,2.067907866544225,1.0,2.9907407407407343,4.44,747.04,0.00976451196604212
3tier_os2,64,1,100,1.0,1.0,1.0,1.0,1.0,1.96,117.52,0.0011717677116439519
3tier_os2,64,2,100,1.69588235294119,1.6224148606811273,1.7726934984520266,0.6656346749226004,2.0000000000000164,2.4,226.74,0.09483487904071457
3tier_os2,64,4,100,2.463827160493846,2.3847530864197712,2.5359922839506357,1.3271604938271593,3.0000000000000484,3.2,424.56,0.2799624043206338
3tier_os2,64,8,100,3.552951229466403,3.430548917202345,3.6780004591368436,1.5925925925925901,4.777777777777848,4.44,747.04,0.08875204912490159
3tier_os4,64,1,100,1.0,1.0,1.0,1.0,1.0,1.96,117.52,8.522470793729031e-05
3tier_os4,64,2,100,1.6947829457364498,1.6215581395348975,1.771325581395366,0.6666666666666614,1.9984496124031084,2.4,226.74,0.1087860912084671
3tier_os4,64,4,100,2.4673986608107588,2.38790022139827,2.540186485708163,1.3312693498452117,2.9976744186046864,3.2,424.56,0.5129117916027685
3tier_os4,64,8,100,3.5814837191637765,3.456169616912278,3.707031689877411,1.5985130111524304,4.791821561338388,4.44,747.04,0.6402635568131944
2tier,64,1,100,1.0,1.0,1.0,1.0,1.0,3.03,100.16,0.002373173832891131
2tier,64,2,100,1.3772985578858061,1.3292989759074099,1.425205952908183,0.7992565055762086,2.0000000000000164,4.46,158.02,0.027903830011682035
2tier,64,4,100,1.7570137196502194,1.6857177596695538,1.8254792299350047,1.0,2.8563829787234405,7.02,214,0.18116581070667892
2tier,64,8,100,2.1515203059733126,2.074516682327344,2.2267506527649013,1.2285714285714278,3.314814814814855,11.36,245.41,0.1976746735683507
