ring_size,k,affected_fraction,n_seeds,speedup,speedup_ci_low,speedup_ci_high,total_qps
16,1,0.0,1000,1.0,1.0,1.0,16
16,2,0.0,1000,1.2265870262894005,1.2009094180901474,1.2518913415134427,32
16,4,0.0,1000,1.273308567482588,1.2458139504100347,1.3006578216819773,64
16,8,0.0,1000,1.281057903266478,1.253057838570458,1.308951337155069,128
16,1,0.1,1000,1.0,1.0,1.0,16
16,2,0.1,1000,1.4848854482323222,1.465367238093765,1.503776015132854,32
16,4,0.1,1000,1.9266138515763387,1.895578476067933,1.9583207441117063,64
16,8,0.1,1000,2.2435486797051656,2.208875747248549,2.2791871338598306,128
16,1,0.3,1000,1.0,1.0,1.0,16
16,2,0.3,1000,1.615381833459199,1.5962338225997954,1.6340693708843657,32
16,4,0.3,1000,2.1990426634633775,2.1704599684557615,2.2275487477014186,64
16,8,0.3,1000,2.78138577720514,2.7476947817254125,2.814489647884883,128
16,1,0.5,1000,1.0,1.0,1.0,16
16,2,0.5,1000,1.6111217417604735,1.5936411322387871,1.629249718541442,32
16,4,0.5,1000,2.2245822718102013,2.200050638883632,2.248825987684412,64
16,8,0.5,1000,2.907882617605109,2.8783138405922606,2.936534125280444,128
