run,k,affected_fraction,completion_time_s
0,1,0.0,0.021500000000000102
0,2,0.0,0.021500000000000102
0,4,0.0,0.021500000000000102
0,8,0.0,0.021500000000000102
1,1,0.0,0.021500000000000102
1,2,0.0,0.021500000000000102
1,4,0.0,0.021500000000000102
1,8,0.0,0.021500000000000102
2,1,0.0,0.021500000000000102
2,2,0.0,0.021500000000000102
2,4,0.0,0.021500000000000102
2,8,0.0,0.021500000000000102
3,1,0.0,0.04295000000000072
3,2,0.0,0.021500000000000102
3,4,0.0,0.021500000000000102
3,8,0.0,0.021500000000000102
4,1,0.0,0.021500000000000102
4,2,0.0,0.021500000000000102
4,4,0.0,0.021500000000000102
4,8,0.0,0.021500000000000102
5,1,0.0,0.021500000000000102
5,2,0.0,0.021500000000000102
5,4,0.0,0.021500000000000102
5,8,0.0,0.021500000000000102
6,1,0.0,0.021500000000000102
6,2,0.0,0.021500000000000102
6,4,0.0,0.021500000000000102
6,8,0.0,0.021500000000000102
7,1,0.0,0.021500000000000102
7,2,0.0,0.021500000000000102
7,4,0.0,0.021500000000000102
7,8,0.0,0.021500000000000102
8,1,0.0,0.04295000000000072
8,2,0.0,0.021500000000000102
8,4,0.0,0.021500000000000102
8,8,0.0,0.021500000000000102
9,1,0.0,0.021500000000000102
9,2,0.0,0.021500000000000102
9,4,0.0,0.021500000000000102
9,8,0.0,0.021500000000000102
10,1,0.0,0.021500000000000102
10,2,0.0,0.021500000000000102
10,4,0.0,0.03460000000000048
10,8,0.0,0.02415000000000018
11,1,0.0,0.021500000000000102
11,2,0.0,0.021500000000000102
11,4,0.0,0.021500000000000102
11,8,0.0,0.021500000000000102
12,1,0.0,0.021500000000000102
12,2,0.0,0.021500000000000102
12,4,0.0,0.021500000000000102
12,8,0.0,0.021500000000000102
13,1,0.0,0.021500000000000102
13,2,0.0,0.021500000000000102
13,4,0.0,0.021500000000000102
13,8,0.0,0.021500000000000102
14,1,0.0,0.021500000000000102
14,2,0.0,0.021500000000000102
14,4,0.0,0.021500000000000102
14,8,0.0,0.021500000000000102
15,1,0.0,0.021500000000000102
15,2,0.0,0.021500000000000102
15,4,0.0,0.021500000000000102
15,8,0.0,0.021500000000000102
16,1,0.0,0.021500000000000102
16,2,0.0,0.021500000000000102
16,4,0.0,0.021500000000000102
16,8,0.0,0.021500000000000102
17,1,0.0,0.021500000000000102
17,2,0.0,0.021500000000000102
17,4,0.0,0.021500000000000102
17,8,0.0,0.021500000000000102
18,1,0.0,0.021500000000000102
18,2,0.0,0.03225000000000041
18,4,0.0,0.026850000000000256
18,8,0.0,0.021500000000000102
19,1,0.0,0.021500000000000102
19,2,0.0,0.021500000000000102
19,4,0.0,0.021500000000000102
19,8,0.0,0.021500000000000102
20,1,0.0,0.021500000000000102
20,2,0.0,0.021500000000000102
20,4,0.0,0.021500000000000102
20,8,0.0,0.021500000000000102
21,1,0.0,0.021500000000000102
21,2,0.0,0.021500000000000102
21,4,0.0,0.021500000000000102
21,8,0.0,0.021500000000000102
22,1,0.0,0.021500000000000102
22,2,0.0,0.021500000000000102
22,4,0.0,0.021500000000000102
22,8,0.0,0.021500000000000102
23,1,0.0,0.021500000000000102
23,2,0.0,0.021500000000000102
23,4,0.0,0.021500000000000102
23,8,0.0,0.021500000000000102
24,1,0.0,0.04295000000000072
24,2,0.0,0.021500000000000102
24,4,0.0,0.021500000000000102
24,8,0.0,0.021500000000000102
25,1,0.0,0.021500000000000102
25,2,0.0,0.021500000000000102
25,4,0.0,0.021500000000000102
25,8,0.0,0.021500000000000102
26,1,0.0,0.021500000000000102
26,2,0.0,0.021500000000000102
26,4,0.0,0.021500000000000102
26,8,0.0,0.021850000000000112
27,1,0.0,0.04295000000000072
27,2,0.0,0.03225000000000041
27,4,0.0,0.021500000000000102
27,8,0.0,0.021500000000000102
28,1,0.0,0.021500000000000102
28,2,0.0,0.021500000000000102
28,4,0.0,0.021500000000000102
28,8,0.0,0.021500000000000102
29,1,0.0,0.04295000000000072
29,2,0.0,0.021500000000000102
29,4,0.0,0.021500000000000102
29,8,0.0,0.021500000000000102
30,1,0.0,0.021500000000000102
30,2,0.0,0.021500000000000102
30,4,0.0,0.021500000000000102
30,8,0.0,0.021500000000000102
31,1,0.0,0.021500000000000102
31,2,0.0,0.021500000000000102
31,4,0.0,0.021500000000000102
31,8,0.0,0.021500000000000102
32,1,0.0,0.021500000000000102
32,2,0.0,0.021500000000000102
32,4,0.0,0.021500000000000102
32,8,0.0,0.021500000000000102
33,1,0.0,0.021500000000000102
33,2,0.0,0.021500000000000102
33,4,0.0,0.021500000000000102
33,8,0.0,0.021500000000000102
34,1,0.0,0.04295000000000072
34,2,0.0,0.021500000000000102
34,4,0.0,0.021500000000000102
34,8,0.0,0.021500000000000102
35,1,0.0,0.021500000000000102
35,2,0.0,0.021500000000000102
35,4,0.0,0.021500000000000102
35,8,0.0,0.021500000000000102
36,1,0.0,0.021500000000000102
36,2,0.0,0.021500000000000102
36,4,0.0,0.021500000000000102
36,8,0.0,0.021500000000000102
37,1,0.0,0.04295000000000072
37,2,0.0,0.04295000000000072
37,4,0.0,0.03225000000000041
37,8,0.0,0.021500000000000102
38,1,0.0,0.021500000000000102
38,2,0.0,0.021500000000000102
38,4,0.0,0.021500000000000102
38,8,0.0,0.021500000000000102
39,1,0.0,0.021500000000000102
39,2,0.0,0.03225000000000041
39,4,0.0,0.021500000000000102
39,8,0.0,0.021500000000000102
40,1,0.0,0.021500000000000102
40,2,0.0,0.021500000000000102
40,4,0.0,0.021500000000000102
40,8,0.0,0.021500000000000102
41,1,0.0,0.021500000000000102
41,2,0.0,0.021500000000000102
41,4,0.0,0.021500000000000102
41,8,0.0,0.021500000000000102
42,1,0.0,0.021500000000000102
42,2,0.0,0.021500000000000102
42,4,0.0,0.021500000000000102
42,8,0.0,0.021500000000000102
43,1,0.0,0.04295000000000072
43,2,0.0,0.021500000000000102
43,4,0.0,0.021500000000000102
43,8,0.0,0.021500000000000102
44,1,0.0,0.04295000000000072
44,2,0.0,0.021500000000000102
44,4,0.0,0.021500000000000102
44,8,0.0,0.021500000000000102
45,1,0.0,0.021500000000000102
45,2,0.0,0.021500000000000102
