arm_id,sample_id,allocator,window_s,v1_completion_time_s,v1_completion_time_hex,corrected_completion_time_s,corrected_completion_time_hex,delta_s,delta_ticks,relative_delta,binary64_changed,v1_stale_shadow_mismatch_count,v1_maximum_stale_shadow_weight_abs_difference,corrected_counterfactual_retained_weight_mismatch_count,invariant_digests_match,v1_allocator_direction,corrected_allocator_direction,ordering_changed_outside_one_tick_tie
proportional_3tier_os4_p64_k2,0,link_local_equal_share,0.001,0.01795,3f92617c1bda511a,0.01795,3f92617c1bda511a,0.0,0,0.0,False,0,0.0,0,True,one_tick_tie,one_tick_tie,False
proportional_3tier_os4_p64_k2,0,network_maxmin,0.001,0.01795,3f92617c1bda511a,0.01795,3f92617c1bda511a,0.0,0,0.0,False,0,0.0,0,True,one_tick_tie,one_tick_tie,False
proportional_3tier_os4_p64_k2,11,link_local_equal_share,0.001,0.021500000000000102,3f9604189374bc88,0.021500000000000102,3f9604189374bc88,0.0,0,0.0,False,0,0.0,0,True,one_tick_tie,one_tick_tie,False
proportional_3tier_os4_p64_k2,11,network_maxmin,0.001,0.021500000000000102,3f9604189374bc88,0.021500000000000102,3f9604189374bc88,0.0,0,0.0,False,0,0.0,0,True,one_tick_tie,one_tick_tie,False
proportional_3tier_os4_p64_k2,22,link_local_equal_share,0.001,0.028650000000000307,3f9d566cf41f2186,0.028650000000000307,3f9d566cf41f2186,0.0,0,0.0,False,0,0.0,0,True,one_tick_tie,one_tick_tie,False
proportional_3tier_os4_p64_k2,22,network_maxmin,0.001,0.028650000000000307,3f9d566cf41f2186,0.028650000000000307,3f9d566cf41f2186,0.0,0,0.0,False,0,0.0,0,True,one_tick_tie,one_tick_tie,False
proportional_3tier_os4_p64_k2,33,link_local_equal_share,0.001,0.01795,3f92617c1bda511a,0.01795,3f92617c1bda511a,0.0,0,0.0,False,0,0.0,0,True,one_tick_tie,one_tick_tie,False
proportional_3tier_os4_p64_k2,33,network_maxmin,0.001,0.01795,3f92617c1bda511a,0.01795,3f92617c1bda511a,0.0,0,0.0,False,0,0.0,0,True,one_tick_tie,one_tick_tie,False
proportional_3tier_os4_p64_k2,44,link_local_equal_share,0.001,0.021500000000000102,3f9604189374bc88,0.021500000000000102,3f9604189374bc88,0.0,0,0.0,False,0,0.0,0,True,one_tick_tie,one_tick_tie,False
proportional_3tier_os4_p64_k2,44,network_maxmin,0.001,0.021500000000000102,3f9604189374bc88,0.021500000000000102,3f9604189374bc88,0.0,0,0.0,False,0,0.0,0,True,one_tick_tie,one_tick_tie,False
proportional_3tier_os4_p64_k2,55,link_local_equal_share,0.001,0.021500000000000102,3f9604189374bc88,0.021500000000000102,3f9604189374bc88,0.0,0,0.0,False,0,0.0,0,True,one_tick_tie,one_tick_tie,False
proportional_3tier_os4_p64_k2,55,network_maxmin,0.001,0.021500000000000102,3f9604189374bc88,0.021500000000000102,3f9604189374bc88,0.0,0,0.0,False,0,0.0,0,True,one_tick_tie,one_tick_tie,False
proportional_3tier_os4_p64_k2,66,link_local_equal_share,0.001,0.021500000000000102,3f9604189374bc88,0.021500000000000102,3f9604189374bc88,0.0,0,0.0,False,0,0.0,0,True,one_tick_tie,one_tick_tie,False
proportional_3tier_os4_p64_k2,66,network_maxmin,0.001,0.021500000000000102,3f9604189374bc88,0.021500000000000102,3f9604189374bc88,0.0,0,0.0,False,0,0.0,0,True,one_tick_tie,one_tick_tie,False
proportional_3tier_os4_p64_k2,77,link_local_equal_share,0.001,0.021500000000000102,3f9604189374bc88,0.021500000000000102,3f9604189374bc88,0.0,0,0.0,False,0,0.0,0,True,one_tick_tie,one_tick_tie,False
proportional_3tier_os4_p64_k2,77,network_maxmin,0.001,0.021500000000000102,3f9604189374bc88,0.021500000000000102,3f9604189374bc88,0.0,0,0.0,False,0,0.0,0,True,one_tick_tie,one_tick_tie,False
proportional_3tier_os4_p64_k2,88,link_local_equal_share,0.001,0.026900000000000257,3f9b8bac710cb2e0,0.026900000000000257,3f9b8bac710cb2e0,0.0,0,0.0,False,0,0.0,0,True,one_tick_tie,one_tick_tie,False
proportional_3tier_os4_p64_k2,88,network_maxmin,0.001,0.026900000000000257,3f9b8bac710cb2e0,0.026900000000000257,3f9b8bac710cb2e0,0.0,0,0.0,False,0,0.0,0,True,one_tick_tie,one_tick_tie,False
proportional_3tier_os4_p64_k2,99,link_local_equal_share,0.001,0.021500000000000102,3f9604189374bc88,0.021500000000000102,3f9604189374bc88,0.0,0,0.0,False,0,0.0,0,True,one_tick_tie,one_tick_tie,False
proportional_3tier_os4_p64_k2,99,network_maxmin,0.001,0.021500000000000102,3f9604189374bc88,0.021500000000000102,3f9604189374bc88,0.0,0,0.0,False,0,0.0,0,True,one_tick_tie,one_tick_tie,False
proportional_3tier_os4_p64_k16,0,link_local_equal_share,0.001,0.005899999999999992,3f782a9930be0de4,0.005899999999999992,3f782a9930be0de4,0.0,0,0.0,False,0,0.0,0,True,network_maxmin_faster,network_maxmin_faster,False
proportional_3tier_os4_p64_k16,0,network_maxmin,0.001,0.005399999999999995,3f761e4f765fd8a8,0.005399999999999995,3f761e4f765fd8a8,0.0,0,0.0,False,0,0.0,0,True,network_maxmin_faster,network_maxmin_faster,False
proportional_3tier_os4_p64_k16,11,link_local_equal_share,0.001,0.0059999999999999915,3f789374bc6a7ef0,0.0059999999999999915,3f789374bc6a7ef0,0.0,0,0.0,False,0,0.0,0,True,network_maxmin_faster,network_maxmin_faster,False
proportional_3tier_os4_p64_k16,11,network_maxmin,0.001,0.005399999999999995,3f761e4f765fd8a8,0.005399999999999995,3f761e4f765fd8a8,0.0,0,0.0,False,0,0.0,0,True,network_maxmin_faster,network_maxmin_faster,False
proportional_3tier_os4_p64_k16,22,link_local_equal_share,0.001,0.005749999999999993,3f778d4fdf3b6452,0.005749999999999993,3f778d4fdf3b6452,0.0,0,0.0,False,0,0.0,0,True,network_maxmin_faster,network_maxmin_faster,False
proportional_3tier_os4_p64_k16,22,network_maxmin,0.001,0.005399999999999995,3f761e4f765fd8a8,0.005399999999999995,3f761e4f765fd8a8,0.0,0,0.0,False,0,0.0,0,True,network_maxmin_faster,network_maxmin_faster,False
proportional_3tier_os4_p64_k16,33,link_local_equal_share,0.001,0.00629999999999999,3f79ce075f6fd214,0.00629999999999999,3f79ce075f6fd214,0.0,0,0.0,False,3,0.009868421052631582,16,True,network_maxmin_faster,network_maxmin_faster,False
proportional_3tier_os4_p64_k16,33,network_maxmin,0.001,0.005399999999999995,3f761e4f765fd8a8,0.005399999999999995,3f761e4f765fd8a8,0.0,0,0.0,False,0,0.0,0,True,network_maxmin_faster,network_maxmin_faster,False
proportional_3tier_os4_p64_k16,44,link_local_equal_share,0.001,0.005799999999999993,3f77c1bda5119cd8,0.005799999999999993,3f77c1bda5119cd8,0.0,0,0.0,False,0,0.0,0,True,network_maxmin_faster,network_maxmin_faster,False
proportional_3tier_os4_p64_k16,44,network_maxmin,0.001,0.005399999999999995,3f761e4f765fd8a8,0.005399999999999995,3f761e4f765fd8a8,0.0,0,0.0,False,0,0.0,0,True,network_maxmin_faster,network_maxmin_faster,False
proportional_3tier_os4_p64_k16,55,link_local_equal_share,0.001,0.005749999999999993,3f778d4fdf3b6452,0.005749999999999993,3f778d4fdf3b6452,0.0,0,0.0,False,0,0.0,0,True,network_maxmin_faster,network_maxmin_faster,False
proportional_3tier_os4_p64_k16,55,network_maxmin,0.001,0.005399999999999995,3f761e4f765fd8a8,0.005399999999999995,3f761e4f765fd8a8,0.0,0,0.0,False,0,0.0,0,True,network_maxmin_faster,network_maxmin_faster,False
proportional_3tier_os4_p64_k16,66,link_local_equal_share,0.001,0.005849999999999992,3f77f62b6ae7d55e,0.005849999999999992,3f77f62b6ae7d55e,0.0,0,0.0,False,0,0.0,0,True,network_maxmin_faster,network_maxmin_faster,False
