pair_id,arm_id,sample_id,family,runner,policy,allocator,execution_position,completion_time_s,completion_time_hex,simulated_ticks,wall_time_s,cpu_time_s,simulation_wall_time_s,simulation_cpu_time_s,config_sha256,topology_sha256,ring_sha256,route_sha256,process_initial_sha256,conservation_max_error_B,conservation_remaining_B,foreground_flow_count,adaptive_event_count,final_k_mean,final_k_max,step_count,mean_step_s,p99_step_s,max_step_s,oracle_status,pilot_use
a001_equal_3tier_nb_p16_k1__s005,equal_3tier_nb_p16_k1,5,static_split,simple,equal,link_local_equal_share,1,0.005399999999999995,3f761e4f765fd8a8,108,0.01369289998547174,0.015625,0.007272999995620921,0.015625,09b3fd2bc0e1eea997a6a9843dda2df2f0957c3b05505d6e22f1f117604fbc75,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,5f63580c45423263c6ba56a11e2d9e6b95bc56d08551e54c7fcc3c42212c46fc,ea1a0700c86b68f9abf063269c67e0686efee9aa0271ed613d4e4029831da0f0,698c3f32f5decd4eed9d7881a4431e6d4ff17b48140f84b30bc4d9d9be2563fa,0.0,0.0,16,,,,,,,,exact_binary64_match,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s005,equal_3tier_nb_p16_k1,5,static_split,simple,equal,network_maxmin,0,0.005399999999999995,3f761e4f765fd8a8,108,0.02079879998927936,0.03125,0.013488799973856658,0.0,09b3fd2bc0e1eea997a6a9843dda2df2f0957c3b05505d6e22f1f117604fbc75,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,5f63580c45423263c6ba56a11e2d9e6b95bc56d08551e54c7fcc3c42212c46fc,ea1a0700c86b68f9abf063269c67e0686efee9aa0271ed613d4e4029831da0f0,698c3f32f5decd4eed9d7881a4431e6d4ff17b48140f84b30bc4d9d9be2563fa,0.0,0.0,16,,,,,,,,not_applicable_new_allocator,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s006,equal_3tier_nb_p16_k1,6,static_split,simple,equal,link_local_equal_share,0,0.005399999999999995,3f761e4f765fd8a8,108,0.01207060000160709,0.015625,0.0059775999980047345,0.0,918c1f9d18451b6ef09938c42e3efbe288bbeeb2092ed72706ee62d735c4067a,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,209f4e1d2838c3ac7a4519de08033a6427d715dc84de61b67fc0fd23a02b1281,5d6d48430752298efa9e5367ff665192cb2bc5ac7430542340f00797a9994b2a,698c3f32f5decd4eed9d7881a4431e6d4ff17b48140f84b30bc4d9d9be2563fa,0.0,0.0,16,,,,,,,,exact_binary64_match,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s006,equal_3tier_nb_p16_k1,6,static_split,simple,equal,network_maxmin,1,0.005399999999999995,3f761e4f765fd8a8,108,0.015295199991669506,0.015625,0.010128800000529736,0.015625,918c1f9d18451b6ef09938c42e3efbe288bbeeb2092ed72706ee62d735c4067a,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,209f4e1d2838c3ac7a4519de08033a6427d715dc84de61b67fc0fd23a02b1281,5d6d48430752298efa9e5367ff665192cb2bc5ac7430542340f00797a9994b2a,698c3f32f5decd4eed9d7881a4431e6d4ff17b48140f84b30bc4d9d9be2563fa,0.0,0.0,16,,,,,,,,not_applicable_new_allocator,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s007,equal_3tier_nb_p16_k1,7,static_split,simple,equal,link_local_equal_share,1,0.005399999999999995,3f761e4f765fd8a8,108,0.01075200000195764,0.015625,0.005623000004561618,0.0,6adba23c7e3141545ceb6bf16b8e7def835beb6768a960d58d1f6535cff12e1a,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,88d33129c37f78760736e66f9740065d66359ed1c63f0bac2b21bc93d0bab7cf,9ad7ef087b6b73e7b02ee3656d6e135c52c67bb5ef13d3764672811d276d0e7e,698c3f32f5decd4eed9d7881a4431e6d4ff17b48140f84b30bc4d9d9be2563fa,0.0,0.0,16,,,,,,,,exact_binary64_match,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s007,equal_3tier_nb_p16_k1,7,static_split,simple,equal,network_maxmin,0,0.005399999999999995,3f761e4f765fd8a8,108,0.03428280001389794,0.03125,0.022914100001798943,0.015625,6adba23c7e3141545ceb6bf16b8e7def835beb6768a960d58d1f6535cff12e1a,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,88d33129c37f78760736e66f9740065d66359ed1c63f0bac2b21bc93d0bab7cf,9ad7ef087b6b73e7b02ee3656d6e135c52c67bb5ef13d3764672811d276d0e7e,698c3f32f5decd4eed9d7881a4431e6d4ff17b48140f84b30bc4d9d9be2563fa,0.0,0.0,16,,,,,,,,not_applicable_new_allocator,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s008,equal_3tier_nb_p16_k1,8,static_split,simple,equal,link_local_equal_share,0,0.010749999999999963,3f8604189374bc55,215,0.012157699995441362,0.015625,0.006654299999354407,0.0,fd10df6393f04891763689d24644ec5bd35c18fe3753fa435dc4be134c99cdc8,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,f61358edc45ff2a59760af9938e4d46738bc27f11da529eafc5624d29cf7a169,3890ef681d96989c289c85c10745f3f5d14cfab68f91676e633191f5eea085c2,698c3f32f5decd4eed9d7881a4431e6d4ff17b48140f84b30bc4d9d9be2563fa,0.0,0.0,16,,,,,,,,exact_binary64_match,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s008,equal_3tier_nb_p16_k1,8,static_split,simple,equal,network_maxmin,1,0.010749999999999963,3f8604189374bc55,215,0.030662500008475035,0.03125,0.020245799998519942,0.015625,fd10df6393f04891763689d24644ec5bd35c18fe3753fa435dc4be134c99cdc8,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,f61358edc45ff2a59760af9938e4d46738bc27f11da529eafc5624d29cf7a169,3890ef681d96989c289c85c10745f3f5d14cfab68f91676e633191f5eea085c2,698c3f32f5decd4eed9d7881a4431e6d4ff17b48140f84b30bc4d9d9be2563fa,0.0,0.0,16,,,,,,,,not_applicable_new_allocator,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s009,equal_3tier_nb_p16_k1,9,static_split,simple,equal,link_local_equal_share,1,0.005399999999999995,3f761e4f765fd8a8,108,0.0112039000086952,0.015625,0.006081299972720444,0.0,8abc622b6452e160439135017bbe182a8729d099588a8d62721c14df04147a36,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,d29d659b532ffb307f17cfe7326910681b9c77bad1430e411aa2bf882ccf541f,f4068bf69d17f525fbbe55d0fedcf7411a286b1c464fbb02c3cec770cb21755b,698c3f32f5decd4eed9d7881a4431e6d4ff17b48140f84b30bc4d9d9be2563fa,0.0,0.0,16,,,,,,,,exact_binary64_match,paired_n100_revalidation
a001_equal_3tier_nb_p16_k1__s009,equal_3tier_nb_p16_k1,9,static_split,simple,equal,network_maxmin,0,0.005399999999999995,3f761e4f765fd8a8,108,0.016570699983276427,0.015625,0.010186900006374344,0.015625,8abc622b6452e160439135017bbe182a8729d099588a8d62721c14df04147a36,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,d29d659b532ffb307f17cfe7326910681b9c77bad1430e411aa2bf882ccf541f,f4068bf69d17f525fbbe55d0fedcf7411a286b1c464fbb02c3cec770cb21755b,698c3f32f5decd4eed9d7881a4431e6d4ff17b48140f84b30bc4d9d9be2563fa,0.0,0.0,16,,,,,,,,not_applicable_new_allocator,paired_n100_revalidation
