fabric,P,n,metric,mean_of_ratios,ci_low,ci_high,ratio_of_means
3tier_os4,64,1000,equal@32 / prop@16,1.1162809278453054,1.108807131054363,1.1241102808009888,1.1168493185409252
3tier_os4,64,1000,equal@32 / prop@8,0.937594109000695,0.9308609410207774,0.944398692741997,0.9364828578108729
