seed,k,t_equal,t_prop
6,1,0.04295000000000072,0.04295000000000072
6,2,0.021500000000000102,0.01795
6,4,0.01614999999999995,0.009699999999999969
6,8,0.010749999999999963,0.006849999999999986
6,16,0.008099999999999979,0.005899999999999992
6,32,0.006749999999999987,0.005599999999999994
7,1,0.04295000000000072,0.04295000000000072
7,2,0.03225000000000041,0.021500000000000102
7,4,0.01614999999999995,0.010749999999999963
7,8,0.010749999999999963,0.006949999999999986
7,16,0.009399999999999971,0.005899999999999992
7,32,0.006049999999999991,0.005449999999999995
0,1,0.04295000000000072,0.04295000000000072
0,2,0.021500000000000102,0.01795
0,4,0.021500000000000102,0.011699999999999957
0,8,0.010749999999999963,0.007399999999999983
0,16,0.008099999999999979,0.005899999999999992
0,32,0.006749999999999987,0.005549999999999994
1,1,0.04295000000000072,0.04295000000000072
1,2,0.021500000000000102,0.021500000000000102
1,4,0.01614999999999995,0.008749999999999975
1,8,0.010749999999999963,0.006899999999999986
1,16,0.009399999999999971,0.005849999999999992
1,32,0.006749999999999987,0.005549999999999994
4,1,0.04295000000000072,0.04295000000000072
4,2,0.021500000000000102,0.01795
4,4,0.01614999999999995,0.009349999999999971
4,8,0.010749999999999963,0.006749999999999987
4,16,0.009399999999999971,0.005899999999999992
4,32,0.006749999999999987,0.0054999999999999945
2,1,0.04295000000000072,0.04295000000000072
2,2,0.021500000000000102,0.021500000000000102
2,4,0.021500000000000102,0.010899999999999962
2,8,0.01614999999999995,0.0077999999999999806
2,16,0.012099999999999955,0.006349999999999989
2,32,0.008749999999999975,0.005699999999999993
9,1,0.04295000000000072,0.04295000000000072
9,2,0.021500000000000102,0.021500000000000102
9,4,0.01614999999999995,0.009199999999999972
9,8,0.010749999999999963,0.007049999999999985
9,16,0.008099999999999979,0.005899999999999992
9,32,0.005399999999999995,0.005399999999999995
5,1,0.04295000000000072,0.04295000000000072
5,2,0.021500000000000102,0.021500000000000102
5,4,0.01614999999999995,0.00959999999999997
5,8,0.010749999999999963,0.006599999999999988
5,16,0.008099999999999979,0.005749999999999993
5,32,0.006049999999999991,0.005449999999999995
3,1,0.04295000000000072,0.04295000000000072
3,2,0.021500000000000102,0.021500000000000102
3,4,0.01614999999999995,0.009199999999999972
3,8,0.01614999999999995,0.006949999999999986
3,16,0.008099999999999979,0.005899999999999992
3,32,0.006749999999999987,0.0054999999999999945
8,1,0.06445000000000106,0.06445000000000106
8,2,0.03225000000000041,0.020900000000000085
8,4,0.021500000000000102,0.010649999999999963
8,8,0.013449999999999946,0.007749999999999981
8,16,0.009399999999999971,0.006099999999999991
8,32,0.006749999999999987,0.0054999999999999945
14,1,0.04295000000000072,0.04295000000000072
14,2,0.021500000000000102,0.021500000000000102
14,4,0.01614999999999995,0.012549999999999952
14,8,0.010749999999999963,0.006999999999999985
14,16,0.009399999999999971,0.00629999999999999
14,32,0.006049999999999991,0.0054999999999999945
10,1,0.04295000000000072,0.04295000000000072
10,2,0.021500000000000102,0.021500000000000102
10,4,0.01614999999999995,0.010649999999999963
10,8,0.010749999999999963,0.006799999999999987
10,16,0.006749999999999987,0.005749999999999993
10,32,0.006749999999999987,0.005549999999999994
13,1,0.021500000000000102,0.021500000000000102
13,2,0.03225000000000041,0.02420000000000018
13,4,0.01614999999999995,0.00964999999999997
13,8,0.010749999999999963,0.0076499999999999815
13,16,0.008099999999999979,0.006049999999999991
13,32,0.008099999999999979,0.005699999999999993
11,1,0.04295000000000072,0.04295000000000072
11,2,0.021500000000000102,0.021500000000000102
11,4,0.021500000000000102,0.011049999999999961
11,8,0.010749999999999963,0.006999999999999985
11,16,0.009399999999999971,0.0059999999999999915
11,32,0.006749999999999987,0.0054999999999999945
12,1,0.04295000000000072,0.04295000000000072
12,2,0.03225000000000041,0.028650000000000307
12,4,0.01614999999999995,0.00964999999999997
12,8,0.010749999999999963,0.006499999999999988
12,16,0.008099999999999979,0.005749999999999993
12,32,0.006749999999999987,0.005549999999999994
17,1,0.04295000000000072,0.04295000000000072
17,2,0.021500000000000102,0.01795
17,4,0.01614999999999995,0.010149999999999966
17,8,0.010749999999999963,0.007549999999999982
17,16,0.008099999999999979,0.005849999999999992
17,32,0.006049999999999991,0.005449999999999995
16,1,0.04295000000000072,0.04295000000000072
16,2,0.021500000000000102,0.01795
16,4,0.01614999999999995,0.009299999999999971
16,8,0.010749999999999963,0.006849999999999986
16,16,0.008099999999999979,0.005849999999999992
16,32,0.006049999999999991,0.0054999999999999945
15,1,0.04295000000000072,0.04295000000000072
15,2,0.021500000000000102,0.021500000000000102
15,4,0.01614999999999995,0.009299999999999971
15,8,0.010749999999999963,0.006749999999999987
15,16,0.008099999999999979,0.005849999999999992
15,32,0.006049999999999991,0.005449999999999995
18,1,0.04295000000000072,0.04295000000000072
18,2,0.03225000000000041,0.021500000000000102
18,4,0.01614999999999995,0.00959999999999997
18,8,0.010749999999999963,0.007699999999999981
18,16,0.009399999999999971,0.005949999999999992
18,32,0.006749999999999987,0.005599999999999994
19,1,0.04295000000000072,0.04295000000000072
19,2,0.03225000000000041,0.019750000000000052
19,4,0.01614999999999995,0.00949999999999997
19,8,0.010749999999999963,0.006449999999999989
19,16,0.006749999999999987,0.005699999999999993
19,32,0.006749999999999987,0.0054999999999999945
22,1,0.04295000000000072,0.04295000000000072
22,2,0.03225000000000041,0.028650000000000307
22,4,0.01614999999999995,0.010199999999999966
22,8,0.013449999999999946,0.007199999999999984
22,16,0.009399999999999971,0.005749999999999993
22,32,0.006049999999999991,0.005449999999999995
23,1,0.021500000000000102,0.021500000000000102
23,2,0.021500000000000102,0.01795
23,4,0.01614999999999995,0.010099999999999967
23,8,0.013449999999999946,0.007549999999999982
23,16,0.009399999999999971,0.0061499999999999905
23,32,0.006049999999999991,0.005449999999999995
25,1,0.04295000000000072,0.04295000000000072
25,2,0.021500000000000102,0.021500000000000102
25,4,0.01614999999999995,0.010499999999999964
25,8,0.010749999999999963,0.007699999999999981
25,16,0.008099999999999979,0.005799999999999993
25,32,0.006749999999999987,0.005549999999999994
21,1,0.04295000000000072,0.04295000000000072
21,2,0.03225000000000041,0.026900000000000257
21,4,0.01614999999999995,0.009249999999999972
21,8,0.01614999999999995,0.007199999999999984
21,16,0.009399999999999971,0.005849999999999992
21,32,0.006049999999999991,0.005449999999999995
24,1,0.04295000000000072,0.04295000000000072
24,2,0.021500000000000102,0.021500000000000102
24,4,0.01614999999999995,0.009199999999999972
24,8,0.010749999999999963,0.006749999999999987
24,16,0.009399999999999971,0.0059999999999999915
24,32,0.006749999999999987,0.0054999999999999945
20,1,0.04295000000000072,0.04295000000000072
20,2,0.021500000000000102,0.021500000000000102
20,4,0.021500000000000102,0.01109999999999996
20,8,0.01614999999999995,0.008099999999999979
20,16,0.010749999999999963,0.006099999999999991
20,32,0.008099999999999979,0.005599999999999994
27,1,0.021500000000000102,0.021500000000000102
27,2,0.03225000000000041,0.01795
27,4,0.01614999999999995,0.009699999999999969
27,8,0.010749999999999963,0.006799999999999987
27,16,0.009399999999999971,0.006049999999999991
27,32,0.006749999999999987,0.005549999999999994
26,1,0.04295000000000072,0.04295000000000072
26,2,0.021500000000000102,0.021500000000000102
26,4,0.01614999999999995,0.010749999999999963
26,8,0.010749999999999963,0.007049999999999985
26,16,0.008099999999999979,0.0059999999999999915
26,32,0.006749999999999987,0.005599999999999994
29,1,0.04295000000000072,0.04295000000000072
29,2,0.03225000000000041,0.021500000000000102
29,4,0.01614999999999995,0.009949999999999968
29,8,0.013449999999999946,0.007049999999999985
29,16,0.009399999999999971,0.006099999999999991
29,32,0.006049999999999991,0.0054999999999999945
28,1,0.04295000000000072,0.04295000000000072
28,2,0.021500000000000102,0.021500000000000102
28,4,0.01614999999999995,0.010199999999999966
28,8,0.013449999999999946,0.006799999999999987
28,16,0.008099999999999979,0.006099999999999991
28,32,0.006749999999999987,0.005549999999999994
31,1,0.04295000000000072,0.04295000000000072
31,2,0.03225000000000041,0.01795
31,4,0.01614999999999995,0.008849999999999974
31,8,0.013449999999999946,0.006699999999999987
31,16,0.008099999999999979,0.005699999999999993
31,32,0.006049999999999991,0.005449999999999995
30,1,0.06445000000000106,0.06445000000000106
30,2,0.03225000000000041,0.021500000000000102
30,4,0.021500000000000102,0.010899999999999962
30,8,0.013449999999999946,0.007099999999999985
30,16,0.009399999999999971,0.0059999999999999915
30,32,0.006049999999999991,0.005449999999999995
33,1,0.04295000000000072,0.04295000000000072
33,2,0.021500000000000102,0.01795
33,4,0.01614999999999995,0.00964999999999997
33,8,0.013449999999999946,0.00799999999999998
33,16,0.009399999999999971,0.00629999999999999
33,32,0.007399999999999983,0.005649999999999994
32,1,0.04295000000000072,0.04295000000000072
32,2,0.03225000000000041,0.02390000000000017
32,4,0.01614999999999995,0.010749999999999963
32,8,0.010749999999999963,0.007249999999999984
32,16,0.008099999999999979,0.005749999999999993
32,32,0.006049999999999991,0.005449999999999995
34,1,0.04295000000000072,0.04295000000000072
34,2,0.021500000000000102,0.021500000000000102
34,4,0.01614999999999995,0.009249999999999972
34,8,0.013449999999999946,0.007049999999999985
34,16,0.009399999999999971,0.0059999999999999915
34,32,0.006749999999999987,0.005549999999999994
36,1,0.04295000000000072,0.04295000000000072
36,2,0.021500000000000102,0.021500000000000102
36,4,0.01614999999999995,0.010749999999999963
36,8,0.013449999999999946,0.007199999999999984
36,16,0.009399999999999971,0.006099999999999991
36,32,0.006749999999999987,0.0054999999999999945
38,1,0.04295000000000072,0.04295000000000072
38,2,0.03225000000000041,0.019750000000000052
38,4,0.01614999999999995,0.00954999999999997
38,8,0.010749999999999963,0.007099999999999985
38,16,0.008099999999999979,0.005749999999999993
38,32,0.006049999999999991,0.0054999999999999945
35,1,0.04295000000000072,0.04295000000000072
35,2,0.03225000000000041,0.021500000000000102
35,4,0.021500000000000102,0.011849999999999956
35,8,0.013449999999999946,0.006749999999999987
35,16,0.009399999999999971,0.005849999999999992
35,32,0.006749999999999987,0.005549999999999994
37,1,0.04295000000000072,0.04295000000000072
37,2,0.04295000000000072,0.03010000000000035
37,4,0.021500000000000102,0.010999999999999961
37,8,0.01614999999999995,0.007099999999999985
37,16,0.009399999999999971,0.005899999999999992
37,32,0.006049999999999991,0.005449999999999995
39,1,0.04295000000000072,0.04295000000000072
39,2,0.021500000000000102,0.021500000000000102
39,4,0.01614999999999995,0.011399999999999959
39,8,0.013449999999999946,0.008199999999999978
39,16,0.008099999999999979,0.006049999999999991
39,32,0.008749999999999975,0.005799999999999993
40,1,0.04295000000000072,0.04295000000000072
40,2,0.03225000000000041,0.028650000000000307
40,4,0.01614999999999995,0.008899999999999974
40,8,0.013449999999999946,0.0071499999999999845
40,16,0.008099999999999979,0.005899999999999992
40,32,0.006049999999999991,0.005449999999999995
41,1,0.021500000000000102,0.021500000000000102
41,2,0.021500000000000102,0.01795
41,4,0.01614999999999995,0.009799999999999968
41,8,0.010749999999999963,0.007199999999999984
41,16,0.009399999999999971,0.0059999999999999915
41,32,0.006049999999999991,0.0054999999999999945
42,1,0.04295000000000072,0.04295000000000072
42,2,0.021500000000000102,0.014349999999999941
42,4,0.01614999999999995,0.008799999999999975
42,8,0.010749999999999963,0.006449999999999989
42,16,0.006749999999999987,0.005699999999999993
42,32,0.006049999999999991,0.005449999999999995
43,1,0.04295000000000072,0.04295000000000072
43,2,0.021500000000000102,0.01795
43,4,0.01614999999999995,0.008899999999999974
43,8,0.013449999999999946,0.006849999999999986
43,16,0.008099999999999979,0.005799999999999993
43,32,0.006049999999999991,0.005449999999999995
44,1,0.04295000000000072,0.04295000000000072
44,2,0.03225000000000041,0.021500000000000102
44,4,0.01614999999999995,0.009849999999999968
44,8,0.013449999999999946,0.006749999999999987
44,16,0.008099999999999979,0.005799999999999993
44,32,0.006749999999999987,0.005549999999999994
48,1,0.04295000000000072,0.04295000000000072
48,2,0.021500000000000102,0.019100000000000034
48,4,0.01614999999999995,0.009399999999999971
48,8,0.010749999999999963,0.006699999999999987
48,16,0.006749999999999987,0.005749999999999993
48,32,0.007399999999999983,0.005549999999999994
47,1,0.04295000000000072,0.04295000000000072
47,2,0.021500000000000102,0.021500000000000102
47,4,0.01614999999999995,0.010299999999999965
47,8,0.010749999999999963,0.006599999999999988
47,16,0.008099999999999979,0.005799999999999993
47,32,0.006049999999999991,0.005449999999999995
46,1,0.04295000000000072,0.04295000000000072
46,2,0.03225000000000041,0.026900000000000257
46,4,0.021500000000000102,0.010449999999999965
46,8,0.013449999999999946,0.006699999999999987
46,16,0.009399999999999971,0.005899999999999992
46,32,0.006049999999999991,0.005449999999999995
45,1,0.04295000000000072,0.04295000000000072
45,2,0.021500000000000102,0.019100000000000034
45,4,0.01614999999999995,0.010499999999999964
45,8,0.010749999999999963,0.007249999999999984
45,16,0.009399999999999971,0.005799999999999993
45,32,0.007399999999999983,0.005599999999999994
49,1,0.04295000000000072,0.04295000000000072
49,2,0.021500000000000102,0.01795
49,4,0.01614999999999995,0.008899999999999974
49,8,0.010749999999999963,0.006949999999999986
49,16,0.006749999999999987,0.005699999999999993
49,32,0.006749999999999987,0.005549999999999994
50,1,0.04295000000000072,0.04295000000000072
50,2,0.021500000000000102,0.021500000000000102
50,4,0.021500000000000102,0.010499999999999964
50,8,0.010749999999999963,0.007399999999999983
50,16,0.009399999999999971,0.005899999999999992
50,32,0.006749999999999987,0.005549999999999994
52,1,0.04295000000000072,0.04295000000000072
52,2,0.03225000000000041,0.026900000000000257
52,4,0.01614999999999995,0.009249999999999972
52,8,0.013449999999999946,0.0071499999999999845
52,16,0.009399999999999971,0.005849999999999992
52,32,0.006749999999999987,0.005599999999999994
54,1,0.04295000000000072,0.04295000000000072
54,2,0.021500000000000102,0.01795
54,4,0.01614999999999995,0.009699999999999969
54,8,0.013449999999999946,0.007449999999999983
54,16,0.008099999999999979,0.005949999999999992
54,32,0.006749999999999987,0.0054999999999999945
51,1,0.04295000000000072,0.04295000000000072
51,2,0.021500000000000102,0.014349999999999941
51,4,0.021500000000000102,0.00964999999999997
51,8,0.013449999999999946,0.007199999999999984
51,16,0.009399999999999971,0.005899999999999992
51,32,0.007399999999999983,0.005699999999999993
53,1,0.04295000000000072,0.04295000000000072
53,2,0.03225000000000041,0.019100000000000034
53,4,0.01614999999999995,0.008749999999999975
53,8,0.013449999999999946,0.007299999999999984
53,16,0.008099999999999979,0.005699999999999993
53,32,0.006749999999999987,0.0054999999999999945
57,1,0.021500000000000102,0.021500000000000102
57,2,0.021500000000000102,0.014349999999999941
57,4,0.01614999999999995,0.009399999999999971
57,8,0.010749999999999963,0.006799999999999987
57,16,0.008099999999999979,0.006049999999999991
57,32,0.006749999999999987,0.005549999999999994
58,1,0.04295000000000072,0.04295000000000072
58,2,0.021500000000000102,0.01795
58,4,0.01614999999999995,0.009299999999999971
58,8,0.01614999999999995,0.007449999999999983
58,16,0.010749999999999963,0.0061499999999999905
