arm_id,family,policy,fabric,ring_size,k,n_pairs,ratio_mean,ratio_mean_ci_low,ratio_mean_ci_high,ratio_geometric_mean,ratio_geometric_ci_low,ratio_geometric_ci_high,ratio_median,ratio_min,ratio_max,maxmin_faster_count,bit_equal_count,maxmin_slower_count,inference
placement_random_p64_k1,placement,equal,3tier_os4,64,1,100,0.9619341645242767,0.9555956986717936,0.9682684934489945,0.9613836264567921,0.9550185227215019,0.9677924538311959,0.9641238276236866,0.8843309253525988,1.0,80,20,0,maxmin_faster_pointwise_95pct_CI
placement_random_p64_k8,placement,equal,3tier_os4,64,8,100,0.9462000369582916,0.9391879901867793,0.9531487094944311,0.9455067438065902,0.93847169045062,0.952546514732491,0.9475222049367038,0.8522622345337101,1.0,98,2,0,maxmin_faster_pointwise_95pct_CI
placement_spread_p64_k1,placement,equal,3tier_os4,64,1,100,0.9919686780359229,0.9898703041117537,0.9939484888873618,0.991913218123905,0.9897989676882728,0.9939106126351825,0.9966724996467753,0.9504608294930887,1.0,57,43,0,maxmin_faster_pointwise_95pct_CI
placement_spread_p64_k8,placement,equal,3tier_os4,64,8,100,0.9866459725995607,0.9834043879670868,0.9897199649730756,0.9865105043524056,0.9832266424101932,0.9896292947315788,0.9946784433102859,0.9280639431616393,1.0,92,8,0,maxmin_faster_pointwise_95pct_CI
proportional_2tier_p16_k16,static_split,proportional,2tier,16,16,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,100,0,bit_exact_no_allocator_effect
proportional_2tier_p16_k2,static_split,proportional,2tier,16,2,100,0.9732782227013709,0.9641438934236871,0.9815117434159866,0.9721691077144898,0.9625024969786383,0.9809032445283085,1.0,0.750000000000001,1.0,43,57,0,maxmin_faster_pointwise_95pct_CI
proportional_2tier_p16_k4,static_split,proportional,2tier,16,4,100,0.9807277249624772,0.9706378389824765,0.9897713934190359,0.9794132871590717,0.9687267279320365,0.989056093804514,1.0,0.7883211678832125,1.0,15,85,0,maxmin_faster_pointwise_95pct_CI
proportional_2tier_p16_k8,static_split,proportional,2tier,16,8,100,0.9993103448275862,0.9979310344827585,1.0,0.9992856656185499,0.9978585273119694,1.0,1.0,0.931034482758621,1.0,1,99,0,pointwise_95pct_CI_includes_one
proportional_2tier_p64_k16,static_split,proportional,2tier,64,16,100,0.9417799221200832,0.9348778880605865,0.9486038568854435,0.9411142005348149,0.9341585438025211,0.9480100301577634,0.9473684210526319,0.8372093023255821,1.0,92,8,0,maxmin_faster_pointwise_95pct_CI
proportional_2tier_p64_k2,static_split,proportional,2tier,64,2,100,0.9769174193530327,0.9723715612138617,0.9812221776330513,0.9766508877529275,0.9720595564278314,0.9810106870513782,0.9833333333333334,0.9111111111111114,1.0,75,25,0,maxmin_faster_pointwise_95pct_CI
proportional_2tier_p64_k4,static_split,proportional,2tier,64,4,100,0.9217577780130736,0.9112416476161996,0.9315281743132897,0.9202136497468734,0.9091737290044346,0.9303908934710376,0.9353896103896107,0.7292817679558019,0.985611510791367,100,0,0,maxmin_faster_pointwise_95pct_CI
proportional_2tier_p64_k8,static_split,proportional,2tier,64,8,100,0.8742020411971655,0.8645164902154907,0.8838852476314932,0.8728048446777795,0.8631607842980216,0.8825406866515999,0.8780487804878054,0.7448275862068975,1.0,99,1,0,maxmin_faster_pointwise_95pct_CI
proportional_3tier_nb_p16_k16,static_split,proportional,3tier_nb,16,16,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,100,0,bit_exact_no_allocator_effect
