fabric,P,k,n,prop_vs_equal_mean,ci_low,ci_high,prop_vs_equal_max,mean_gap_equal_pct,mean_gap_prop_pct
3tier_nb,16,2,1000,1.0068154936085014,1.0052839981518558,1.0085282612043738,1.255813953488371,0.7062382996081258,0.059124330679474715
3tier_nb,16,4,1000,1.001360349515663,1.000753398501671,1.0020927462754206,1.16546762589928,0.7148530334233327,0.5786471068858199
3tier_nb,16,8,1000,1.0000862068965517,1.0,1.0002155172413794,1.0431034482758619,0.5914010521437497,0.5827345781855224
3tier_nb,16,16,1000,1.0,1.0,1.0,1.0,0.5828380584715909,0.5828380584715909
3tier_os2,16,2,1000,1.1804436748365439,1.1658789126286582,1.1948749813884532,1.993827160493826,17.679980273047786,-0.30137511591136135
3tier_os2,16,4,1000,1.0375100423129064,1.0316193456490488,1.04353446575668,1.5467625899280553,4.186202709873393,0.4505281647045391
3tier_os2,16,8,1000,1.000879157100506,1.0002882999353588,1.001614423076923,1.153846153846153,0.668493865264697,0.5803804016774664
3tier_os2,16,16,1000,1.0,1.0,1.0,1.0,0.5828380584715909,0.5828380584715909
3tier_os4,16,2,1000,1.1858481322817203,1.1706969817334472,1.200645911773137,1.9969040247678336,18.188210763037457,-0.33466989795384056
3tier_os4,16,4,1000,1.5273207253778602,1.5132401106869218,1.5417590417954032,2.5294117647059013,51.20763176431209,-1.0361071365577241
3tier_os4,16,8,1000,1.2969319883850703,1.28396188297837,1.3097638185151173,1.9635036496350327,29.88717321099475,0.18838802352534206
3tier_os4,16,16,1000,1.0336881796717308,1.0282425395413641,1.0393524182406688,1.7622950819672096,3.9671229331619977,0.580556872522454
2tier,16,2,1000,1.0473568097611774,1.0428489303974169,1.052125273151438,1.4930555555555536,2.1345301220812614,-2.3401799301307915
2tier,16,4,1000,1.0169029242724996,1.0141417149082228,1.0198083353718876,1.382352941176469,2.1273533946700356,0.44460096174752445
2tier,16,8,1000,1.0024380195078004,1.0015846132888837,1.0033772411396595,1.1653543307086607,0.8153747240400362,0.5715112004315316
2tier,16,16,1000,1.0002292944838924,1.0,1.0005430830039526,1.113043478260869,0.6059745524627476,0.5828901990801284
3tier_nb,64,2,1000,1.0884010064035776,1.0836527816134591,1.093562161301434,1.4930555555555536,3.175562495986358,-5.127597351869161
3tier_nb,64,4,1000,1.0346629786154045,1.0312863124380667,1.0381499713990798,1.2804232804232796,3.6280795695288353,0.18443156565927127
3tier_nb,64,8,1000,1.004424799740388,1.003134898299363,1.0058495220550894,1.3257575757575744,1.006159626914163,0.5632856755104768
3tier_nb,64,16,1000,1.0003572706642396,1.0000722402597402,1.0007335227806606,1.1327433628318577,0.6180460644563993,0.5821866612838243
3tier_os2,64,2,1000,1.2338368467240943,1.218748666808979,1.2492840959536133,2.2395833333333512,12.412606055537516,-8.145144581795046
3tier_os2,64,4,1000,1.3301781531560055,1.3204879167920807,1.3400909741429685,2.1181102362204673,30.80939635752647,-1.6406010865930496
3tier_os2,64,8,1000,1.0953988946238342,1.0881275376889996,1.10273336529185,1.7479674796747933,10.156261082759146,0.5739559712939093
3tier_os2,64,16,1000,1.002975429789562,1.0018503918913553,1.004263132968503,1.286956521739129,0.873751730893089,0.575417169115205
3tier_os4,64,2,1000,1.2483095272228437,1.2323753172405973,1.2642331712921713,2.2486910994764733,13.512719205271209,-8.362495868155966
3tier_os4,64,4,1000,1.7580612965112117,1.7425743808036267,1.7739050082827144,2.887096774193585,53.275298523820055,-12.824159643302648
3tier_os4,64,8,1000,1.720713439691892,1.7068405101188786,1.7345063551006539,2.8104575163398895,67.5174843635909,-2.645620522834339
3tier_os4,64,16,1000,1.4787675679610637,1.4682300936825823,1.4894577125693087,2.349206349206343,47.93958303733151,0.06193889499423162
2tier,64,2,1000,1.171589457919668,1.163916622520974,1.179429887866883,1.6812499999999977,2.335285572778249,-12.016676916253289
2tier,64,4,1000,1.256569978134799,1.2498736630810228,1.2634609092262084,1.746753246753244,18.98416566862695,-5.2790632608522206
2tier,64,8,1000,1.209814462794842,1.2041249840550785,1.2155234176810281,1.601398601398599,19.76207529242962,-0.9691562117215835
2tier,64,16,1000,1.1218790633149525,1.1170972572595923,1.1268398882713628,1.4796747967479653,12.522176451584219,0.31523447906004526
