fabric,P,seed,k,t_prop
2tier,16,85,16,0.005399999999999995
2tier,16,86,2,0.007549999999999982
2tier,16,86,4,0.005399999999999995
2tier,16,86,8,0.005399999999999995
2tier,16,86,16,0.005399999999999995
2tier,16,87,2,0.005399999999999995
2tier,16,87,4,0.005399999999999995
2tier,16,87,8,0.005399999999999995
2tier,16,87,16,0.005399999999999995
2tier,16,88,2,0.005399999999999995
2tier,16,88,4,0.005399999999999995
2tier,16,88,8,0.005399999999999995
2tier,16,88,16,0.005399999999999995
2tier,16,89,2,0.005399999999999995
2tier,16,89,4,0.005399999999999995
2tier,16,89,8,0.005399999999999995
2tier,16,89,16,0.005399999999999995
2tier,16,90,2,0.006449999999999989
2tier,16,90,4,0.005399999999999995
2tier,16,90,8,0.005399999999999995
2tier,16,90,16,0.005399999999999995
2tier,16,91,2,0.005399999999999995
2tier,16,91,4,0.005399999999999995
2tier,16,91,8,0.005399999999999995
2tier,16,91,16,0.005399999999999995
2tier,16,92,2,0.007549999999999982
2tier,16,92,4,0.005399999999999995
2tier,16,92,8,0.005399999999999995
2tier,16,92,16,0.005399999999999995
2tier,16,93,2,0.005399999999999995
2tier,16,93,4,0.005399999999999995
2tier,16,93,8,0.005399999999999995
2tier,16,93,16,0.005399999999999995
2tier,16,94,2,0.008999999999999973
2tier,16,94,4,0.005399999999999995
2tier,16,94,8,0.005399999999999995
2tier,16,94,16,0.005399999999999995
2tier,16,95,2,0.007549999999999982
2tier,16,95,4,0.006349999999999989
2tier,16,95,8,0.005399999999999995
2tier,16,95,16,0.005399999999999995
2tier,16,96,2,0.005399999999999995
2tier,16,96,4,0.005399999999999995
2tier,16,96,8,0.005399999999999995
2tier,16,96,16,0.005399999999999995
2tier,16,97,2,0.005399999999999995
2tier,16,97,4,0.005399999999999995
2tier,16,97,8,0.005399999999999995
2tier,16,97,16,0.005399999999999995
2tier,16,98,2,0.005399999999999995
2tier,16,98,4,0.005399999999999995
2tier,16,98,8,0.005399999999999995
2tier,16,98,16,0.005399999999999995
2tier,16,99,2,0.008999999999999973
2tier,16,99,4,0.0059999999999999915
2tier,16,99,8,0.005399999999999995
2tier,16,99,16,0.005399999999999995
2tier,16,100,2,0.007549999999999982
2tier,16,100,4,0.005399999999999995
2tier,16,100,8,0.005399999999999995
2tier,16,100,16,0.005399999999999995
2tier,16,101,2,0.007549999999999982
2tier,16,101,4,0.005399999999999995
2tier,16,101,8,0.005399999999999995
2tier,16,101,16,0.005399999999999995
2tier,16,102,2,0.008999999999999973
