ring_size,k,affected_fraction,n_seeds,speedup,speedup_ci_low,speedup_ci_high,total_qps
4,1,0.0,1000,1.0,1.0,1.0,4
4,2,0.0,1000,1.0082703488848042,1.003443982848454,1.0140592245736948,8
4,4,0.0,1000,1.0099948494025373,1.004111987299033,1.017283008129541,16
4,8,0.0,1000,1.0104047155298925,1.0042662273315504,1.0181015722237563,32
4,1,0.1,1000,1.0,1.0,1.0,4
4,2,0.1,1000,1.2733989630619886,1.2499716962952527,1.2967403497218462,8
4,4,0.1,1000,1.5942119443213738,1.5571885818797524,1.631652831066357,16
4,8,0.1,1000,1.7666378834724015,1.7248051038801637,1.8084020602791393,32
4,1,0.3,1000,1.0,1.0,1.0,4
4,2,0.3,1000,1.5330684689667509,1.5099325470229874,1.5554985008021358,8
4,4,0.3,1000,2.104796837779048,2.0665056231352876,2.142135994827391,16
4,8,0.3,1000,2.5170322226115345,2.473457052011544,2.561034007613138,32
4,1,0.5,1000,1.0,1.0,1.0,4
4,2,0.5,1000,1.6421317039265955,1.6231390204997382,1.6616087840246605,8
4,4,0.5,1000,2.32150297754396,2.287448073056903,2.3558159534776744,16
4,8,0.5,1000,2.8931752078601627,2.855138547432486,2.9311206239835697,32
8,1,0.0,1000,1.0,1.0,1.0,8
8,2,0.0,1000,1.0665691642949715,1.05207262845541,1.0822522730693407,16
8,4,0.0,1000,1.0764498449034117,1.0600162029417755,1.0932507072384154,32
8,8,0.0,1000,1.077114220997992,1.06020532320574,1.0942189472377664,64
8,1,0.1,1000,1.0,1.0,1.0,8
8,2,0.1,1000,1.3964785546105707,1.3745900030441687,1.418128745547989,16
8,4,0.1,1000,1.781347652594503,1.7487758589001012,1.814114720234529,32
8,8,0.1,1000,2.0260071812577483,1.9875188361902445,2.063519496684854,64
8,1,0.3,1000,1.0,1.0,1.0,8
8,2,0.3,1000,1.5917362573882987,1.5712963448377053,1.611793288173753,16
8,4,0.3,1000,2.1924272032163494,2.1609997172405517,2.2239959234993627,32
8,8,0.3,1000,2.692441557199879,2.654928988813623,2.729374160004788,64
8,1,0.5,1000,1.0,1.0,1.0,8
8,2,0.5,1000,1.6714246043801708,1.652621116173841,1.6899183527532422,16
8,4,0.5,1000,2.3004434108167815,2.2727022964215533,2.328841702698812,32
8,8,0.5,1000,2.9517211486301833,2.9192591348969446,2.9848266862285304,64
32,1,0.0,1000,1.0,1.0,1.0,32
32,2,0.0,1000,1.5147653556732958,1.4871070644926918,1.5435391602473894,64
32,4,0.0,1000,1.7121940282589974,1.6852763706816567,1.7403004292524007,128
32,8,0.0,1000,1.7518269958984587,1.7244567926843657,1.78063634548108,256
32,1,0.1,1000,1.0,1.0,1.0,32
32,2,0.1,1000,1.536308201341548,1.516638051335918,1.555429562620519,64
32,4,0.1,1000,1.9998068197613106,1.9707294460633669,2.029939035496816,128
32,8,0.1,1000,2.3788596774178377,2.3444039631419167,2.4131992331295837,256
32,1,0.3,1000,1.0,1.0,1.0,32
32,2,0.3,1000,1.5632378253799417,1.5452362866945832,1.5808492991508851,64
32,4,0.3,1000,2.1631205921237533,2.1362629762418837,2.1895249449144445,128
32,8,0.3,1000,2.762670807217798,2.733183784965496,2.79298598759352,256
32,1,0.5,1000,1.0,1.0,1.0,32
32,2,0.5,1000,1.535721501810744,1.5186909171868093,1.552666715457606,64
32,4,0.5,1000,2.177762974675875,2.1533699567826767,2.201743610535896,128
32,8,0.5,1000,2.8828628426598217,2.8528395446914483,2.9134261131991495,256
