ring_size,k,affected_fraction,T_mean,T_ci_low,T_ci_high,T_min,T_max,speedup,speedup_ci_low,speedup_ci_high,speedup_low,speedup_high,n_seeds,total_qps,total_qps_std,experiment,method,k_mean,k_mean_std,k_max,msg_bytes,p99_step
4,1.0,0.0,0.021500000000000092,0.021500000000000092,0.021500000000000092,0.0215000000000001,0.0215000000000001,1.0,1.0,1.0,1.0,1.0,1000,4.0,0.0,static,,,,,,
4,1.0,0.1,0.021500000000000092,0.021500000000000092,0.021500000000000092,0.0215000000000001,0.0215000000000001,1.0,1.0,1.0,1.0,1.0,1000,4.0,0.0,static,,,,,,
4,1.0,0.3,0.021500000000000092,0.021500000000000092,0.021500000000000092,0.0215000000000001,0.0215000000000001,1.0,1.0,1.0,1.0,1.0,1000,4.0,0.0,static,,,,,,
4,1.0,0.5,0.021500000000000092,0.021500000000000092,0.021500000000000092,0.0215000000000001,0.0215000000000001,1.0,1.0,1.0,1.0,1.0,1000,4.0,0.0,static,,,,,,
4,2.0,0.0,0.021500000000000092,0.021500000000000092,0.021500000000000092,0.0215000000000001,0.0215000000000001,1.0,1.0,1.0,1.0,1.0,1000,8.0,0.0,static,,,,,,
4,2.0,0.1,0.021500000000000092,0.021500000000000092,0.021500000000000092,0.0215000000000001,0.0215000000000001,1.0,1.0,1.0,1.0,1.0,1000,8.0,0.0,static,,,,,,
4,2.0,0.3,0.021500000000000092,0.021500000000000092,0.021500000000000092,0.0215000000000001,0.0215000000000001,1.0,1.0,1.0,1.0,1.0,1000,8.0,0.0,static,,,,,,
4,2.0,0.5,0.021500000000000092,0.021500000000000092,0.021500000000000092,0.0215000000000001,0.0215000000000001,1.0,1.0,1.0,1.0,1.0,1000,8.0,0.0,static,,,,,,
4,4.0,0.0,0.021500000000000092,0.021500000000000092,0.021500000000000092,0.0215000000000001,0.0215000000000001,1.0,1.0,1.0,1.0,1.0,1000,16.0,0.0,static,,,,,,
4,4.0,0.1,0.021500000000000092,0.021500000000000092,0.021500000000000092,0.0215000000000001,0.0215000000000001,1.0,1.0,1.0,1.0,1.0,1000,16.0,0.0,static,,,,,,
4,4.0,0.3,0.021500000000000092,0.021500000000000092,0.021500000000000092,0.0215000000000001,0.0215000000000001,1.0,1.0,1.0,1.0,1.0,1000,16.0,0.0,static,,,,,,
4,4.0,0.5,0.021500000000000092,0.021500000000000092,0.021500000000000092,0.0215000000000001,0.0215000000000001,1.0,1.0,1.0,1.0,1.0,1000,16.0,0.0,static,,,,,,
4,8.0,0.0,0.021500000000000092,0.021500000000000092,0.021500000000000092,0.0215000000000001,0.0215000000000001,1.0,1.0,1.0,1.0,1.0,1000,32.0,0.0,static,,,,,,
4,8.0,0.1,0.021500000000000092,0.021500000000000092,0.021500000000000092,0.0215000000000001,0.0215000000000001,1.0,1.0,1.0,1.0,1.0,1000,32.0,0.0,static,,,,,,
4,8.0,0.3,0.021500000000000092,0.021500000000000092,0.021500000000000092,0.0215000000000001,0.0215000000000001,1.0,1.0,1.0,1.0,1.0,1000,32.0,0.0,static,,,,,,
4,8.0,0.5,0.021500000000000092,0.021500000000000092,0.021500000000000092,0.0215000000000001,0.0215000000000001,1.0,1.0,1.0,1.0,1.0,1000,32.0,0.0,static,,,,,,
8,1.0,0.0,0.021500000000000092,0.021500000000000092,0.021500000000000092,0.0215000000000001,0.0215000000000001,1.0,1.0,1.0,1.0,1.0,1000,8.0,0.0,static,,,,,,
8,1.0,0.1,0.021500000000000092,0.021500000000000092,0.021500000000000092,0.0215000000000001,0.0215000000000001,1.0,1.0,1.0,1.0,1.0,1000,8.0,0.0,static,,,,,,
8,1.0,0.3,0.021500000000000092,0.021500000000000092,0.021500000000000092,0.0215000000000001,0.0215000000000001,1.0,1.0,1.0,1.0,1.0,1000,8.0,0.0,static,,,,,,
8,1.0,0.5,0.021500000000000092,0.021500000000000092,0.021500000000000092,0.0215000000000001,0.0215000000000001,1.0,1.0,1.0,1.0,1.0,1000,8.0,0.0,static,,,,,,
8,2.0,0.0,0.021500000000000092,0.021500000000000092,0.021500000000000092,0.0215000000000001,0.0215000000000001,1.0,1.0,1.0,1.0,1.0,1000,16.0,0.0,static,,,,,,
8,2.0,0.1,0.021500000000000092,0.021500000000000092,0.021500000000000092,0.0215000000000001,0.0215000000000001,1.0,1.0,1.0,1.0,1.0,1000,16.0,0.0,static,,,,,,
8,2.0,0.3,0.021500000000000092,0.021500000000000092,0.021500000000000092,0.0215000000000001,0.0215000000000001,1.0,1.0,1.0,1.0,1.0,1000,16.0,0.0,static,,,,,,
8,2.0,0.5,0.021500000000000092,0.021500000000000092,0.021500000000000092,0.0215000000000001,0.0215000000000001,1.0,1.0,1.0,1.0,1.0,1000,16.0,0.0,static,,,,,,
8,4.0,0.0,0.021500000000000092,0.021500000000000092,0.021500000000000092,0.0215000000000001,0.0215000000000001,1.0,1.0,1.0,1.0,1.0,1000,32.0,0.0,static,,,,,,
8,4.0,0.1,0.021500000000000092,0.021500000000000092,0.021500000000000092,0.0215000000000001,0.0215000000000001,1.0,1.0,1.0,1.0,1.0,1000,32.0,0.0,static,,,,,,
8,4.0,0.3,0.021500000000000092,0.021500000000000092,0.021500000000000092,0.0215000000000001,0.0215000000000001,1.0,1.0,1.0,1.0,1.0,1000,32.0,0.0,static,,,,,,
8,4.0,0.5,0.021500000000000092,0.021500000000000092,0.021500000000000092,0.0215000000000001,0.0215000000000001,1.0,1.0,1.0,1.0,1.0,1000,32.0,0.0,static,,,,,,
8,8.0,0.0,0.021500000000000092,0.021500000000000092,0.021500000000000092,0.0215000000000001,0.0215000000000001,1.0,1.0,1.0,1.0,1.0,1000,64.0,0.0,static,,,,,,
8,8.0,0.1,0.021500000000000092,0.021500000000000092,0.021500000000000092,0.0215000000000001,0.0215000000000001,1.0,1.0,1.0,1.0,1.0,1000,64.0,0.0,static,,,,,,
8,8.0,0.3,0.021500000000000092,0.021500000000000092,0.021500000000000092,0.0215000000000001,0.0215000000000001,1.0,1.0,1.0,1.0,1.0,1000,64.0,0.0,static,,,,,,
8,8.0,0.5,0.021500000000000092,0.021500000000000092,0.021500000000000092,0.0215000000000001,0.0215000000000001,1.0,1.0,1.0,1.0,1.0,1000,64.0,0.0,static,,,,,,
16,1.0,0.0,0.021500000000000092,0.021500000000000092,0.021500000000000092,0.0215000000000001,0.0215000000000001,1.0,1.0,1.0,1.0,1.0,1000,16.0,0.0,static,,,,,,
16,1.0,0.1,0.02851965000000026,0.027812027500000246,0.02926443875000028,0.0215000000000001,0.0807999999999992,1.0,1.0,1.0,1.0,1.0,1000,16.0,0.0,static,,,,,,
16,1.0,0.3,0.040516450000000474,0.03951794500000047,0.0415346137500005,0.0215000000000001,0.0929999999999979,1.0,1.0,1.0,1.0,1.0,1000,16.0,0.0,static,,,,,,
16,1.0,0.5,0.0520074500000005,0.05096958875000053,0.05313401125000051,0.0215000000000001,0.0949499999999977,1.0,1.0,1.0,1.0,1.0,1000,16.0,0.0,static,,,,,,
16,2.0,0.0,0.021500000000000092,0.021500000000000092,0.021500000000000092,0.0215000000000001,0.0215000000000001,1.0,1.0,1.0,1.0,1.0,1000,32.0,0.0,static,,,,,,
16,2.0,0.1,0.025904900000000196,0.025600912500000187,0.026230985000000203,0.0215000000000001,0.0484000000000008,1.099692649814348,1.07729126163585,1.1228363133322354,0.4919908466819166,3.093959731543633,1000,32.0,0.0,static,,,,,,
16,2.0,0.3,0.03215945000000036,0.031791936250000354,0.03252661875000037,0.0215000000000001,0.0497500000000009,1.2664965425551127,1.2378780145722275,1.29475633515035,0.4842342342342288,3.683168316831571,1000,32.0,0.0,static,,,,,,
16,2.0,0.5,0.03651125000000049,0.036151341250000475,0.0368723212500005,0.0215000000000001,0.0491500000000008,1.4388180599174936,1.4110430679928403,1.4682328718052455,0.4526315789473629,2.9458544839254692,1000,32.0,0.0,static,,,,,,
16,4.0,0.0,0.021500000000000092,0.021500000000000092,0.021500000000000092,0.0215000000000001,0.0215000000000001,1.0,1.0,1.0,1.0,1.0,1000,64.0,0.0,static,,,,,,
16,4.0,0.1,0.024634650000000154,0.024406160000000152,0.02487396500000016,0.0215000000000001,0.0442000000000007,1.1513406484569833,1.1246267755668058,1.1764252132131923,0.5143540669856409,3.03780718336479,1000,64.0,0.0,static,,,,,,
16,4.0,0.3,0.029250700000000275,0.028904935000000263,0.029607697500000283,0.0215000000000001,0.0523000000000009,1.3998496924480015,1.3689038115666385,1.4338545496073032,0.41108986615678256,3.272916666666632,1000,64.0,0.0,static,,,,,,
16,4.0,0.5,0.0335271500000004,0.033133897500000384,0.0339041125000004,0.0223500000000001,0.0491500000000008,1.5694199228714387,1.5397224941424075,1.5990650574901748,0.4804469273742964,3.2819047619046837,1000,64.0,0.0,static,,,,,,
16,8.0,0.0,0.021500000000000092,0.021500000000000092,0.021500000000000092,0.0215000000000001,0.0215000000000001,1.0,1.0,1.0,1.0,1.0,1000,128.0,0.0,static,,,,,,
16,8.0,0.1,0.02433295000000015,0.024044221250000143,0.024622377500000157,0.0215000000000001,0.054600000000001,1.194845307637831,1.16203810399488,1.2253162970001845,0.3937728937728884,3.4393592677345293,1000,128.0,0.0,static,,,,,,
16,8.0,0.3,0.028959200000000265,0.02850574625000025,0.02940891250000028,0.0215000000000001,0.0574000000000011,1.4719717133911923,1.4322176945253657,1.5117759799846135,0.3926940639269353,3.779043280182169,1000,128.0,0.0,static,,,,,,
16,8.0,0.5,0.03308665000000039,0.03258390000000037,0.03362482375000041,0.0218500000000001,0.0602000000000012,1.6608121834379634,1.6212315528909766,1.6998472339660016,0.38248048568950005,3.7090517241378547,1000,128.0,0.0,static,,,,,,
32,1.0,0.0,0.021500000000000092,0.021500000000000092,0.021500000000000092,0.0215000000000001,0.0215000000000001,1.0,1.0,1.0,1.0,1.0,1000,32.0,0.0,static,,,,,,
32,1.0,0.1,0.0345858000000004,0.03372482125000038,0.03543091625000042,0.0215000000000001,0.0807999999999992,1.0,1.0,1.0,1.0,1.0,1000,32.0,0.0,static,,,,,,
32,1.0,0.3,0.05082815000000058,0.04987496375000059,0.051817560000000554,0.0215000000000001,0.0936499999999978,1.0,1.0,1.0,1.0,1.0,1000,32.0,0.0,static,,,,,,
32,1.0,0.5,0.06067690000000043,0.05972155750000046,0.061610732500000424,0.0215000000000001,0.0949499999999977,1.0,1.0,1.0,1.0,1.0,1000,32.0,0.0,static,,,,,,
32,2.0,0.0,0.021500000000000092,0.021500000000000092,0.021500000000000092,0.0215000000000001,0.0215000000000001,1.0,1.0,1.0,1.0,1.0,1000,64.0,0.0,static,,,,,,
32,2.0,0.1,0.03070480000000032,0.030122247500000306,0.03126632750000032,0.0215000000000001,0.0895999999999982,1.1463711435808503,1.1203169292782946,1.1712747122806415,0.4291417165668605,3.059734513274345,1000,64.0,0.0,static,,,,,,
