fabric,P,k,seed,condition,flows,lower_bound_violations,strict_flow_fraction,mean_rate_ratio,max_rate_ratio,sum_rate_ratio,placement_digest,capacity_digest,route_digest
3tier_nb,16,2,7,hot_spot,32,0,0.1875,1.0791426184510744,1.6702424618487173,1.1304688554069287,88d33129c37f78760736e66f9740065d66359ed1c63f0bac2b21bc93d0bab7cf,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,692d26ba55524ab182ca7476b6aabd09b039a4dd7f3c94d0e7eefc212994d7dd
3tier_nb,16,2,8,none,32,0,0.0,1.0,1.0,1.0,f61358edc45ff2a59760af9938e4d46738bc27f11da529eafc5624d29cf7a169,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,376fc8c6c3eff9fabb84c99522bb716570fa62751fd47934e4f115c916b91a96
3tier_nb,16,2,8,hot_spot,32,0,0.21875,1.1063008923093578,1.8696434366220342,1.1796136504539447,f61358edc45ff2a59760af9938e4d46738bc27f11da529eafc5624d29cf7a169,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,376fc8c6c3eff9fabb84c99522bb716570fa62751fd47934e4f115c916b91a96
3tier_nb,16,2,9,none,32,0,0.0,1.0,1.0,1.0,d29d659b532ffb307f17cfe7326910681b9c77bad1430e411aa2bf882ccf541f,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,e043b4daf0b1816e870d39fefdc3f3ae175836a37cbae7e78498dfe198d58398
3tier_nb,16,2,9,hot_spot,32,0,0.1875,1.0960022703442738,1.7883804030708914,1.162586806527712,d29d659b532ffb307f17cfe7326910681b9c77bad1430e411aa2bf882ccf541f,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,e043b4daf0b1816e870d39fefdc3f3ae175836a37cbae7e78498dfe198d58398
3tier_nb,16,8,0,none,128,0,0.0,1.0,1.0,1.0,37c8432e7e1de92c24cadb7af2950de4263654719dddeeff74b4124657e22388,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,2f7cb220a5567a9dd24965f9f31c2cd1b1f1c405a6fe8f77332892c005997dd1
3tier_nb,16,8,0,hot_spot,128,0,0.6328125,1.0872871827656816,1.4349165728559925,1.0956348822077215,37c8432e7e1de92c24cadb7af2950de4263654719dddeeff74b4124657e22388,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,2f7cb220a5567a9dd24965f9f31c2cd1b1f1c405a6fe8f77332892c005997dd1
3tier_nb,16,8,1,none,128,0,0.0,1.0,1.0,1.0,57ddb373795121d640976e60dc03fd1d506993e84bcc45ccf38756a597713dc0,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,00f697d2a3f60b22953bf897857c9950985793bd996a5795c925f78fd0e4758b
3tier_nb,16,8,1,hot_spot,128,0,0.5,1.0893662254599275,2.3118120090865792,1.098130055705561,57ddb373795121d640976e60dc03fd1d506993e84bcc45ccf38756a597713dc0,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,00f697d2a3f60b22953bf897857c9950985793bd996a5795c925f78fd0e4758b
3tier_nb,16,8,2,none,128,0,0.0,1.0,1.0,1.0,8b00c9e94ddcc844f56411f485ebdfdae519f692f5941bec8a49e861554bf45e,5abd8f8f5ebc82c57e6a2d89ae8534ea4c2a9dae978bc2ec2e422703ca0457d5,1be72a717d3b16dbf35eb9385b24df8e5574bc96b4359e0d7fa747a2bf566ec0
