run,seed,flows_per_neighbor,ring_size,msg_bytes,affected_fraction,allreduce_time_s,simple_transfer_time_s,mean_step_s,std_step_s,max_step_s,p99_step_s,total_steps
1,1956677108,1,8,268435456,0.0,0.037650000000000565,0.021500000000000102,0.009985714285714428,0.0018721100176985657,0.010750000000000308,0.010750000000000308,14
1,1956677108,1,8,268435456,0.3,0.037650000000000565,0.021500000000000102,0.009985714285714428,0.0018721100176985657,0.010750000000000308,0.010750000000000308,14
1,1956677108,1,8,268435456,0.5,0.037650000000000565,0.021500000000000102,0.009985714285714428,0.0018721100176985657,0.010750000000000308,0.010750000000000308,14
1,1956677108,1,16,268435456,0.0,0.04050000000000065,0.021500000000000102,0.005220000000000082,0.0006734983296193104,0.005400000000000155,0.005400000000000155,30
1,1956677108,1,16,268435456,0.3,0.05670000000000111,0.07000000000000045,0.007295000000000139,0.0019309475221594152,0.011650000000000334,0.011635500000000333,30
1,1956677108,1,16,268435456,0.5,0.05835000000000116,0.04725000000000084,0.007480000000000145,0.002917978752492976,0.01570000000000045,0.015613000000000448,30
1,1956677108,2,8,268435456,0.0,0.037650000000000565,0.021500000000000102,0.009985714285714428,0.0018721100176985657,0.010750000000000308,0.010750000000000308,14
1,1956677108,2,8,268435456,0.3,0.037650000000000565,0.021500000000000102,0.009985714285714428,0.0018721100176985657,0.010750000000000308,0.010750000000000308,14
1,1956677108,2,8,268435456,0.5,0.037650000000000565,0.021500000000000102,0.009985714285714428,0.0018721100176985657,0.010750000000000308,0.010750000000000308,14
1,1956677108,2,16,268435456,0.0,0.04050000000000065,0.021500000000000102,0.005220000000000082,0.0006734983296193104,0.005400000000000155,0.005400000000000155,30
1,1956677108,2,16,268435456,0.3,0.047050000000000834,0.035950000000000516,0.006160000000000108,0.0012062614420873749,0.008100000000000232,0.00807100000000023,30
1,1956677108,2,16,268435456,0.5,0.04790000000000086,0.027600000000000277,0.006333333333333445,0.0010163934058993128,0.008650000000000248,0.008447000000000243,30
1,1956677108,4,8,268435456,0.0,0.037650000000000565,0.021500000000000102,0.009985714285714428,0.0018721100176985657,0.010750000000000308,0.010750000000000308,14
1,1956677108,4,8,268435456,0.3,0.037650000000000565,0.021500000000000102,0.009985714285714428,0.0018721100176985657,0.010750000000000308,0.010750000000000308,14
1,1956677108,4,8,268435456,0.5,0.037650000000000565,0.021500000000000102,0.009985714285714428,0.0018721100176985657,0.010750000000000308,0.010750000000000308,14
1,1956677108,4,16,268435456,0.0,0.04050000000000065,0.021500000000000102,0.005220000000000082,0.0006734983296193104,0.005400000000000155,0.005400000000000155,30
1,1956677108,4,16,268435456,0.3,0.04770000000000085,0.035950000000000516,0.006203333333333442,0.0009971570699855608,0.0073500000000002105,0.007248500000000208,30
1,1956677108,4,16,268435456,0.5,0.04550000000000079,0.027600000000000277,0.0060150000000001045,0.0009464098830140741,0.00870000000000025,0.008671000000000248,30
1,1956677108,8,8,268435456,0.0,0.037650000000000565,0.021500000000000102,0.009985714285714428,0.0018721100176985657,0.010750000000000308,0.010750000000000308,14
1,1956677108,8,8,268435456,0.3,0.037650000000000565,0.021500000000000102,0.009985714285714428,0.0018721100176985657,0.010750000000000308,0.010750000000000308,14
1,1956677108,8,8,268435456,0.5,0.037650000000000565,0.021500000000000102,0.009985714285714428,0.0018721100176985657,0.010750000000000308,0.010750000000000308,14
1,1956677108,8,16,268435456,0.0,0.04050000000000065,0.021500000000000102,0.005220000000000082,0.0006734983296193104,0.005400000000000155,0.005400000000000155,30
1,1956677108,8,16,268435456,0.3,0.0459500000000008,0.028500000000000303,0.005883333333333435,0.0006130977808546498,0.006250000000000179,0.006250000000000179,30
1,1956677108,8,16,268435456,0.5,0.04450000000000076,0.022350000000000127,0.0058266666666667655,0.0008399140167633617,0.007400000000000212,0.007400000000000212,30
2,333989328,1,8,268435456,0.0,0.037650000000000565,0.021500000000000102,0.009985714285714428,0.0018721100176985657,0.010750000000000308,0.010750000000000308,14
2,333989328,1,8,268435456,0.3,0.037650000000000565,0.021500000000000102,0.009985714285714428,0.0018721100176985657,0.010750000000000308,0.010750000000000308,14
2,333989328,1,8,268435456,0.5,0.037650000000000565,0.021500000000000102,0.009985714285714428,0.0018721100176985657,0.010750000000000308,0.010750000000000308,14
2,333989328,1,16,268435456,0.0,0.04050000000000065,0.021500000000000102,0.005220000000000082,0.0006734983296193104,0.005400000000000155,0.005400000000000155,30
2,333989328,1,16,268435456,0.3,0.05945000000000119,0.021500000000000102,0.0076500000000001515,0.0029028434336010288,0.014700000000000421,0.014207000000000409,30
2,333989328,1,16,268435456,0.5,0.06710000000000077,0.05850000000000116,0.008473333333333484,0.0025654997347280225,0.01290000000000037,0.012827500000000368,30
2,333989328,2,8,268435456,0.0,0.037650000000000565,0.021500000000000102,0.009985714285714428,0.0018721100176985657,0.010750000000000308,0.010750000000000308,14
2,333989328,2,8,268435456,0.3,0.037650000000000565,0.021500000000000102,0.009985714285714428,0.0018721100176985657,0.010750000000000308,0.010750000000000308,14
2,333989328,2,8,268435456,0.5,0.037650000000000565,0.021500000000000102,0.009985714285714428,0.0018721100176985657,0.010750000000000308,0.010750000000000308,14
2,333989328,2,16,268435456,0.0,0.04050000000000065,0.021500000000000102,0.005220000000000082,0.0006734983296193104,0.005400000000000155,0.005400000000000155,30
2,333989328,2,16,268435456,0.3,0.047750000000000854,0.02945000000000033,0.006246666666666777,0.0011697530603603176,0.008550000000000245,0.008550000000000245,30
2,333989328,2,16,268435456,0.5,0.0493500000000009,0.032750000000000425,0.00655500000000012,0.0011012379397750869,0.009150000000000262,0.009150000000000262,30
2,333989328,4,8,268435456,0.0,0.037650000000000565,0.021500000000000102,0.009985714285714428,0.0018721100176985657,0.010750000000000308,0.010750000000000308,14
2,333989328,4,8,268435456,0.3,0.037650000000000565,0.021500000000000102,0.009985714285714428,0.0018721100176985657,0.010750000000000308,0.010750000000000308,14
2,333989328,4,8,268435456,0.5,0.037650000000000565,0.021500000000000102,0.009985714285714428,0.0018721100176985657,0.010750000000000308,0.010750000000000308,14
2,333989328,4,16,268435456,0.0,0.04050000000000065,0.021500000000000102,0.005220000000000082,0.0006734983296193104,0.005400000000000155,0.005400000000000155,30
2,333989328,4,16,268435456,0.3,0.045700000000000796,0.02945000000000033,0.005928333333333435,0.0007989246244518685,0.007100000000000203,0.007027500000000201,30
2,333989328,4,16,268435456,0.5,0.046700000000000824,0.0318500000000004,0.006076666666666772,0.0010516442152912883,0.00870000000000025,0.008497000000000244,30
2,333989328,8,8,268435456,0.0,0.037650000000000565,0.021500000000000102,0.009985714285714428,0.0018721100176985657,0.010750000000000308,0.010750000000000308,14
2,333989328,8,8,268435456,0.3,0.037650000000000565,0.021500000000000102,0.009985714285714428,0.0018721100176985657,0.010750000000000308,0.010750000000000308,14
2,333989328,8,8,268435456,0.5,0.037650000000000565,0.021500000000000102,0.009985714285714428,0.0018721100176985657,0.010750000000000308,0.010750000000000308,14
2,333989328,8,16,268435456,0.0,0.04050000000000065,0.021500000000000102,0.005220000000000082,0.0006734983296193104,0.005400000000000155,0.005400000000000155,30
2,333989328,8,16,268435456,0.3,0.04475000000000077,0.03090000000000037,0.005753333333333429,0.0007164650879297847,0.006350000000000182,0.006350000000000182,30
2,333989328,8,16,268435456,0.5,0.04540000000000079,0.03855000000000059,0.005908333333333433,0.0009040725757494521,0.00700000000000006,0.00700000000000006,30
3,1682628196,1,8,268435456,0.0,0.037650000000000565,0.021500000000000102,0.009985714285714428,0.0018721100176985657,0.010750000000000308,0.010750000000000308,14
3,1682628196,1,8,268435456,0.3,0.037650000000000565,0.021500000000000102,0.009985714285714428,0.0018721100176985657,0.010750000000000308,0.010750000000000308,14
3,1682628196,1,8,268435456,0.5,0.037650000000000565,0.021500000000000102,0.009985714285714428,0.0018721100176985657,0.010750000000000308,0.010750000000000308,14
3,1682628196,1,16,268435456,0.0,0.04050000000000065,0.021500000000000102,0.005220000000000082,0.0006734983296193104,0.005400000000000155,0.005400000000000155,30
3,1682628196,1,16,268435456,0.3,0.04890000000000089,0.05695000000000112,0.006425000000000114,0.0017213729985102312,0.01120000000000032,0.011156500000000319,30
3,1682628196,1,16,268435456,0.5,0.0631500000000012,0.022950000000000144,0.00821166666666683,0.0035746021534649726,0.01845000000000053,0.018232500000000523,30
3,1682628196,2,8,268435456,0.0,0.037650000000000565,0.021500000000000102,0.009985714285714428,0.0018721100176985657,0.010750000000000308,0.010750000000000308,14
3,1682628196,2,8,268435456,0.3,0.037650000000000565,0.021500000000000102,0.009985714285714428,0.0018721100176985657,0.010750000000000308,0.010750000000000308,14
3,1682628196,2,8,268435456,0.5,0.037650000000000565,0.021500000000000102,0.009985714285714428,0.0018721100176985657,0.010750000000000308,0.010750000000000308,14
3,1682628196,2,16,268435456,0.0,0.04050000000000065,0.021500000000000102,0.005220000000000082,0.0006734983296193104,0.005400000000000155,0.005400000000000155,30
3,1682628196,2,16,268435456,0.3,0.046400000000000816,0.03290000000000043,0.005890000000000101,0.0010617124532251688,0.008600000000000246,0.008556500000000244,30
3,1682628196,2,16,268435456,0.5,0.04895000000000089,0.038000000000000575,0.006401666666666782,0.0011831795674744291,0.009300000000000266,0.009256500000000265,30
3,1682628196,4,8,268435456,0.0,0.037650000000000565,0.021500000000000102,0.009985714285714428,0.0018721100176985657,0.010750000000000308,0.010750000000000308,14
3,1682628196,4,8,268435456,0.3,0.037650000000000565,0.021500000000000102,0.009985714285714428,0.0018721100176985657,0.010750000000000308,0.010750000000000308,14
3,1682628196,4,8,268435456,0.5,0.037650000000000565,0.021500000000000102,0.009985714285714428,0.0018721100176985657,0.010750000000000308,0.010750000000000308,14
3,1682628196,4,16,268435456,0.0,0.04050000000000065,0.021500000000000102,0.005220000000000082,0.0006734983296193104,0.005400000000000155,0.005400000000000155,30
3,1682628196,4,16,268435456,0.3,0.04305000000000072,0.02565000000000022,0.005591666666666756,0.0008077833180308373,0.007300000000000209,0.007184000000000206,30
3,1682628196,4,16,268435456,0.5,0.046000000000000804,0.02665000000000025,0.00602166666666677,0.0011635207585409008,0.00835000000000024,0.008306500000000237,30
3,1682628196,8,8,268435456,0.0,0.037650000000000565,0.021500000000000102,0.009985714285714428,0.0018721100176985657,0.010750000000000308,0.010750000000000308,14
3,1682628196,8,8,268435456,0.3,0.037650000000000565,0.021500000000000102,0.009985714285714428,0.0018721100176985657,0.010750000000000308,0.010750000000000308,14
3,1682628196,8,8,268435456,0.5,0.037650000000000565,0.021500000000000102,0.009985714285714428,0.0018721100176985657,0.010750000000000308,0.010750000000000308,14
3,1682628196,8,16,268435456,0.0,0.04050000000000065,0.021500000000000102,0.005220000000000082,0.0006734983296193104,0.005400000000000155,0.005400000000000155,30
3,1682628196,8,16,268435456,0.3,0.043200000000000724,0.023300000000000154,0.005583333333333425,0.0008065702421708682,0.006200000000000178,0.006185500000000177,30
3,1682628196,8,16,268435456,0.5,0.04520000000000078,0.027250000000000267,0.005838333333333431,0.0007525161496974971,0.00654999999999996,0.00654999999999996,30
